ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.017,-0.011,1.002,0.002,-0.002,-0.002,-0.403,0.149,-0.582,982.53,26.92,289.08
-0.017,-0.011,1.002,0.002,-0.002,-0.002,-0.400,0.149,-0.582,982.58,26.92,288.66
-0.017,-0.011,1.002,0.002,-0.002,-0.002,-0.405,0.148,-0.579,982.51,26.92,289.24
-0.015,-0.010,1.002,0.001,-0.002,-0.002,-0.405,0.144,-0.574,982.51,26.92,289.25
-0.015,-0.011,1.001,0.002,-0.002,-0.002,-0.404,0.144,-0.574,982.58,26.92,288.66
-0.017,-0.011,1.001,0.002,-0.002,-0.001,-0.403,0.146,-0.577,982.53,26.92,289.07
-0.018,-0.010,1.001,0.002,-0.002,-0.002,-0.403,0.147,-0.572,982.51,26.92,289.22
-0.017,-0.010,1.002,0.001,-0.003,-0.002,-0.402,0.147,-0.575,982.60,26.92,288.44
-0.016,-0.010,1.001,0.002,-0.002,-0.002,-0.402,0.142,-0.577,982.49,26.92,289.40
-0.016,-0.010,1.001,0.002,-0.002,-0.002,-0.401,0.145,-0.577,982.46,26.92,289.67
-0.016,-0.011,1.000,0.002,-0.002,-0.002,-0.403,0.147,-0.575,982.55,26.92,288.90
-0.018,-0.012,1.001,0.002,-0.002,-0.002,-0.403,0.147,-0.575,982.49,26.92,289.41
-0.016,-0.010,1.000,0.002,-0.002,-0.002,-0.404,0.151,-0.583,982.57,26.92,288.69
-0.016,-0.010,1.001,0.002,-0.002,-0.002,-0.400,0.147,-0.583,982.50,26.92,289.30
-0.016,-0.011,1.001,0.002,-0.002,-0.002,-0.403,0.147,-0.580,982.55,26.92,288.86
-0.016,-0.010,1.001,0.002,-0.002,-0.002,-0.407,0.145,-0.580,982.61,26.92,288.41
-0.017,-0.010,1.002,0.002,-0.003,-0.002,-0.402,0.148,-0.582,982.59,26.92,288.57
-0.016,-0.011,1.001,0.002,-0.002,-0.002,-0.398,0.146,-0.577,982.48,26.92,289.53
-0.016,-0.010,1.001,0.002,-0.002,-0.002,-0.398,0.146,-0.577,982.54,26.92,288.99
-0.017,-0.010,1.001,0.002,-0.002,-0.002,-0.402,0.148,-0.571,982.49,26.92,289.36
-0.017,-0.011,1.001,0.002,-0.003,-0.002,-0.406,0.147,-0.571,982.49,26.93,289.36
-0.018,-0.011,1.001,0.002,-0.002,-0.002,-0.402,0.146,-0.575,982.55,26.92,288.87
-0.016,-0.011,1.002,0.002,-0.002,-0.002,-0.403,0.142,-0.577,982.49,26.93,289.41
-0.017,-0.011,1.001,0.002,-0.002,-0.002,-0.404,0.143,-0.575,982.52,26.92,289.15
-0.016,-0.010,1.000,0.001,-0.002,-0.002,-0.403,0.140,-0.575,982.55,26.92,288.86
-0.017,-0.011,1.000,0.002,-0.002,-0.002,-0.403,0.140,-0.575,982.54,26.92,288.96
-0.017,-0.010,1.000,0.001,-0.002,-0.002,-0.403,0.147,-0.581,982.51,26.92,289.20
-0.016,-0.011,1.001,0.001,-0.002,-0.002,-0.410,0.145,-0.575,982.48,26.92,289.48
-0.017,-0.011,1.001,0.002,-0.002,-0.002,-0.407,0.143,-0.573,982.56,26.92,288.83
-0.016,-0.011,1.000,0.002,-0.002,-0.002,-0.404,0.144,-0.575,982.55,26.92,288.88
-0.016,-0.011,1.000,0.002,-0.002,-0.002,-0.404,0.144,-0.576,982.62,26.93,288.25
-0.016,-0.011,1.001,0.002,-0.002,-0.002,-0.408,0.145,-0.577,982.50,26.92,289.32
