ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.038,-0.035,0.999,0.001,-0.002,-0.000,0.087,0.445,-0.568,982.55,26.55,288.85
-0.038,-0.035,0.998,0.002,-0.002,-0.001,0.085,0.449,-0.566,982.48,26.55,289.50
-0.039,-0.035,1.001,0.002,-0.002,-0.000,0.087,0.454,-0.571,982.52,26.55,289.11
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.088,0.455,-0.566,982.53,26.55,289.09
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.086,0.453,-0.569,982.54,26.55,288.98
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.090,0.449,-0.572,982.50,26.55,289.31
-0.038,-0.035,1.000,0.002,-0.002,-0.000,0.088,0.451,-0.570,982.48,26.55,289.52
-0.039,-0.036,1.000,0.001,-0.002,-0.000,0.088,0.451,-0.570,982.51,26.55,289.21
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.091,0.449,-0.575,982.53,26.55,289.06
-0.039,-0.035,1.000,0.002,-0.002,-0.001,0.092,0.452,-0.571,982.54,26.55,288.96
-0.038,-0.036,0.999,0.001,-0.002,0.000,0.090,0.447,-0.567,982.55,26.55,288.88
-0.038,-0.036,1.000,0.001,-0.002,-0.000,0.090,0.448,-0.568,982.60,26.55,288.49
036,0.999,0.001,-0.002,-0.000,0.091,0.449,-0.568,982.5.568,982.52,26.55,289.13
-0.039,-0.036,1.000,0.002,-0.002,-0.001,0.087,0.449,-0.567,982.46,26.55,289.68
-0.038,-0.035,1.000,0.002,-0.002,-0.001,0.084,0.447,-0.568,982.54,26.55,288.99
-0.038,-0.036,1.000,0.001,-0.002,-0.000,0.087,0.450,-0.566,982.48,26.55,289.49
-0.038,-0.037,0.999,0.001,-0.002,-0.001,0.086,0.449,-0.568,982.45,26.55,289.70
-0.037,-0.036,0.999,0.002,-0.002,-0.000,0.090,0.448,-0.566,982.50,26.55,289.31
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.084,0.449,-0.566,982.51,26.55,289.26
