t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-08-21 18:14:02.807, 0.073, -0.004, -0.988 ,  0.00, -0.00, 0.00 ,  -542.4, 190.8, 65.5 ,168.47
2025-08-21 18:14:02.817, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -541.1, 190.5, 68.6 ,168.19
2025-08-21 18:14:02.829, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -541.1, 190.5, 68.6 ,167.86
2025-08-21 18:14:02.840, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -546.4, 190.3, 72.4 ,168.39
2025-08-21 18:14:02.850, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -544.3, 192.2, 68.9 ,168.84
2025-08-21 18:14:02.862, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -543.2, 192.1, 66.6 ,168.34
2025-08-21 18:14:02.875, 0.072, -0.004, -0.988 ,  0.00, -0.00, 0.00 ,  -542.8, 193.9, 69.9 ,168.74
2025-08-21 18:14:02.883, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -539.3, 192.2, 70.6 ,168.60
2025-08-21 18:14:02.895, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -537.5, 189.0, 61.5 ,168.27
2025-08-21 18:14:02.906, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -537.5, 189.0, 61.5 ,168.09
2025-08-21 18:14:02.916, 0.074, -0.003, -0.989 ,  0.00, -0.00, 0.00 ,  -541.9, 191.0, 65.0 ,168.07
2025-08-21 18:14:02.927, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -540.0, 189.1, 69.6 ,168.06
2025-08-21 18:14:02.939, 0.072, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -538.4, 190.7, 63.6 ,167.55
2025-08-21 18:14:02.950, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -541.0, 195.3, 62.2 ,168.87
2025-08-21 18:14:02.961, 0.073, -0.006, -0.987 ,  0.00, -0.00, 0.00 ,  -541.7, 194.5, 67.8 ,168.28
2025-08-21 18:14:02.972, 0.073, -0.006, -0.990 ,  0.00, -0.00, 0.00 ,  -541.1, 192.2, 67.3 ,167.73
2025-08-21 18:14:02.985, 0.072, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -541.1, 192.2, 67.3 ,168.44
2025-08-21 18:14:02.993, 0.074, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -542.4, 194.0, 71.0 ,168.62
2025-08-21 18:14:03.005, 0.073, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -542.4, 195.3, 67.3 ,168.02
2025-08-21 18:14:03.015, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -541.5, 195.2, 70.1 ,168.19
2025-08-21 18:14:03.027, 0.072, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -543.5, 190.3, 71.4 ,168.16
2025-08-21 18:14:03.037, 0.073, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -543.3, 192.4, 66.5 ,168.14
2025-08-21 18:14:03.049, 0.073, -0.005, -0.992 ,  0.00, -0.00, 0.00 ,  -542.6, 193.1, 73.6 ,168.05
2025-08-21 18:14:03.059, 0.072, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -542.6, 193.1, 73.6 ,168.45
2025-08-21 18:14:03.071, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -544.6, 190.5, 78.1 ,168.16
2025-08-21 18:14:03.082, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -542.9, 193.9, 69.0 ,168.16
