mx,my,mz
-0.665,0.612,-0.45
-0.664,0.61,-0.446
-0.672,0.614,-0.441
-0.668,0.611,-0.442
-0.667,0.612,-0.43
-0.667,0.612,-0.43
-0.669,0.609,-0.418
-0.669,0.614,-0.425
-0.674,0.606,-0.416
-0.675,0.605,-0.412
-0.675,0.605,-0.412
-0.678,0.609,-0.415
-0.673,0.603,-0.421
-0.672,0.601,-0.406
-0.677,0.599,-0.401
-0.677,0.599,-0.401
-0.679,0.606,-0.402
-0.676,0.599,-0.396
-0.681,0.595,-0.397
-0.682,0.599,-0.387
-0.682,0.599,-0.387
-0.681,0.603,-0.401
-0.687,0.604,-0.396
-0.695,0.605,-0.386
-0.698,0.614,-0.384
-0.698,0.614,-0.384
-0.697,0.607,-0.384
-0.697,0.604,-0.374
-0.7,0.601,-0.368
-0.7,0.602,-0.363
-0.7,0.602,-0.363
-0.701,0.595,-0.364
-0.704,0.591,-0.355
-0.706,0.595,-0.36
-0.703,0.588,-0.353
-0.703,0.588,-0.353
-0.705,0.579,-0.337
-0.707,0.577,-0.332
-0.706,0.573,-0.326
-0.712,0.557,-0.313
-0.712,0.557,-0.313
-0.713,0.542,-0.296
-0.715,0.533,-0.289
-0.71,0.52,-0.279
-0.698,0.5,-0.266
-0.698,0.5,-0.266
-0.697,0.485,-0.256
-0.701,0.484,-0.252
-0.693,0.476,-0.242
-0.698,0.468,-0.247
-0.698,0.468,-0.247
-0.695,0.457,-0.23
-0.689,0.447,-0.225
-0.694,0.435,-0.227
-0.691,0.427,-0.22
-0.691,0.427,-0.22
-0.693,0.415,-0.218
-0.691,0.402,-0.223
-0.693,0.389,-0.223
-0.698,0.38,-0.229
-0.698,0.38,-0.229
-0.698,0.376,-0.236
-0.705,0.369,-0.238
-0.71,0.367,-0.252
-0.728,0.369,-0.261
-0.728,0.369,-0.261
-0.722,0.36,-0.288
-0.729,0.354,-0.297
-0.738,0.347,-0.303
-0.74,0.343,-0.303
-0.74,0.343,-0.303
-0.742,0.328,-0.315
-0.747,0.312,-0.315
-0.75,0.291,-0.319
-0.755,0.277,-0.345
-0.755,0.277,-0.345
-0.758,0.254,-0.358
-0.763,0.231,-0.382
-0.759,0.208,-0.398
-0.757,0.191,-0.434
-0.757,0.191,-0.434
-0.757,0.173,-0.449
-0.748,0.156,-0.479
-0.738,0.142,-0.501
-0.735,0.132,-0.529
-0.735,0.132,-0.529
-0.717,0.113,-0.554
-0.708,0.105,-0.579
-0.7,0.093,-0.606
-0.688,0.08,-0.616
-0.688,0.08,-0.616
-0.677,0.071,-0.634
-0.665,0.061,-0.653
-0.654,0.051,-0.679
-0.642,0.042,-0.702
-0.642,0.042,-0.702
-0.621,0.039,-0.74
-0.605,0.039,-0.762
-0.58,0.032,-0.797
-0.561,0.035,-0.821
-0.561,0.035,-0.821
-0.53,0.047,-0.853
-0.499,0.064,-0.882
-0.459,0.084,-0.906
-0.418,0.11,-0.926
-0.418,0.11,-0.926
-0.369,0.144,-0.948
-0.317,0.178,-0.96
-0.272,0.222,-0.97
-0.216,0.263,-0.968
-0.216,0.263,-0.968
-0.171,0.309,-0.953
-0.131,0.354,-0.941
-0.095,0.397,-0.925
-0.066,0.442,-0.907
-0.066,0.442,-0.907
-0.037,0.484,-0.873
-0.013,0.517,-0.844
0.008,0.548,-0.816
0.024,0.576,-0.787
0.024,0.576,-0.787
0.036,0.601,-0.757
0.047,0.62,-0.727
0.053,0.642,-0.695
0.06,0.662,-0.661
0.06,0.662,-0.661
0.066,0.68,-0.62
0.064,0.694,-0.579
0.068,0.713,-0.543
0.068,0.717,-0.51
0.068,0.717,-0.51
0.064,0.724,-0.462
0.058,0.729,-0.422
0.048,0.728,-0.39
0.035,0.725,-0.352
0.035,0.725,-0.352
0.03,0.714,-0.319
0.022,0.706,-0.281
0.018,0.692,-0.259
0.013,0.682,-0.237
0.013,0.682,-0.237
0.003,0.671,-0.221
-0.0,0.662,-0.2
-0.008,0.655,-0.198
-0.017,0.649,-0.179
-0.017,0.649,-0.179
-0.032,0.634,-0.165
-0.038,0.624,-0.15
-0.047,0.613,-0.133
-0.056,0.593,-0.12
-0.056,0.593,-0.12
-0.06,0.574,-0.103
-0.065,0.555,-0.095
-0.071,0.535,-0.087
-0.074,0.511,-0.077
-0.074,0.511,-0.077
-0.077,0.502,-0.073
-0.081,0.487,-0.064
-0.092,0.48,-0.063
-0.103,0.473,-0.066
-0.103,0.473,-0.066
-0.11,0.466,-0.057
-0.123,0.452,-0.057
-0.137,0.44,-0.048
-0.146,0.427,-0.048
-0.146,0.427,-0.048
-0.163,0.417,-0.053
-0.172,0.415,-0.054
-0.186,0.405,-0.047
-0.186,0.411,-0.053
-0.186,0.411,-0.053
-0.193,0.399,-0.067
-0.209,0.386,-0.072
-0.206,0.38,-0.06
-0.215,0.372,-0.073
-0.215,0.372,-0.073
-0.218,0.361,-0.085
-0.225,0.352,-0.088
-0.221,0.343,-0.081
-0.216,0.336,-0.092
-0.216,0.336,-0.092
-0.216,0.33,-0.093
-0.208,0.326,-0.088
-0.201,0.323,-0.094
-0.189,0.324,-0.096
-0.189,0.324,-0.096
-0.184,0.327,-0.097
-0.163,0.339,-0.096
-0.144,0.34,-0.1
-0.129,0.351,-0.1
-0.129,0.351,-0.1
-0.115,0.367,-0.093
-0.102,0.374,-0.096
-0.086,0.39,-0.094
-0.073,0.402,-0.092
-0.073,0.402,-0.092
-0.059,0.419,-0.089
-0.038,0.439,-0.095
-0.013,0.465,-0.1
0.006,0.505,-0.107
0.006,0.505,-0.107
0.018,0.533,-0.133
0.031,0.566,-0.159
0.046,0.603,-0.192
0.051,0.645,-0.228
0.051,0.645,-0.228
0.048,0.678,-0.269
0.039,0.718,-0.316
0.025,0.752,-0.356
-0.009,0.775,-0.382
-0.009,0.775,-0.382
-0.028,0.788,-0.393
-0.047,0.8,-0.389
-0.074,0.809,-0.404
-0.094,0.823,-0.407
-0.094,0.823,-0.407
-0.114,0.832,-0.413
-0.13,0.842,-0.424
-0.151,0.848,-0.438
-0.176,0.852,-0.434
-0.176,0.852,-0.434
-0.196,0.858,-0.431
-0.216,0.864,-0.421
-0.24,0.861,-0.42
-0.258,0.865,-0.412
-0.258,0.865,-0.412
-0.279,0.87,-0.408
-0.3,0.868,-0.407
-0.322,0.867,-0.407
-0.347,0.864,-0.408
-0.347,0.864,-0.408
-0.365,0.863,-0.395
-0.384,0.857,-0.396
-0.402,0.857,-0.394
-0.421,0.849,-0.386
-0.421,0.849,-0.386
-0.437,0.846,-0.375
-0.451,0.838,-0.361
-0.474,0.831,-0.353
-0.489,0.817,-0.335
-0.489,0.817,-0.335
-0.513,0.805,-0.324
-0.536,0.785,-0.313
-0.554,0.766,-0.305
-0.571,0.75,-0.288
-0.571,0.75,-0.288
-0.583,0.728,-0.272
-0.602,0.707,-0.254
-0.614,0.687,-0.247
-0.623,0.667,-0.238
-0.623,0.667,-0.238
-0.633,0.651,-0.235
-0.642,0.629,-0.234
-0.653,0.605,-0.222
-0.661,0.579,-0.208
-0.661,0.579,-0.208
-0.667,0.552,-0.199
-0.67,0.521,-0.198
-0.677,0.496,-0.187
-0.681,0.474,-0.188
-0.681,0.474,-0.188
-0.684,0.448,-0.195
-0.687,0.43,-0.187
-0.685,0.406,-0.187
-0.687,0.386,-0.185
-0.687,0.386,-0.185
-0.686,0.361,-0.185
-0.686,0.347,-0.187
-0.683,0.332,-0.185
-0.679,0.312,-0.19
-0.679,0.312,-0.19
-0.68,0.298,-0.186
-0.67,0.283,-0.186
-0.666,0.264,-0.194
-0.666,0.25,-0.201
-0.666,0.25,-0.201
-0.659,0.235,-0.197
-0.657,0.226,-0.196
-0.648,0.217,-0.19
-0.649,0.207,-0.193
-0.649,0.207,-0.193
-0.646,0.197,-0.193
-0.636,0.189,-0.196
-0.634,0.176,-0.197
-0.632,0.17,-0.202
-0.632,0.17,-0.202
-0.625,0.164,-0.198
-0.617,0.15,-0.206
-0.614,0.149,-0.207
-0.612,0.137,-0.207
-0.612,0.137,-0.207
-0.607,0.133,-0.208
-0.599,0.125,-0.221
-0.603,0.117,-0.219
-0.595,0.112,-0.222
-0.595,0.112,-0.222
-0.591,0.102,-0.225
-0.589,0.097,-0.23
-0.588,0.091,-0.23
-0.581,0.085,-0.23
-0.581,0.085,-0.23
-0.578,0.074,-0.236
-0.578,0.071,-0.235
-0.578,0.065,-0.239
-0.576,0.057,-0.245
-0.576,0.057,-0.245
-0.576,0.052,-0.253
-0.571,0.041,-0.258
-0.564,0.041,-0.26
-0.561,0.03,-0.265
-0.561,0.03,-0.265
-0.564,0.027,-0.27
-0.567,0.023,-0.288
-0.571,0.012,-0.296
-0.569,0.004,-0.31
-0.569,0.004,-0.31
-0.569,-0.002,-0.32
-0.557,-0.017,-0.33
-0.556,-0.022,-0.339
-0.551,-0.031,-0.341
-0.551,-0.031,-0.341
-0.546,-0.037,-0.35
-0.548,-0.044,-0.361
-0.545,-0.053,-0.377
-0.543,-0.053,-0.386
-0.543,-0.053,-0.386
-0.537,-0.061,-0.407
-0.529,-0.07,-0.422
-0.531,-0.074,-0.437
-0.514,-0.076,-0.454
-0.514,-0.076,-0.454
-0.512,-0.085,-0.466
-0.503,-0.088,-0.488
-0.491,-0.088,-0.511
-0.481,-0.099,-0.541
-0.481,-0.099,-0.541
-0.467,-0.102,-0.565
-0.457,-0.103,-0.59
-0.443,-0.102,-0.611
-0.433,-0.099,-0.636
-0.433,-0.099,-0.636
-0.418,-0.098,-0.66
-0.403,-0.096,-0.681
-0.394,-0.091,-0.701
-0.373,-0.089,-0.723
-0.373,-0.089,-0.723
-0.353,-0.088,-0.739
-0.339,-0.077,-0.775
-0.311,-0.071,-0.798
-0.287,-0.065,-0.826
-0.287,-0.065,-0.855
-0.252,-0.051,-0.855
-0.216,-0.03,-0.883
-0.177,-0.006,-0.906
-0.13,0.025,-0.925
-0.13,0.025,-0.944
-0.085,0.065,-0.944
-0.041,0.101,-0.949
-0.001,0.149,-0.955
0.035,0.197,-0.948
0.035,0.197,-0.941
0.068,0.256,-0.941
0.09,0.305,-0.933
0.111,0.353,-0.913
0.122,0.404,-0.888
0.122,0.404,-0.857
0.133,0.446,-0.857
0.142,0.488,-0.831
0.142,0.519,-0.802
0.141,0.546,-0.778
0.141,0.546,-0.743
0.139,0.576,-0.743
