mx,my,mz
0.017,0.665,-0.548
0.023,0.654,-0.545
0.023,0.654,-0.545
0.03,0.654,-0.541
0.039,0.647,-0.534
0.049,0.636,-0.53
0.063,0.618,-0.538
0.063,0.618,-0.538
0.072,0.608,-0.539
0.08,0.605,-0.538
0.082,0.603,-0.545
0.088,0.588,-0.547
0.088,0.588,-0.547
0.096,0.575,-0.557
0.099,0.562,-0.562
0.102,0.55,-0.573
0.105,0.539,-0.581
0.105,0.539,-0.581
0.115,0.527,-0.584
0.11,0.516,-0.596
0.106,0.508,-0.601
0.108,0.493,-0.622
0.108,0.493,-0.622
0.106,0.467,-0.634
0.101,0.449,-0.646
0.101,0.426,-0.66
0.095,0.401,-0.671
0.095,0.401,-0.671
0.085,0.376,-0.687
0.072,0.354,-0.696
0.061,0.331,-0.7
0.054,0.299,-0.709
0.054,0.299,-0.709
0.044,0.274,-0.71
0.033,0.253,-0.714
0.025,0.237,-0.716
0.015,0.216,-0.717
0.015,0.216,-0.717
0.011,0.209,-0.714
-0.001,0.19,-0.716
-0.009,0.179,-0.717
-0.016,0.173,-0.717
-0.016,0.173,-0.717
-0.021,0.163,-0.716
-0.027,0.16,-0.722
-0.021,0.161,-0.72
-0.024,0.159,-0.718
-0.024,0.159,-0.718
-0.022,0.159,-0.714
-0.015,0.148,-0.712
-0.017,0.146,-0.717
-0.017,0.143,-0.711
-0.017,0.143,-0.711
-0.016,0.136,-0.706
-0.019,0.134,-0.702
-0.013,0.127,-0.703
-0.004,0.128,-0.703
-0.004,0.128,-0.703
0.003,0.128,-0.693
0.006,0.125,-0.688
0.017,0.116,-0.677
0.028,0.111,-0.671
0.028,0.111,-0.671
0.033,0.107,-0.66
0.037,0.099,-0.656
0.032,0.092,-0.653
0.017,0.077,-0.662
0.017,0.077,-0.662
-0.016,0.06,-0.667
-0.04,0.046,-0.666
-0.054,0.032,-0.667
-0.065,0.021,-0.67
-0.065,0.021,-0.67
-0.066,0.019,-0.667
-0.072,0.014,-0.659
-0.071,0.009,-0.651
-0.076,0.008,-0.649
-0.076,0.008,-0.649
-0.08,-0.009,-0.653
-0.083,-0.019,-0.655
-0.09,-0.021,-0.655
-0.098,-0.021,-0.653
-0.098,-0.021,-0.653
-0.107,-0.026,-0.66
-0.123,-0.029,-0.673
-0.146,-0.027,-0.686
-0.169,-0.025,-0.703
-0.169,-0.025,-0.703
-0.19,-0.025,-0.708
-0.2,-0.032,-0.711
-0.206,-0.028,-0.72
-0.213,-0.025,-0.722
-0.213,-0.025,-0.722
-0.229,-0.027,-0.724
-0.242,-0.023,-0.731
-0.252,-0.016,-0.729
-0.277,-0.017,-0.737
-0.277,-0.017,-0.737
-0.295,-0.014,-0.743
-0.303,-0.012,-0.739
-0.321,-0.008,-0.747
-0.33,-0.005,-0.747
-0.33,-0.005,-0.747
-0.344,-0.008,-0.74
-0.367,-0.003,-0.736
-0.384,0.002,-0.733
-0.41,0.008,-0.729
-0.41,0.008,-0.729
-0.434,0.019,-0.726
-0.451,0.028,-0.719
-0.463,0.028,-0.708
-0.477,0.034,-0.699
-0.477,0.034,-0.699
-0.482,0.033,-0.689
-0.496,0.031,-0.688
-0.503,0.03,-0.685
-0.511,0.031,-0.677
-0.511,0.031,-0.677
-0.519,0.037,-0.694
-0.509,0.049,-0.711
-0.504,0.064,-0.722
-0.508,0.081,-0.75
-0.508,0.081,-0.75
-0.502,0.101,-0.762
-0.501,0.117,-0.779
-0.501,0.142,-0.796
-0.501,0.157,-0.805
-0.501,0.157,-0.805
-0.5,0.176,-0.818
-0.502,0.188,-0.826
-0.499,0.207,-0.845
-0.495,0.228,-0.86
-0.495,0.228,-0.86
-0.493,0.243,-0.872
-0.507,0.258,-0.874
-0.526,0.273,-0.875
-0.546,0.294,-0.878
-0.546,0.294,-0.878
-0.575,0.315,-0.87
-0.599,0.33,-0.867
-0.631,0.339,-0.847
-0.665,0.34,-0.834
-0.665,0.34,-0.834
-0.69,0.336,-0.809
-0.712,0.328,-0.791
-0.738,0.32,-0.758
-0.759,0.314,-0.729
-0.759,0.314,-0.729
-0.779,0.301,-0.691
-0.791,0.291,-0.653
-0.809,0.28,-0.617
-0.813,0.268,-0.589
-0.813,0.268,-0.589
-0.817,0.25,-0.563
-0.813,0.234,-0.526
-0.818,0.218,-0.478
-0.814,0.2,-0.424
-0.814,0.2,-0.424
-0.804,0.193,-0.377
-0.784,0.186,-0.322
-0.754,0.167,-0.273
-0.722,0.153,-0.229
-0.722,0.153,-0.229
-0.687,0.135,-0.192
-0.646,0.122,-0.171
-0.604,0.106,-0.149
-0.554,0.081,-0.132
-0.554,0.081,-0.132
-0.513,0.063,-0.119
-0.462,0.049,-0.12
-0.421,0.04,-0.113
-0.386,0.034,-0.115
-0.386,0.034,-0.115
-0.342,0.038,-0.107
-0.304,0.036,-0.107
-0.27,0.035,-0.116
-0.238,0.03,-0.121
-0.238,0.03,-0.126
-0.194,0.034,-0.126
-0.168,0.046,-0.138
-0.132,0.047,-0.136
-0.095,0.058,-0.156
-0.095,0.058,-0.164
-0.064,0.072,-0.164
-0.031,0.086,-0.178
-0.005,0.102,-0.191
0.021,0.116,-0.199
0.021,0.116,-0.218
0.039,0.127,-0.218
0.047,0.139,-0.224
0.06,0.144,-0.241
0.063,0.147,-0.244
0.063,0.147,-0.249
0.068,0.149,-0.249
0.071,0.163,-0.25
0.075,0.163,-0.261
0.07,0.164,-0.26
0.07,0.164,-0.256
0.067,0.16,-0.256
0.065,0.16,-0.257
0.062,0.158,-0.258
0.062,0.162,-0.253
0.062,0.162,-0.245
0.058,0.158,-0.245
0.057,0.158,-0.248
0.048,0.149,-0.248
