mx,my,mz
-0.051,0.492,-0.612
-0.053,0.51,-0.603
-0.06,0.533,-0.604
-0.06,0.533,-0.604
-0.055,0.56,-0.597
-0.053,0.587,-0.591
-0.042,0.62,-0.581
-0.032,0.651,-0.568
-0.032,0.651,-0.568
-0.017,0.675,-0.545
0.009,0.7,-0.517
0.05,0.716,-0.49
0.092,0.727,-0.461
0.092,0.727,-0.461
0.137,0.726,-0.423
0.191,0.722,-0.389
0.227,0.716,-0.351
0.227,0.716,-0.351
0.267,0.701,-0.307
0.306,0.676,-0.268
0.342,0.643,-0.222
0.363,0.606,-0.181
0.363,0.606,-0.181
0.387,0.559,-0.136
0.403,0.505,-0.094
0.412,0.45,-0.064
0.418,0.403,-0.035
0.418,0.403,-0.035
0.419,0.368,-0.011
0.418,0.331,0.004
0.421,0.302,0.021
0.421,0.302,0.021
0.419,0.266,0.049
0.409,0.231,0.067
0.402,0.193,0.078
0.383,0.158,0.098
0.383,0.158,0.098
0.362,0.139,0.11
0.329,0.133,0.135
0.305,0.125,0.159
0.272,0.118,0.172
0.272,0.118,0.172
0.242,0.107,0.195
0.217,0.1,0.21
0.193,0.092,0.223
0.193,0.092,0.223
0.172,0.085,0.239
0.152,0.093,0.253
0.128,0.095,0.27
0.115,0.099,0.283
0.115,0.099,0.283
0.098,0.11,0.303
0.079,0.109,0.32
0.059,0.115,0.336
0.042,0.122,0.349
0.042,0.122,0.349
0.023,0.132,0.362
-0.001,0.135,0.378
-0.021,0.134,0.383
-0.021,0.134,0.383
-0.038,0.132,0.396
-0.053,0.144,0.398
-0.066,0.157,0.407
-0.068,0.175,0.411
-0.068,0.175,0.411
-0.074,0.188,0.427
-0.075,0.206,0.439
-0.083,0.224,0.448
-0.09,0.245,0.461
-0.09,0.245,0.461
-0.091,0.277,0.474
-0.089,0.315,0.486
-0.085,0.356,0.484
-0.085,0.356,0.484
-0.08,0.387,0.493
-0.065,0.428,0.493
-0.053,0.461,0.505
-0.035,0.487,0.494
-0.035,0.487,0.494
-0.022,0.512,0.488
-0.007,0.536,0.468
0.015,0.568,0.446
0.036,0.586,0.423
0.036,0.586,0.423
0.059,0.597,0.403
0.084,0.606,0.383
0.109,0.608,0.356
0.109,0.608,0.356
0.128,0.607,0.335
0.152,0.597,0.311
0.167,0.577,0.3
0.179,0.547,0.289
0.179,0.547,0.289
0.194,0.528,0.27
0.214,0.501,0.251
0.227,0.482,0.228
0.234,0.461,0.203
0.234,0.461,0.203
0.235,0.447,0.184
0.235,0.431,0.152
0.235,0.421,0.126
0.235,0.421,0.126
0.238,0.408,0.088
0.237,0.402,0.057
0.235,0.381,0.02
0.234,0.369,-0.0
0.234,0.369,-0.0
0.224,0.353,-0.039
0.221,0.343,-0.065
0.215,0.324,-0.089
0.198,0.311,-0.099
0.198,0.311,-0.099
0.175,0.318,-0.108
0.159,0.348,-0.11
0.14,0.391,-0.113
0.14,0.391,-0.113
0.127,0.443,-0.132
0.127,0.493,-0.15
0.114,0.523,-0.169
0.113,0.547,-0.19
0.113,0.547,-0.19
0.121,0.56,-0.206
0.129,0.567,-0.236
0.139,0.572,-0.259
0.155,0.567,-0.282
0.155,0.567,-0.282
0.17,0.555,-0.308
0.186,0.553,-0.327
0.186,0.546,-0.342
0.186,0.546,-0.342
0.19,0.546,-0.359
0.196,0.548,-0.381
0.196,0.543,-0.401
0.206,0.531,-0.407
0.206,0.531,-0.407
0.209,0.526,-0.422
0.213,0.511,-0.441
0.214,0.502,-0.455
0.219,0.488,-0.474
0.219,0.488,-0.474
0.223,0.476,-0.483
0.222,0.467,-0.503
0.224,0.458,-0.508
0.224,0.458,-0.508
0.224,0.456,-0.522
0.227,0.454,-0.523
0.22,0.443,-0.527
0.221,0.435,-0.543
0.221,0.435,-0.543
0.213,0.411,-0.555
0.208,0.387,-0.572
0.205,0.359,-0.591
0.192,0.326,-0.612
0.192,0.326,-0.612
0.174,0.292,-0.626
0.159,0.256,-0.649
0.129,0.223,-0.661
0.129,0.223,-0.661
0.108,0.193,-0.687
0.084,0.167,-0.698
0.057,0.146,-0.702
0.031,0.133,-0.702
0.031,0.133,-0.702
0.009,0.12,-0.723
-0.017,0.108,-0.725
-0.037,0.101,-0.738
-0.069,0.1,-0.74
-0.069,0.1,-0.74
-0.092,0.104,-0.754
-0.123,0.105,-0.761
-0.155,0.112,-0.77
-0.155,0.112,-0.77
-0.193,0.117,-0.769
-0.222,0.119,-0.771
-0.247,0.123,-0.775
-0.268,0.13,-0.776
-0.268,0.13,-0.776
-0.289,0.141,-0.774
-0.308,0.159,-0.783
-0.325,0.18,-0.792
-0.347,0.204,-0.793
-0.347,0.204,-0.793
-0.363,0.227,-0.804
-0.379,0.249,-0.805
-0.394,0.275,-0.804
-0.394,0.275,-0.804
-0.403,0.293,-0.807
-0.413,0.316,-0.815
-0.418,0.33,-0.807
-0.419,0.342,-0.809
-0.419,0.342,-0.809
-0.42,0.351,-0.804
-0.412,0.364,-0.818
-0.403,0.37,-0.82
-0.387,0.393,-0.818
-0.387,0.393,-0.818
-0.371,0.408,-0.824
-0.345,0.425,-0.838
-0.327,0.446,-0.826
-0.327,0.446,-0.826
-0.302,0.468,-0.824
-0.279,0.493,-0.822
-0.259,0.509,-0.822
-0.23,0.524,-0.81
-0.23,0.524,-0.81
-0.203,0.539,-0.799
-0.17,0.553,-0.788
-0.133,0.566,-0.774
-0.097,0.57,-0.746
-0.097,0.57,-0.746
-0.054,0.571,-0.719
-0.012,0.571,-0.682
0.035,0.555,-0.638
0.035,0.555,-0.638
0.077,0.541,-0.581
0.104,0.532,-0.507
0.122,0.512,-0.454
0.117,0.503,-0.41
0.117,0.503,-0.41
0.119,0.499,-0.395
0.12,0.49,-0.39
0.117,0.484,-0.383
0.119,0.474,-0.374
0.119,0.474,-0.374
0.116,0.468,-0.354
0.112,0.457,-0.352
0.109,0.445,-0.34
0.109,0.445,-0.34
0.102,0.426,-0.333
0.098,0.414,-0.312
0.093,0.388,-0.284
0.069,0.37,-0.252
0.069,0.37,-0.252
0.052,0.367,-0.237
0.047,0.363,-0.229
0.039,0.362,-0.235
0.034,0.363,-0.223
0.034,0.363,-0.223
0.027,0.362,-0.227
0.025,0.36,-0.224
0.024,0.353,-0.224
0.024,0.353,-0.224
0.023,0.347,-0.231
0.018,0.344,-0.235
0.021,0.344,-0.237
0.023,0.344,-0.236
0.023,0.344,-0.236
0.019,0.347,-0.238
0.028,0.351,-0.24
0.036,0.355,-0.243
0.039,0.364,-0.241
0.039,0.364,-0.241
0.041,0.383,-0.24
0.046,0.395,-0.235
0.047,0.413,-0.224
0.047,0.413,-0.224
0.051,0.431,-0.211
0.051,0.445,-0.199
0.046,0.457,-0.187
0.048,0.46,-0.166
0.048,0.46,-0.166
0.051,0.455,-0.155
0.047,0.445,-0.132
0.047,0.431,-0.112
0.042,0.411,-0.094
0.042,0.411,-0.094
0.037,0.395,-0.076
0.031,0.388,-0.051
0.019,0.378,-0.027
0.019,0.378,-0.027
0.006,0.365,-0.004
-0.005,0.352,0.014
-0.024,0.329,0.027
-0.038,0.303,0.036
-0.038,0.303,0.036
-0.052,0.279,0.052
-0.066,0.255,0.063
-0.078,0.235,0.068
-0.091,0.212,0.071
-0.091,0.212,0.071
-0.098,0.187,0.066
-0.102,0.17,0.057
-0.1,0.149,0.051
-0.1,0.149,0.051
-0.098,0.134,0.043
-0.1,0.119,0.043
-0.104,0.111,0.04
-0.113,0.106,0.03
-0.113,0.106,0.03
-0.11,0.1,0.024
-0.109,0.102,0.027
-0.107,0.092,0.014
-0.098,0.086,-0.01
-0.098,0.086,-0.01
-0.086,0.079,-0.02
-0.081,0.078,-0.031
-0.079,0.079,-0.027
-0.079,0.079,-0.027
-0.085,0.084,-0.033
-0.085,0.087,-0.041
-0.088,0.076,-0.052
-0.089,0.056,-0.059
-0.089,0.056,-0.059
-0.088,0.042,-0.071
-0.079,0.041,-0.074
-0.075,0.035,-0.085
-0.066,0.025,-0.095
-0.066,0.025,-0.095
-0.06,0.017,-0.104
-0.056,0.009,-0.115
-0.052,0.0,-0.125
-0.052,0.0,-0.125
-0.049,-0.01,-0.131
-0.045,-0.018,-0.149
-0.044,-0.037,-0.16
-0.038,-0.049,-0.178
-0.038,-0.049,-0.178
-0.039,-0.068,-0.201
-0.042,-0.087,-0.228
-0.049,-0.112,-0.26
-0.052,-0.135,-0.302
-0.052,-0.135,-0.302
-0.067,-0.156,-0.341
-0.08,-0.171,-0.373
-0.112,-0.182,-0.402
-0.112,-0.182,-0.402
-0.131,-0.192,-0.438
-0.153,-0.196,-0.468
-0.17,-0.2,-0.495
-0.183,-0.197,-0.529
-0.183,-0.197,-0.529
-0.191,-0.192,-0.557
-0.204,-0.183,-0.582
-0.217,-0.178,-0.602
-0.228,-0.169,-0.618
-0.228,-0.169,-0.618
-0.241,-0.158,-0.645
-0.251,-0.15,-0.663
-0.258,-0.137,-0.676
-0.258,-0.137,-0.676
-0.258,-0.127,-0.696
-0.262,-0.118,-0.701
-0.267,-0.119,-0.719
-0.267,-0.11,-0.727
-0.267,-0.11,-0.727
-0.268,-0.101,-0.74
-0.278,-0.097,-0.746
-0.281,-0.09,-0.759
-0.29,-0.081,-0.775
-0.29,-0.081,-0.775
-0.298,-0.081,-0.79
-0.299,-0.08,-0.786
-0.305,-0.073,-0.789
