mx,my,mz
-0.263,0.276,-0.612
-0.262,0.277,-0.616
-0.262,0.278,-0.612
-0.263,0.277,-0.618
-0.26,0.281,-0.618
-0.261,0.283,-0.615
-0.261,0.283,-0.615
-0.257,0.286,-0.62
-0.255,0.291,-0.627
-0.249,0.294,-0.626
-0.247,0.295,-0.63
-0.24,0.303,-0.635
-0.24,0.305,-0.636
-0.24,0.305,-0.643
-0.231,0.312,-0.643
-0.231,0.311,-0.648
-0.224,0.32,-0.649
-0.218,0.325,-0.657
-0.213,0.33,-0.653
-0.206,0.334,-0.663
-0.207,0.339,-0.658
-0.207,0.339,-0.658
-0.201,0.349,-0.669
-0.196,0.351,-0.668
-0.19,0.357,-0.669
-0.192,0.356,-0.671
-0.186,0.364,-0.671
-0.183,0.368,-0.677
-0.183,0.368,-0.677
-0.183,0.372,-0.681
-0.18,0.377,-0.684
-0.177,0.384,-0.691
-0.182,0.391,-0.693
-0.179,0.397,-0.693
-0.178,0.399,-0.691
-0.178,0.399,-0.691
-0.176,0.406,-0.695
-0.17,0.409,-0.695
-0.172,0.415,-0.695
-0.166,0.419,-0.695
-0.167,0.421,-0.692
-0.164,0.431,-0.695
-0.164,0.431,-0.695
-0.165,0.441,-0.698
-0.168,0.441,-0.697
-0.164,0.449,-0.695
-0.165,0.448,-0.7
-0.161,0.453,-0.694
-0.16,0.445,-0.698
-0.16,0.445,-0.698
-0.157,0.455,-0.699
-0.163,0.454,-0.689
-0.153,0.459,-0.694
-0.152,0.457,-0.695
-0.156,0.453,-0.697
-0.164,0.456,-0.694
-0.164,0.456,-0.694
-0.162,0.456,-0.693
-0.172,0.456,-0.689
-0.177,0.457,-0.694
-0.176,0.448,-0.694
-0.186,0.442,-0.698
-0.187,0.439,-0.695
-0.187,0.439,-0.695
-0.186,0.43,-0.697
-0.184,0.431,-0.697
-0.171,0.413,-0.702
-0.159,0.402,-0.691
-0.148,0.391,-0.69
-0.135,0.385,-0.692
-0.135,0.377,-0.684
-0.128,0.377,-0.684
-0.116,0.371,-0.684
-0.11,0.357,-0.667
-0.104,0.358,-0.666
-0.091,0.348,-0.664
-0.077,0.337,-0.651
-0.06,0.326,-0.636
-0.06,0.326,-0.636
-0.048,0.317,-0.624
-0.036,0.306,-0.617
-0.026,0.303,-0.605
-0.016,0.303,-0.595
-0.011,0.304,-0.588
-0.002,0.305,-0.587
-0.002,0.305,-0.587
0.005,0.305,-0.588
0.009,0.311,-0.575
0.015,0.308,-0.577
0.022,0.309,-0.572
0.027,0.304,-0.58
0.018,0.317,-0.577
0.018,0.317,-0.577
0.026,0.314,-0.577
0.03,0.322,-0.582
0.027,0.327,-0.585
0.016,0.338,-0.602
0.012,0.353,-0.606
0.007,0.364,-0.612
0.007,0.364,-0.612
-0.013,0.379,-0.623
-0.028,0.388,-0.632
-0.036,0.406,-0.644
-0.052,0.42,-0.653
-0.069,0.435,-0.668
-0.081,0.451,-0.676
-0.081,0.451,-0.676
-0.097,0.47,-0.679
-0.117,0.489,-0.684
-0.134,0.507,-0.683
-0.154,0.524,-0.685
-0.182,0.548,-0.686
-0.203,0.566,-0.679
-0.203,0.566,-0.679
-0.224,0.587,-0.68
-0.248,0.609,-0.664
-0.273,0.635,-0.658
-0.285,0.649,-0.642
-0.305,0.671,-0.622
-0.328,0.687,-0.601
-0.328,0.687,-0.601
-0.343,0.709,-0.574
-0.355,0.72,-0.554
-0.366,0.734,-0.524
-0.369,0.752,-0.498
-0.372,0.759,-0.483
-0.368,0.766,-0.467
-0.368,0.768,-0.456
-0.371,0.768,-0.456
-0.362,0.77,-0.449
-0.358,0.772,-0.441
-0.355,0.776,-0.434
-0.354,0.776,-0.427
-0.352,0.777,-0.42
-0.34,0.775,-0.414
-0.34,0.775,-0.414
-0.333,0.777,-0.408
-0.33,0.781,-0.402
-0.326,0.782,-0.389
-0.319,0.784,-0.379
-0.313,0.784,-0.381
-0.307,0.789,-0.371
-0.307,0.789,-0.371
-0.302,0.788,-0.36
-0.298,0.785,-0.363
-0.301,0.789,-0.358
-0.289,0.79,-0.36
-0.28,0.786,-0.357
-0.273,0.788,-0.358
-0.273,0.788,-0.358
-0.262,0.788,-0.363
-0.249,0.787,-0.363
-0.237,0.789,-0.357
-0.215,0.79,-0.351
-0.195,0.789,-0.341
-0.181,0.788,-0.35
-0.181,0.788,-0.35
-0.154,0.775,-0.352
-0.135,0.77,-0.355
-0.125,0.769,-0.36
-0.107,0.767,-0.359
-0.093,0.763,-0.366
-0.076,0.76,-0.367
-0.076,0.76,-0.367
-0.058,0.747,-0.365
-0.032,0.735,-0.368
-0.013,0.72,-0.364
0.005,0.705,-0.354
0.024,0.694,-0.354
0.034,0.688,-0.352
0.034,0.688,-0.352
0.04,0.686,-0.349
0.044,0.686,-0.351
0.041,0.691,-0.351
0.037,0.698,-0.356
0.028,0.705,-0.347
0.024,0.707,-0.349
0.024,0.707,-0.349
0.022,0.705,-0.343
0.02,0.712,-0.333
0.017,0.713,-0.323
0.012,0.714,-0.314
0.001,0.721,-0.315
-0.018,0.729,-0.311
-0.018,0.745,-0.318
-0.033,0.745,-0.318
-0.055,0.754,-0.317
-0.077,0.763,-0.317
-0.096,0.774,-0.312
-0.114,0.777,-0.316
-0.134,0.785,-0.322
-0.157,0.793,-0.323
-0.157,0.793,-0.323
-0.178,0.798,-0.337
-0.194,0.805,-0.352
-0.211,0.807,-0.359
-0.223,0.808,-0.356
-0.229,0.807,-0.368
-0.235,0.807,-0.374
-0.235,0.807,-0.374
-0.24,0.801,-0.392
-0.246,0.803,-0.411
-0.25,0.799,-0.43
-0.252,0.799,-0.443
-0.263,0.8,-0.454
-0.262,0.797,-0.469
-0.262,0.797,-0.469
-0.261,0.795,-0.481
-0.26,0.792,-0.487
-0.253,0.791,-0.498
-0.253,0.788,-0.494
-0.246,0.788,-0.497
-0.231,0.79,-0.497
-0.231,0.79,-0.497
-0.205,0.779,-0.501
-0.186,0.773,-0.515
-0.177,0.762,-0.519
-0.166,0.76,-0.526
-0.163,0.755,-0.534
-0.153,0.752,-0.538
-0.153,0.752,-0.538
-0.149,0.745,-0.533
-0.146,0.746,-0.53
-0.141,0.748,-0.526
-0.139,0.745,-0.524
-0.137,0.748,-0.53
-0.138,0.745,-0.526
-0.138,0.745,-0.526
-0.134,0.741,-0.53
