ax,ay,az
-0.005,-0.016,0.986
-0.005,-0.017,0.986
-0.006,-0.015,0.987
-0.006,-0.017,0.986
-0.005,-0.016,0.987
-0.004,-0.018,0.986
-0.005,-0.015,0.986
-0.006,-0.017,0.987
-0.006,-0.017,0.986
-0.006,-0.017,0.987
-0.006,-0.016,0.987
-0.006,-0.015,0.988
-0.005,-0.017,0.985
-0.006,-0.018,0.986
-0.006,-0.016,0.986
-0.006,-0.016,0.987
-0.006,-0.016,0.987
-0.006,-0.017,0.986
-0.007,-0.017,0.986
-0.005,-0.016,0.988
-0.005,-0.016,0.987
-0.005,-0.017,0.987
-0.005,-0.018,0.986
-0.005,-0.016,0.987
-0.005,-0.017,0.987
-0.006,-0.016,0.987
-0.005,-0.016,0.987
-0.005,-0.015,0.987
-0.006,-0.016,0.988
-0.006,-0.017,0.986
-0.005,-0.017,0.987
-0.006,-0.016,0.988
-0.006,-0.018,0.988
-0.006,-0.016,0.987
-0.005,-0.015,0.987
-0.005,-0.016,0.987
-0.006,-0.017,0.987
-0.004,-0.017,0.987
-0.005,-0.016,0.987
-0.005,-0.015,0.986
-0.005,-0.017,0.987
-0.006,-0.017,0.987
-0.006,-0.016,0.987
-0.005,-0.016,0.987
-0.005,-0.017,0.987
-0.005,-0.016,0.988
-0.004,-0.016,0.987
-0.005,-0.016,0.986
-0.005,-0.016,0.987
-0.006,-0.017,0.986
-0.004,-0.017,0.985
-0.005,-0.015,0.987
-0.006,-0.016,0.986
-0.006,-0.016,0.987
-0.006,-0.016,0.986
-0.005,-0.016,0.988
-0.005,-0.017,0.987
-0.005,-0.016,0.987
-0.005,-0.017,0.987
-0.005,-0.018,0.986
-0.006,-0.017,0.987
-0.005,-0.016,0.987
-0.005,-0.016,0.987
-0.005,-0.017,0.989
-0.005,-0.016,0.986
-0.005,-0.016,0.986
-0.007,-0.016,0.987
-0.005,-0.016,0.987
-0.005,-0.016,0.987
-0.005,-0.016,0.986
-0.006,-0.017,0.986
-0.006,-0.015,0.986
-0.004,-0.017,0.988
-0.006,-0.018,0.987
-0.006,-0.017,0.987
-0.006,-0.016,0.987
-0.005,-0.017,0.987
-0.005,-0.016,0.986
-0.006,-0.016,0.987
-0.005,-0.016,0.987
-0.005,-0.017,0.986
-0.006,-0.016,0.987
-0.005,-0.017,0.987
-0.007,-0.016,0.986
-0.005,-0.016,0.988
-0.005,-0.016,0.986
-0.005,-0.016,0.987
-0.005,-0.017,0.986
-0.006,-0.016,0.988
-0.005,-0.015,0.986
-0.005,-0.016,0.987
-0.006,-0.016,0.987
-0.006,-0.017,0.986
-0.006,-0.016,0.987
-0.007,-0.017,0.987
-0.006,-0.018,0.988
-0.005,-0.015,0.988
-0.005,-0.017,0.987
-0.005,-0.015,0.988
-0.005,-0.016,0.986
-0.005,-0.016,0.987
-0.005,-0.016,0.987
-0.005,-0.016,0.987
-0.006,-0.015,0.986
-0.005,-0.017,0.985
-0.006,-0.016,0.987
-0.006,-0.016,0.987
-0.007,-0.016,0.988
-0.006,-0.017,0.986
-0.005,-0.017,0.985
-0.006,-0.016,0.987
-0.007,-0.016,0.988
-0.005,-0.016,0.986
-0.007,-0.015,0.985
-0.006,-0.015,0.987
-0.006,-0.017,0.987
-0.005,-0.016,0.985
-0.006,-0.015,0.986
-0.005,-0.016,0.987
-0.005,-0.016,0.987
-0.006,-0.017,0.987
-0.005,-0.015,0.985
-0.005,-0.016,0.986
-0.005,-0.017,0.986
-0.006,-0.016,0.988
-0.005,-0.018,0.988
-0.005,-0.017,0.988
-0.006,-0.017,0.987
-0.007,-0.017,0.987
-0.004,-0.016,0.987
-0.006,-0.016,0.986
-0.006,-0.015,0.988
-0.005,-0.017,0.987
-0.005,-0.018,0.987
-0.006,-0.017,0.986
-0.005,-0.017,0.987
-0.005,-0.017,0.987
-0.005,-0.017,0.988
-0.005,-0.016,0.987
-0.006,-0.016,0.987
-0.005,-0.017,0.987
-0.005,-0.017,0.986
-0.005,-0.017,0.986
-0.006,-0.015,0.987
-0.006,-0.017,0.988
-0.005,-0.017,0.986
-0.004,-0.016,0.986
-0.006,-0.017,0.986
-0.006,-0.016,0.988
-0.006,-0.017,0.988
