ax,ay,az
-0.015,-0.005,0.998
-0.015,-0.005,0.988
-0.016,-0.005,1.005
-0.015,-0.006,0.996
-0.015,-0.006,0.998
-0.014,-0.005,0.994
-0.015,-0.005,1.001
-0.015,-0.006,0.993
-0.015,-0.005,0.998
-0.016,-0.006,0.995
-0.014,-0.005,0.995
-0.016,-0.006,0.996
-0.015,-0.005,0.998
-0.016,-0.006,0.994
-0.015,-0.005,0.996
-0.016,-0.005,1.0
-0.015,-0.005,0.994
-0.016,-0.005,0.999
-0.015,-0.006,0.997
-0.014,-0.005,0.997
-0.016,-0.005,0.996
-0.015,-0.005,0.997
-0.017,-0.006,0.996
-0.015,-0.006,0.998
-0.015,-0.006,0.995
-0.015,-0.005,0.997
-0.014,-0.006,0.996
-0.016,-0.006,0.996
-0.016,-0.006,0.996
-0.017,-0.006,0.998
-0.016,-0.006,0.996
-0.015,-0.005,0.997
-0.015,-0.005,0.997
-0.015,-0.005,0.997
-0.015,-0.005,0.995
-0.015,-0.006,0.996
-0.015,-0.006,0.996
-0.016,-0.006,0.996
-0.017,-0.004,0.997
-0.016,-0.005,0.997
-0.015,-0.006,0.997
-0.015,-0.005,0.996
-0.016,-0.006,0.997
-0.015,-0.006,0.996
-0.016,-0.006,0.998
-0.015,-0.006,0.997
-0.015,-0.005,0.996
-0.015,-0.005,0.996
-0.015,-0.005,0.996
-0.015,-0.006,0.996
-0.016,-0.005,0.997
-0.015,-0.005,0.997
-0.015,-0.005,0.997
-0.016,-0.006,0.996
-0.015,-0.005,0.996
-0.015,-0.006,0.996
-0.016,-0.006,0.997
-0.016,-0.005,0.997
-0.016,-0.006,0.996
-0.016,-0.005,0.996
-0.015,-0.006,0.996
-0.016,-0.004,0.996
-0.015,-0.007,0.996
-0.015,-0.006,0.996
-0.014,-0.005,0.997
-0.016,-0.006,0.996
-0.016,-0.005,0.997
-0.015,-0.004,0.996
-0.015,-0.005,0.996
-0.016,-0.005,0.996
-0.016,-0.005,0.997
-0.015,-0.006,0.996
-0.015,-0.006,0.996
-0.016,-0.005,0.995
-0.016,-0.006,0.996
-0.015,-0.005,0.996
-0.015,-0.005,0.997
-0.016,-0.007,0.996
-0.015,-0.005,0.997
-0.015,-0.006,0.995
-0.017,-0.006,0.997
-0.015,-0.006,0.996
-0.016,-0.006,0.997
-0.014,-0.006,0.998
-0.015,-0.005,0.996
-0.015,-0.006,0.997
-0.016,-0.006,0.997
-0.016,-0.005,0.997
-0.016,-0.006,0.995
-0.015,-0.005,0.996
-0.015,-0.007,0.997
-0.014,-0.005,0.997
-0.016,-0.006,0.996
-0.015,-0.005,0.997
-0.015,-0.005,0.997
-0.014,-0.005,0.997
-0.016,-0.005,0.997
-0.015,-0.006,0.997
-0.015,-0.005,0.996
-0.015,-0.006,0.996
0.004,0.982,-0.009
-0.001,0.979,-0.008
-0.004,0.987,-0.013
0.003,0.98,-0.0
-0.001,0.982,-0.011
-0.0,0.976,-0.008
-0.0,0.983,-0.005
-0.0,0.985,-0.008
0.0,0.981,-0.001
-0.001,0.979,-0.005
-0.0,0.983,-0.007
0.002,0.982,0.002
0.002,0.979,-0.004
0.0,0.983,-0.005
-0.001,0.982,-0.006
-0.0,0.981,-0.007
0.0,0.981,-0.007
-0.001,0.981,-0.008
0.0,0.98,-0.007
-0.0,0.981,-0.005
0.001,0.981,-0.007
0.001,0.982,-0.005
-0.001,0.983,-0.007
-0.001,0.981,-0.007
0.001,0.98,-0.006
-0.0,0.982,-0.006
-0.001,0.981,-0.006
0.001,0.98,-0.007
0.0,0.981,-0.006
-0.0,0.982,-0.006
-0.002,0.98,-0.013
-0.0,0.98,-0.007
-0.0,0.98,-0.008
-0.0,0.984,-0.005
-0.0,0.982,-0.007
-0.001,0.981,-0.006
-0.001,0.98,-0.008
-0.001,0.982,-0.011
-0.001,0.981,-0.007
-0.001,0.981,-0.004
-0.001,0.981,-0.006
0.0,0.981,-0.006
0.0,0.981,-0.006
0.0,0.981,-0.005
-0.001,0.981,-0.005
-0.001,0.981,-0.006
-0.001,0.982,-0.009
-0.017,0.982,-0.038
0.002,0.981,-0.01
-0.001,0.983,-0.013
-0.005,0.982,-0.027
0.008,0.979,0.007
-0.002,0.981,-0.007
0.004,0.983,0.013
0.002,0.98,0.003
0.001,0.98,-0.003
