time,ax,ay,az,gx,gy,gz,mx,my,mz,altitude_m,ral_m
2.53,-0.015,-0.030,1.003,0.002,-0.002,0.001,-578.480,285.040,-956.480,221.76,-0.08000
2.54,-0.014,-0.030,1.005,0.002,-0.002,0.000,-578.480,285.040,-956.480,221.62,-0.22000
2.55,-0.014,-0.029,1.003,0.002,-0.003,0.000,-578.340,283.220,-952.420,220.99,-0.85000
2.56,-0.015,-0.030,1.005,0.002,-0.002,0.000,-581.140,278.740,-954.800,221.46,-0.38000
2.57,-0.014,-0.030,1.005,0.001,-0.002,0.000,-575.400,280.980,-954.100,220.84,-1.00000
2.58,-0.017,-0.028,1.004,0.002,-0.002,0.000,-574.840,281.260,-957.740,221.71,-0.13000
2.59,-0.015,-0.029,1.004,0.002,-0.002,0.000,-574.280,279.580,-952.000,221.64,-0.20000
2.60,-0.014,-0.030,1.004,0.002,-0.003,0.000,-573.440,278.320,-955.080,221.42,-0.42000
2.61,-0.013,-0.030,1.004,0.001,-0.003,0.000,-573.440,278.320,-955.080,221.36,-0.48000
2.62,-0.013,-0.030,1.003,0.002,-0.003,0.000,-579.880,280.000,-953.400,220.83,-1.01000
2.63,-0.015,-0.030,1.005,0.002,-0.002,0.001,-581.000,279.020,-955.080,221.78,-0.06000
2.64,-0.014,-0.030,1.005,0.002,-0.002,0.001,-581.000,284.060,-952.840,221.13,-0.71000
2.65,-0.014,-0.030,1.003,0.001,-0.002,0.001,-579.460,282.100,-954.940,221.11,-0.73000
2.66,-0.015,-0.030,1.004,0.002,-0.002,0.000,-578.900,282.660,-949.200,221.79,-0.05000
2.67,-0.013,-0.028,1.005,0.002,-0.002,0.000,-583.100,283.920,-952.420,221.14,-0.70000
2.68,-0.014,-0.030,1.004,0.001,-0.002,-0.000,-583.100,283.920,-952.420,221.53,-0.31000
2.69,-0.015,-0.029,1.004,0.002,-0.002,0.000,-582.120,284.760,-946.960,222.17,0.33000
2.70,-0.014,-0.029,1.003,0.002,-0.002,0.000,-580.580,279.860,-954.380,222.37,0.53000
