time,ax,ay,az,gx,gy,gz,mx,my,mz,altitude_m,ral_m
0.58,-0.014,-0.030,1.005,0.002,-0.002,0.000,-578.200,280.420,-954.940,221.32,-0.52000
0.59,-0.014,-0.030,1.003,0.002,-0.002,0.001,-579.180,279.160,-952.280,221.01,-0.83000
0.60,-0.014,-0.029,1.004,0.001,-0.002,0.000,-583.800,279.160,-956.620,221.65,-0.19000
0.61,-0.015,-0.030,1.004,0.001,-0.002,0.000,-583.800,279.160,-948.500,221.87,0.03000
0.62,-0.014,-0.029,1.004,0.002,-0.002,0.001,-580.720,279.160,-948.500,221.20,-0.64000
0.63,-0.014,-0.030,1.004,0.002,-0.003,0.001,-583.380,281.820,-955.640,221.48,-0.36000
0.64,-0.014,-0.030,1.005,0.002,-0.002,0.001,-580.860,279.580,-950.600,221.49,-0.35000
0.65,-0.015,-0.031,1.005,0.002,-0.002,0.000,-582.260,280.280,-950.880,221.44,-0.40000
0.66,-0.015,-0.029,1.004,0.002,-0.003,0.000,-579.600,278.740,-952.000,221.76,-0.08000
0.67,-0.015,-0.030,1.003,0.002,-0.002,0.000,-580.580,278.880,-952.980,220.62,-1.22000
0.68,-0.013,-0.030,1.003,0.002,-0.002,0.000,-578.200,281.680,-954.800,221.34,-0.50000
0.69,-0.015,-0.030,1.004,0.002,-0.002,-0.000,-578.200,281.680,-954.800,221.67,-0.17000
0.70,-0.015,-0.030,1.003,0.002,-0.002,0.000,-577.640,279.720,-947.240,222.38,0.54000
0.71,-0.013,-0.029,1.004,0.002,-0.002,0.000,-578.200,278.880,-951.160,220.77,-1.07000
0.72,-0.014,-0.029,1.004,0.002,-0.002,0.000,-575.260,279.300,-954.380,221.18,-0.66000
0.73,-0.015,-0.030,1.004,0.002,-0.002,0.001,-578.900,279.860,-950.180,222.03,0.19000
0.74,-0.014,-0.029,1.004,0.002,-0.003,0.000,-579.880,279.720,-953.960,221.11,-0.73000
0.75,-0.015,-0.030,1.003,0.001,-0.002,0.000,-582.820,283.360,-953.960,221.42,-0.42000
0.76,-0.014,-0.030,1.004,0.002,-0.002,0.000,-582.820,283.360,-953.960,221.93,0.09000
0.77,-0.015,-0.030,1.002,0.002,-0.002,0.000,-579.180,283.360,-962.360,221.23,-0.61000
0.78,-0.013,-0.031,1.003,0.002,-0.002,0.000,-580.020,280.140,-953.120,220.93,-0.91000
0.79,-0.014,-0.030,1.004,0.001,-0.002,0.001,-581.560,277.340,-950.460,221.79,-0.05000
0.80,-0.014,-0.030,1.004,0.002,-0.002,0.001,-577.780,281.540,-953.680,221.95,0.11000
0.81,-0.013,-0.030,1.004,0.002,-0.002,0.000,-584.780,281.960,-949.900,221.81,-0.03000
0.82,-0.014,-0.030,1.003,0.002,-0.002,0.001,-580.020,279.440,-948.220,221.51,-0.33000
0.83,-0.014,-0.030,1.005,0.002,-0.002,0.000,-580.020,279.440,-948.220,221.23,-0.61000
0.84,-0.013,-0.029,1.004,0.002,-0.002,0.000,-584.500,281.960,-948.640,221.65,-0.19000
0.85,-0.015,-0.029,1.004,0.001,-0.002,0.000,-580.860,280.980,-952.560,220.89,-0.95000
0.86,-0.014,-0.029,1.003,0.002,-0.003,0.000,-574.700,281.820,-951.860,221.54,-0.30000
0.87,-0.014,-0.029,1.004,0.002,-0.002,0.000,-578.060,281.960,-950.880,221.02,-0.82000
0.88,-0.014,-0.030,1.003,0.002,-0.002,0.000,-578.200,283.080,-958.440,221.50,-0.34000
0.89,-0.013,-0.030,1.004,0.002,-0.002,0.001,-579.460,283.640,-958.720,221.72,-0.12000
0.90,-0.014,-0.030,1.005,0.002,-0.002,0.000,-579.460,283.640,-958.720,221.63,-0.21000
0.91,-0.015,-0.029,1.003,0.002,-0.002,0.000,-580.440,282.240,-954.520,221.12,-0.72000
0.92,-0.014,-0.029,1.006,0.002,-0.002,0.000,-579.740,284.620,-954.800,221.43,-0.41000
0.93,-0.014,-0.030,1.004,0.002,-0.002,0.000,-581.280,283.220,-955.360,221.58,-0.26000
0.94,-0.014,-0.029,1.005,0.002,-0.002,0.000,-578.200,277.340,-957.040,221.29,-0.55000
