t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-09-08 19:49:20.409,-0.007,-0.035,1.003,0.0,-0.0,0.0,-163.5,477.8,-881.3,126.57
2025-09-08 19:49:20.420,-0.007,-0.036,1.004,0.0,-0.0,0.0,-167.6,477.3,-877.8,126.43
2025-09-08 19:49:20.431,-0.007,-0.036,1.003,0.0,-0.0,0.0,-170.7,476.0,-871.1,126.68
2025-09-08 19:49:20.442,-0.008,-0.035,1.005,0.0,-0.0,0.0,-170.7,476.0,-871.1,126.79
2025-09-08 19:49:20.453,-0.007,-0.034,1.004,0.0,-0.0,0.0,-168.4,476.7,-882.3,127.04
2025-09-08 19:49:20.464,-0.007,-0.035,1.004,0.0,-0.0,0.0,-169.3,479.6,-883.4,126.41
2025-09-08 19:49:20.475,-0.007,-0.034,1.004,0.0,-0.0,0.0,-171.2,474.2,-885.9,126.24
2025-09-08 19:49:20.486,-0.008,-0.035,1.003,0.0,-0.0,0.0,-171.9,479.1,-880.9,126.59
2025-09-08 19:49:20.497,-0.009,-0.035,1.004,0.0,-0.0,0.0,-174.7,479.6,-876.0,126.98
2025-09-08 19:49:20.508,-0.008,-0.035,1.004,0.0,-0.0,0.0,-171.6,474.6,-881.9,126.3
2025-09-08 19:49:20.519,-0.008,-0.036,1.003,0.0,-0.0,0.0,-171.6,474.6,-881.9,126.7
2025-09-08 19:49:20.530,-0.008,-0.036,1.004,0.0,-0.0,0.0,-172.6,479.6,-885.6,126.92
2025-09-08 19:49:20.541,-0.009,-0.035,1.002,0.0,-0.0,0.0,-169.5,476.4,-885.8,126.12
2025-09-08 19:49:20.552,-0.007,-0.035,1.006,0.0,-0.0,0.0,-172.1,476.4,-884.1,125.89
2025-09-08 19:49:20.563,-0.007,-0.035,1.004,0.0,-0.0,0.0,-174.7,480.1,-885.5,126.24
2025-09-08 19:49:20.574,-0.008,-0.036,1.004,0.0,-0.0,0.0,-170.7,481.6,-883.4,126.77
2025-09-08 19:49:20.585,-0.007,-0.035,1.002,0.0,-0.0,0.0,-170.8,477.5,-880.5,126.48
2025-09-08 19:49:20.596,-0.008,-0.035,1.005,0.0,-0.0,0.0,-170.8,477.5,-880.5,126.28
2025-09-08 19:49:20.607,-0.008,-0.037,1.004,0.0,-0.0,0.0,-170.1,478.8,-879.3,126.43
2025-09-08 19:49:20.618,-0.007,-0.035,1.003,0.0,-0.0,0.0,-172.5,481.7,-879.9,126.03
2025-09-08 19:49:20.629,-0.008,-0.035,1.004,0.0,-0.0,0.0,-172.1,481.5,-881.6,126.38
2025-09-08 19:49:20.640,-0.007,-0.036,1.003,0.0,-0.0,0.0,-169.5,478.7,-877.5,126.56
2025-09-08 19:49:20.651,-0.007,-0.035,1.004,0.0,-0.0,0.0,-168.8,478.9,-880.7,126.31
2025-09-08 19:49:20.662,-0.007,-0.036,1.004,0.0,-0.0,0.0,-166.9,478.8,-882.1,126.46
2025-09-08 19:49:20.673,-0.008,-0.035,1.004,0.0,-0.0,0.0,-166.9,478.8,-882.1,126.16
2025-09-08 19:49:20.684,-0.008,-0.035,1.003,0.0,-0.0,0.0,-173.3,475.2,-879.8,126.57
2025-09-08 19:49:20.695,-0.008,-0.035,1.003,0.0,-0.0,0.0,-170.8,479.6,-879.3,125.99
2025-09-08 19:49:20.706,-0.007,-0.035,1.004,0.0,-0.0,0.0,-166.2,476.3,-880.2,126.48
2025-09-08 19:49:20.717,-0.008,-0.035,1.004,0.0,-0.0,0.0,-167.4,474.3,-879.6,126.37
