ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.02086,0.02342,0.99710,0.00075,0.00001,-0.00056,-0.25228,-0.17413,-0.15408,982.25000,27.55000,291.49000
-0.01889,0.02347,0.99907,0.00075,0.00001,0.00044,-0.26228,-0.17713,-0.15508,982.09000,27.55000,292.80000
-0.02085,0.02242,0.99707,-0.00025,0.00001,0.00044,-0.25828,-0.17313,-0.15508,982.19000,27.55000,291.92000
-0.02088,0.02346,0.99810,-0.00025,0.00001,0.00044,-0.25828,-0.17513,-0.15208,982.19000,27.55000,291.94000
-0.02089,0.02349,0.99910,-0.00025,0.00001,-0.00056,-0.25928,-0.17213,-0.14708,982.17000,27.55000,292.10000
-0.01988,0.02247,0.99905,-0.00025,0.00001,-0.00056,-0.25928,-0.17413,-0.14608,982.22000,27.55000,291.66000
-0.02087,0.02245,0.99807,-0.00025,0.00001,-0.00056,-0.25928,-0.17413,-0.14608,982.19000,27.55000,291.98000
-0.02088,0.02346,0.99810,0.00075,0.00001,-0.00056,-0.26028,-0.17313,-0.14908,982.22000,27.55000,291.67000
-0.02188,0.02347,0.99812,-0.00025,0.00001,-0.00056,-0.25528,-0.17613,-0.14808,982.24000,27.55000,291.57000
-0.01987,0.02345,0.99809,0.00075,0.00001,-0.00056,-0.26028,-0.17713,-0.14908,982.22000,27.55000,291.72000
-0.02088,0.02346,0.99810,0.00075,0.00001,-0.00056,-0.25728,-0.17313,-0.15008,982.19000,27.55000,291.97000
-0.02085,0.02242,0.99707,-0.00025,0.00001,-0.00056,-0.25728,-0.17313,-0.15408,982.23000,27.55000,291.65000
-0.01988,0.02247,0.99905,-0.00025,0.00001,-0.00056,-0.25728,-0.17213,-0.15108,982.16000,27.55000,292.25000
-0.02087,0.02245,0.99807,-0.00025,0.00001,0.00044,-0.25728,-0.17213,-0.15608,982.24000,27.55000,291.56000
-0.02089,0.02349,0.99910,0.00075,0.00001,-0.00056,-0.25428,-0.17113,-0.15608,982.17000,27.55000,292.17000
-0.01987,0.02345,0.99809,0.00075,0.00001,0.00044,-0.25528,-0.17313,-0.14808,982.13000,27.55000,292.48000
-0.01989,0.02348,0.99909,0.00075,0.00001,0.00044,-0.25328,-0.17313,-0.15308,982.05000,27.55000,293.14000
-0.02087,0.02245,0.99807,-0.00025,0.00001,0.00044,-0.25428,-0.17113,-0.14708,982.17000,27.54000,292.09000
-0.02087,0.02148,0.99904,0.00075,0.00001,0.00044,-0.25328,-0.16913,-0.14508,982.06000,27.55000,293.07000
-0.02087,0.02245,0.99807,0.00075,0.00001,-0.00056,-0.25328,-0.16813,-0.14508,982.22000,27.55000,291.73000
