ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
0.00654,-0.03055,0.99492,0.00012,-0.00022,-0.00025,-0.29632,-0.02498,-0.14564,982.75000,27.17000,287.17000
0.00656,-0.03160,0.99794,0.00012,-0.00022,-0.00025,-0.29532,-0.01998,-0.14764,982.73000,27.17000,287.40000
0.00655,-0.03058,0.99692,0.00012,-0.00022,-0.00025,-0.29532,-0.02298,-0.14864,982.73000,27.17000,287.35000
0.00555,-0.03157,0.99593,0.00012,-0.00022,-0.00025,-0.29532,-0.02698,-0.14364,982.65000,27.17000,288.00000
0.00853,-0.03155,0.99495,0.00012,-0.00022,-0.00025,-0.29532,-0.02698,-0.13664,982.73000,27.18000,287.34000
0.00655,-0.03057,0.99592,0.00012,-0.00022,-0.00025,-0.29532,-0.02698,-0.13664,982.67000,27.17000,287.88000
0.00755,-0.03058,0.99693,0.00012,-0.00022,-0.00025,-0.29432,-0.02898,-0.14564,982.73000,27.17000,287.34000
0.00754,-0.03055,0.99493,0.00012,-0.00022,-0.00025,-0.29132,-0.02498,-0.13964,982.72000,27.17000,287.45000
0.00555,-0.03156,0.99493,0.00012,-0.00022,-0.00025,-0.29432,-0.02098,-0.14764,982.70000,27.17000,287.61000
0.00555,-0.03156,0.99493,0.00012,-0.00022,-0.00025,-0.29532,-0.02398,-0.14564,982.72000,27.17000,287.44000
0.00556,-0.03158,0.99693,0.00012,-0.00022,-0.00025,-0.29632,-0.02398,-0.14364,982.73000,27.17000,287.32000
0.00555,-0.03156,0.99493,0.00012,-0.00022,-0.00025,-0.29532,-0.02498,-0.14264,982.75000,27.17000,287.20000
0.00755,-0.03058,0.99693,0.00012,-0.00022,-0.00025,-0.29532,-0.02498,-0.14264,982.70000,27.17000,287.65000
0.00655,-0.03157,0.99594,0.00012,-0.00022,-0.00025,-0.28932,-0.02198,-0.14364,982.75000,27.17000,287.16000
