mx,my,mz
-0.603,0.54,-0.232
-0.603,0.56,-0.251
-0.605,0.571,-0.263
-0.605,0.571,-0.263
-0.606,0.584,-0.287
-0.604,0.596,-0.308
-0.6,0.611,-0.331
-0.605,0.624,-0.354
-0.605,0.624,-0.354
-0.604,0.634,-0.375
-0.598,0.644,-0.397
-0.594,0.651,-0.416
-0.586,0.66,-0.44
-0.586,0.66,-0.44
-0.578,0.666,-0.454
-0.569,0.669,-0.47
-0.562,0.673,-0.493
-0.562,0.673,-0.524
-0.546,0.675,-0.524
-0.532,0.671,-0.544
-0.515,0.67,-0.571
-0.501,0.663,-0.588
-0.501,0.663,-0.588
-0.475,0.655,-0.608
-0.458,0.642,-0.626
-0.44,0.63,-0.651
-0.423,0.613,-0.666
-0.423,0.613,-0.666
-0.405,0.59,-0.68
-0.391,0.576,-0.693
-0.377,0.555,-0.7
-0.359,0.539,-0.712
-0.359,0.539,-0.712
-0.339,0.514,-0.723
-0.326,0.484,-0.73
-0.314,0.451,-0.733
-0.314,0.451,-0.741
-0.296,0.412,-0.741
-0.282,0.37,-0.743
-0.268,0.331,-0.734
-0.252,0.294,-0.72
-0.252,0.294,-0.72
-0.241,0.255,-0.712
-0.235,0.216,-0.69
-0.232,0.183,-0.671
-0.225,0.144,-0.648
-0.225,0.144,-0.648
-0.228,0.114,-0.623
-0.232,0.084,-0.59
-0.236,0.062,-0.56
-0.241,0.037,-0.524
-0.241,0.037,-0.524
-0.247,0.019,-0.491
-0.262,0.007,-0.461
-0.274,-0.001,-0.443
-0.274,-0.003,-0.411
-0.291,-0.003,-0.411
-0.311,-0.004,-0.392
-0.315,-0.011,-0.38
-0.329,-0.013,-0.369
-0.329,-0.013,-0.369
-0.334,-0.009,-0.356
-0.347,-0.005,-0.34
-0.352,-0.005,-0.327
-0.358,0.005,-0.309
-0.358,0.005,-0.309
-0.365,0.01,-0.298
-0.375,0.015,-0.278
-0.378,0.02,-0.264
-0.387,0.026,-0.258
-0.387,0.026,-0.258
-0.392,0.031,-0.245
-0.398,0.034,-0.238
-0.405,0.039,-0.239
-0.413,0.043,-0.231
-0.413,0.043,-0.231
-0.415,0.041,-0.224
-0.42,0.05,-0.216
-0.428,0.056,-0.22
-0.428,0.056,-0.22
-0.429,0.065,-0.206
-0.436,0.066,-0.206
-0.447,0.073,-0.201
-0.45,0.079,-0.201
-0.45,0.079,-0.201
-0.46,0.085,-0.192
-0.462,0.087,-0.194
-0.46,0.091,-0.192
-0.471,0.102,-0.195
-0.471,0.102,-0.195
-0.479,0.107,-0.187
-0.481,0.114,-0.175
-0.484,0.117,-0.175
-0.495,0.127,-0.174
-0.495,0.127,-0.174
-0.5,0.134,-0.175
-0.505,0.144,-0.159
-0.512,0.157,-0.16
-0.512,0.157,-0.145
-0.511,0.171,-0.145
-0.516,0.181,-0.142
-0.524,0.193,-0.131
-0.528,0.203,-0.122
-0.528,0.203,-0.122
-0.529,0.227,-0.117
-0.526,0.232,-0.11
-0.525,0.247,-0.108
-0.519,0.264,-0.101
-0.519,0.264,-0.101
-0.509,0.271,-0.091
-0.497,0.283,-0.083
-0.487,0.291,-0.077
-0.47,0.293,-0.066
-0.47,0.293,-0.066
-0.459,0.308,-0.06
-0.447,0.308,-0.048
-0.431,0.316,-0.047
-0.431,0.328,-0.038
-0.42,0.328,-0.038
-0.412,0.331,-0.043
-0.401,0.333,-0.038
-0.389,0.343,-0.03
-0.389,0.343,-0.03
-0.372,0.349,-0.028
-0.358,0.353,-0.022
-0.342,0.358,-0.024
-0.325,0.355,-0.019
-0.325,0.355,-0.019
-0.31,0.354,-0.02
-0.296,0.349,-0.018
-0.28,0.347,-0.011
-0.267,0.34,-0.012
-0.267,0.34,-0.012
-0.256,0.331,-0.008
-0.247,0.323,0.001
-0.239,0.32,0.001
-0.231,0.316,0.005
-0.231,0.316,0.005
-0.225,0.311,0.01
-0.218,0.303,0.009
-0.215,0.3,0.012
-0.215,0.3,0.012
-0.208,0.299,0.012
-0.203,0.297,0.016
-0.193,0.276,0.024
-0.191,0.266,0.022
-0.191,0.266,0.022
-0.181,0.25,0.019
-0.168,0.232,0.024
-0.157,0.211,0.012
-0.144,0.195,0.01
-0.144,0.195,0.01
-0.133,0.178,0.007
-0.118,0.169,0.004
-0.1,0.149,0.002
-0.09,0.143,0.003
-0.09,0.143,0.003
-0.076,0.135,-0.009
-0.067,0.13,-0.01
-0.06,0.122,-0.011
-0.06,0.122,-0.011
-0.05,0.108,-0.012
-0.051,0.094,-0.012
-0.049,0.089,-0.011
-0.05,0.077,-0.016
-0.05,0.077,-0.016
-0.055,0.071,-0.011
-0.063,0.055,-0.009
-0.079,0.041,-0.019
-0.082,0.022,-0.02
-0.082,0.022,-0.02
-0.092,-0.009,-0.035
-0.104,-0.032,-0.052
-0.113,-0.052,-0.069
-0.128,-0.068,-0.084
-0.128,-0.068,-0.084
-0.141,-0.082,-0.087
-0.17,-0.086,-0.085
-0.189,-0.083,-0.092
-0.189,-0.083,-0.088
-0.212,-0.072,-0.088
-0.236,-0.068,-0.089
-0.256,-0.06,-0.097
-0.27,-0.048,-0.089
-0.27,-0.048,-0.089
-0.282,-0.025,-0.085
-0.291,0.006,-0.076
-0.291,0.03,-0.067
-0.288,0.058,-0.067
-0.288,0.058,-0.067
-0.276,0.087,-0.06
-0.269,0.111,-0.054
-0.256,0.134,-0.054
-0.244,0.153,-0.046
-0.244,0.153,-0.046
-0.232,0.162,-0.044
-0.221,0.17,-0.054
-0.212,0.174,-0.058
-0.212,0.175,-0.06
-0.197,0.175,-0.06
-0.187,0.175,-0.067
-0.181,0.175,-0.073
-0.181,0.17,-0.08
-0.181,0.17,-0.08
-0.191,0.162,-0.084
-0.204,0.166,-0.08
-0.219,0.165,-0.082
-0.234,0.173,-0.069
-0.234,0.173,-0.069
-0.26,0.176,-0.068
-0.278,0.183,-0.072
-0.295,0.193,-0.07
-0.315,0.204,-0.072
-0.315,0.204,-0.072
-0.336,0.222,-0.064
-0.361,0.245,-0.069
-0.387,0.259,-0.07
-0.413,0.281,-0.083
