t,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,ral
21:25:40:380,-0.000,-0.022,0.981,0.001,-0.001,-0.000,-0.431,0.282,-0.509,192.00,0.000000
21:25:40:382,-0.001,-0.023,0.980,0.001,-0.002,-0.001,-0.432,0.279,-0.507,192.60,0.600000
21:25:40:383,-0.001,-0.023,0.979,0.000,-0.001,-0.001,-0.434,0.286,-0.507,192.15,-0.450000
21:25:40:384,-0.001,-0.022,0.980,0.001,-0.001,-0.001,-0.434,0.284,-0.509,192.19,0.040000
21:25:40:385,-0.001,-0.022,0.982,0.001,-0.002,-0.001,-0.431,0.287,-0.511,191.63,-0.560000
21:25:40:386,-0.001,-0.022,0.980,0.001,-0.002,-0.001,-0.430,0.287,-0.505,191.43,-0.200000
21:25:40:387,-0.000,-0.022,0.981,0.001,-0.002,-0.001,-0.438,0.282,-0.509,192.17,0.740000
21:25:40:388,-0.001,-0.023,0.982,0.000,-0.002,-0.001,-0.438,0.282,-0.509,192.19,0.020000
21:25:40:389,-0.000,-0.021,0.981,0.001,-0.002,-0.001,-0.433,0.286,-0.509,191.87,-0.320000
21:25:40:390,-0.002,-0.021,0.980,0.001,-0.002,-0.001,-0.431,0.287,-0.505,192.12,0.250000
21:25:40:391,-0.001,-0.023,0.982,0.001,-0.001,-0.001,-0.432,0.287,-0.506,191.98,-0.140000
21:25:40:392,0.000,-0.023,0.981,0.001,-0.002,-0.001,-0.434,0.284,-0.502,191.63,-0.350000
21:25:40:393,-0.000,-0.021,0.981,0.001,-0.002,-0.001,-0.431,0.288,-0.504,191.13,-0.500000
21:25:40:395,-0.001,-0.022,0.980,0.000,-0.002,-0.001,-0.428,0.291,-0.507,191.82,0.690000
21:25:40:396,-0.001,-0.022,0.982,0.001,-0.002,-0.001,-0.428,0.291,-0.507,191.76,-0.060000
21:25:40:397,-0.002,-0.022,0.981,0.001,-0.002,-0.001,-0.431,0.288,-0.505,191.97,0.210000
21:25:40:398,0.000,-0.023,0.980,0.001,-0.001,-0.001,-0.429,0.289,-0.506,192.01,0.040000
21:25:40:399,-0.002,-0.021,0.981,0.001,-0.001,-0.001,-0.430,0.283,-0.513,191.64,-0.370000
21:25:40:400,-0.001,-0.021,0.981,0.001,-0.002,-0.001,-0.432,0.282,-0.509,191.52,-0.120000
21:25:40:401,-0.001,-0.022,0.980,0.001,-0.001,-0.001,-0.429,0.284,-0.506,191.66,0.140000
21:25:40:402,-0.000,-0.022,0.980,0.001,-0.002,-0.001,-0.435,0.280,-0.507,192.07,0.410000
21:25:40:403,-0.000,-0.023,0.982,0.001,-0.002,-0.001,-0.435,0.280,-0.507,191.63,-0.440000
21:25:40:404,-0.000,-0.022,0.981,0.001,-0.002,-0.001,-0.434,0.285,-0.502,192.15,0.520000
21:25:40:405,-0.000,-0.023,0.979,0.001,-0.002,-0.001,-0.430,0.282,-0.504,192.03,-0.120000
21:25:40:406,-0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.428,0.278,-0.507,191.51,-0.520000
21:25:40:407,-0.001,-0.021,0.982,0.001,-0.002,-0.001,-0.433,0.283,-0.505,192.45,0.940000
21:25:40:408,-0.001,-0.023,0.978,0.001,-0.001,-0.001,-0.427,0.281,-0.506,191.98,-0.470000
21:25:40:409,-0.000,-0.023,0.981,0.001,-0.001,-0.000,-0.427,0.287,-0.510,191.76,-0.220000
21:25:40:411,-0.001,-0.022,0.981,0.000,-0.001,-0.001,-0.427,0.287,-0.510,191.83,0.070000
21:25:40:412,-0.000,-0.022,0.980,0.001,-0.002,-0.001,-0.428,0.283,-0.505,191.87,0.040000
21:25:40:413,-0.001,-0.023,0.979,0.001,-0.002,-0.001,-0.432,0.283,-0.505,192.31,0.440000
