t,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,ral
21:47:45:398,-0.004,-0.022,0.983,0.001,-0.002,-0.001,-0.431,0.278,-0.516,192.19,0.000000
21:47:45:399,-0.002,-0.023,0.981,0.001,-0.002,-0.001,-0.431,0.281,-0.513,192.52,0.330000
21:47:45:401,-0.003,-0.024,0.982,0.000,-0.002,-0.001,-0.431,0.281,-0.513,191.65,-0.870000
21:47:45:402,-0.002,-0.023,0.984,0.000,-0.001,-0.001,-0.433,0.284,-0.513,192.28,0.630000
21:47:45:403,-0.003,-0.022,0.981,0.001,-0.001,-0.001,-0.431,0.279,-0.513,192.46,0.180000
21:47:45:404,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.431,0.284,-0.512,192.84,0.380000
21:47:45:405,-0.003,-0.023,0.984,0.001,-0.002,-0.001,-0.430,0.281,-0.519,191.28,-1.560000
21:47:45:406,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.433,0.282,-0.515,191.74,0.460000
21:47:45:407,-0.004,-0.024,0.980,0.001,-0.002,-0.001,-0.433,0.282,-0.514,192.62,0.880000
21:47:45:408,-0.003,-0.023,0.984,0.001,-0.002,-0.001,-0.433,0.280,-0.515,192.02,-0.600000
21:47:45:409,-0.004,-0.024,0.983,0.001,-0.001,-0.001,-0.433,0.280,-0.515,191.63,-0.390000
21:47:45:410,-0.002,-0.022,0.981,0.000,-0.001,-0.001,-0.432,0.283,-0.511,192.10,0.470000
21:47:45:411,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.429,0.285,-0.517,191.99,-0.110000
21:47:45:412,-0.003,-0.023,0.981,0.001,-0.001,-0.001,-0.428,0.285,-0.518,191.52,-0.470000
21:47:45:413,-0.004,-0.023,0.982,0.001,-0.002,-0.001,-0.435,0.287,-0.517,191.67,0.150000
21:47:45:414,-0.002,-0.023,0.980,0.001,-0.002,-0.001,-0.433,0.284,-0.508,191.85,0.180000
21:47:45:415,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.429,0.284,-0.513,192.05,0.200000
21:47:45:416,-0.002,-0.023,0.980,0.001,-0.002,-0.001,-0.429,0.284,-0.513,191.52,-0.530000
21:47:45:417,-0.001,-0.022,0.981,0.001,-0.002,-0.000,-0.429,0.286,-0.515,191.59,0.070000
21:47:45:418,-0.002,-0.024,0.983,0.001,-0.001,-0.001,-0.434,0.287,-0.506,192.05,0.460000
21:47:45:419,-0.003,-0.023,0.984,0.001,-0.002,-0.001,-0.432,0.286,-0.507,191.61,-0.440000
21:47:45:420,-0.001,-0.023,0.982,0.001,-0.001,-0.000,-0.429,0.284,-0.507,192.46,0.850000
21:47:45:421,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.435,0.285,-0.514,192.41,-0.050000
21:47:45:423,-0.002,-0.023,0.981,0.001,-0.001,-0.001,-0.430,0.284,-0.512,192.22,-0.190000
21:47:45:424,-0.002,-0.024,0.981,0.001,-0.002,-0.001,-0.430,0.284,-0.512,192.11,-0.110000
21:47:45:425,-0.002,-0.024,0.982,0.000,-0.002,-0.001,-0.431,0.282,-0.513,192.30,0.190000
21:47:45:426,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.430,0.285,-0.510,191.63,-0.670000
21:47:45:427,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.432,0.282,-0.511,191.14,-0.490000
21:47:45:428,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.429,0.283,-0.505,191.83,0.690000
21:47:45:429,-0.003,-0.023,0.981,0.001,-0.002,-0.001,-0.435,0.282,-0.515,192.12,0.290000
21:47:45:430,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.438,0.280,-0.504,192.09,-0.030000
21:47:45:431,-0.003,-0.025,0.981,0.001,-0.001,-0.001,-0.438,0.280,-0.504,191.77,-0.320000
21:47:45:432,-0.002,-0.023,0.984,0.001,-0.001,-0.000,-0.430,0.283,-0.510,192.00,0.230000
21:47:45:433,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.435,0.282,-0.512,192.13,0.130000
21:47:45:434,-0.003,-0.024,0.982,0.001,-0.001,-0.001,-0.431,0.281,-0.503,191.93,-0.200000
21:47:45:435,-0.003,-0.023,0.981,0.001,-0.002,-0.001,-0.430,0.283,-0.507,192.13,0.200000
21:47:45:436,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.432,0.283,-0.507,192.71,0.580000
21:47:45:437,-0.003,-0.024,0.982,0.001,-0.001,-0.000,-0.432,0.281,-0.509,192.06,-0.650000
21:47:45:438,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.432,0.281,-0.509,192.69,0.630000
21:47:45:439,-0.003,-0.023,0.982,0.001,-0.002,-0.000,-0.430,0.279,-0.509,192.06,-0.630000
21:47:45:440,-0.003,-0.023,0.982,0.001,-0.002,-0.000,-0.425,0.280,-0.511,192.27,0.210000
21:47:45:441,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.430,0.281,-0.515,191.80,-0.470000
21:47:45:442,-0.002,-0.024,0.982,0.001,-0.001,-0.000,-0.431,0.283,-0.520,192.00,0.200000
21:47:45:443,-0.002,-0.023,0.983,0.001,-0.002,-0.000,-0.431,0.281,-0.517,192.33,0.330000
21:47:45:444,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.435,0.283,-0.508,192.27,-0.060000
21:47:45:445,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.435,0.283,-0.508,192.02,-0.250000
21:47:45:446,-0.002,-0.023,0.983,0.001,-0.001,-0.001,-0.434,0.282,-0.508,191.55,-0.470000
21:47:45:447,-0.002,-0.023,0.983,0.000,-0.002,-0.000,-0.430,0.282,-0.501,192.31,0.760000
21:47:45:448,-0.003,-0.024,0.982,0.000,-0.002,-0.001,-0.430,0.284,-0.504,192.15,-0.160000
21:47:45:450,-0.002,-0.023,0.982,0.000,-0.002,-0.001,-0.432,0.281,-0.507,192.67,0.520000
21:47:45:451,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.435,0.281,-0.512,192.07,-0.600000
