timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
191125_17.14.38.768,-0.02500,-0.02200,0.99100,0.05300,-0.08700,-0.03500,0.11600,0.46400,-0.54900,159.45000,-0.03000
191125_17.14.38.769,-0.02600,-0.02100,0.99000,0.07000,-0.10500,-0.01800,0.11800,0.45900,-0.54800,159.10000,-0.35000
191125_17.14.38.770,-0.02600,-0.02200,0.99100,0.05300,-0.10500,-0.03500,0.11600,0.45900,-0.55100,159.47000,0.37000
191125_17.14.38.770,-0.02600,-0.02100,0.99200,0.05300,-0.08700,-0.03500,0.11500,0.45400,-0.54600,158.89000,-0.58000
191125_17.14.38.771,-0.02500,-0.02300,0.99100,0.07000,-0.10500,-0.01800,0.11300,0.45400,-0.55100,159.13000,0.24000
191125_17.14.38.772,-0.02500,-0.02200,0.99200,0.05300,-0.08700,-0.01800,0.11800,0.45900,-0.55600,158.99000,-0.14000
191125_17.14.38.773,-0.02500,-0.02200,0.99100,0.07000,-0.10500,-0.01800,0.11500,0.45500,-0.55100,159.81000,0.82000
191125_17.14.38.773,-0.02400,-0.02200,0.99200,0.07000,-0.08700,-0.03500,0.11400,0.45900,-0.55000,159.78000,-0.03000
191125_17.14.38.774,-0.02500,-0.02100,0.99100,0.05300,-0.12300,-0.01800,0.10800,0.45400,-0.55400,158.59000,-1.19000
191125_17.14.38.775,-0.02600,-0.02200,0.99200,0.07000,-0.10500,-0.01800,0.11200,0.45700,-0.55500,158.82000,0.23000
191125_17.14.38.776,-0.02500,-0.02200,0.99300,0.07000,-0.10500,-0.01800,0.11400,0.45600,-0.55800,159.21000,0.39000
191125_17.14.38.776,-0.02500,-0.02200,0.99200,0.07000,-0.08700,0.00000,0.11800,0.45600,-0.55800,158.94000,-0.27000
191125_17.14.38.777,-0.02600,-0.02300,0.99200,0.05300,-0.08700,-0.03500,0.11600,0.45400,-0.55600,158.48000,-0.46000
191125_17.14.38.778,-0.02500,-0.02200,0.99200,0.07000,-0.08700,-0.01800,0.11100,0.45400,-0.55000,159.16000,0.68000
191125_17.14.38.779,-0.02400,-0.02200,0.98900,0.07000,-0.10500,-0.01800,0.11500,0.45700,-0.55200,159.07000,-0.09000
191125_17.14.38.779,-0.02000,-0.02200,0.93200,0.08700,-0.24500,-0.01800,0.11700,0.46200,-0.55200,159.25000,0.18000
191125_17.14.38.780,-0.02400,-0.02100,1.00200,0.05300,-0.01800,-0.01800,0.11500,0.46000,-0.55800,159.12000,-0.13000
191125_17.14.38.781,-0.02800,-0.02300,0.99600,0.05300,-0.07000,-0.01800,0.11600,0.45800,-0.56000,159.35000,0.23000
191125_17.14.38.782,-0.02400,-0.02200,0.99000,0.08700,-0.07000,-0.03500,0.11700,0.46200,-0.55400,159.18000,-0.17000
191125_17.14.38.782,-0.02600,-0.02300,0.99400,0.05300,-0.07000,-0.05300,0.11100,0.46000,-0.55100,159.43000,0.25000
191125_17.14.38.783,-0.02500,-0.02300,0.98900,0.05300,-0.12300,-0.01800,0.11000,0.45800,-0.55700,158.91000,-0.52000
191125_17.14.38.784,-0.02500,-0.02100,0.98500,0.08700,-0.08700,-0.01800,0.10900,0.45900,-0.55400,159.80000,0.89000
191125_17.14.38.785,-0.02500,-0.02300,0.99400,0.07000,-0.08700,-0.01800,0.11200,0.45800,-0.55500,159.62000,-0.18000
191125_17.14.38.785,-0.02600,-0.02100,0.99200,0.05300,-0.12300,-0.03500,0.11100,0.45800,-0.55400,159.40000,-0.22000
191125_17.14.38.786,-0.02500,-0.02200,0.99100,0.07000,-0.10500,-0.01800,0.11000,0.46100,-0.55000,159.29000,-0.11000
191125_17.14.38.787,-0.02600,-0.02300,0.99100,0.05300,-0.10500,0.00000,0.11600,0.46000,-0.55400,158.24000,-1.05000
