( -0.10973900, -0.12065800, 0.97673196, -0.06431776, -0.07129458, 1.04151559, -0.03326890, -0.06785180, 1.03085268),
( -0.16848199, -0.13566400, 0.84875399, -0.08080874, -0.08061183, 1.02642179, -0.04611208, -0.07129900, 1.02965569),
( -0.10424900, -0.02037400, 0.97276700, -0.09122152, -0.07729018, 1.02440858, -0.05829867, -0.07291756, 1.02823818),
( -0.09753900, -0.21770899, 1.01937103, -0.09969094, -0.09473808, 1.02675569, -0.06948105, -0.07881251, 1.02783763),
( -0.23430100, -0.18617199, 0.93378800, -0.12327745, -0.10904722, 1.02397788, -0.08401448, -0.08698060, 1.02679491),
( -0.20300800, -0.22972600, 0.99070096, -0.16439450, -0.10359009, 1.01925683, -0.10572964, -0.09146776, 1.02475846),
( -0.20380099, -0.29036000, 0.98258799, -0.17358942, -0.10693169, 0.97484958, -0.12406238, -0.09564544, 1.01127529),
( -0.23222700, -0.27846500, 0.89682198, -0.20005786, -0.13457170, 0.94220293, -0.14459303, -0.10616161, 0.99261498),
( -0.23576500, -0.39296198, 1.01540601, -0.17298248, -0.20225053, 0.96994078, -0.15226261, -0.13212062, 0.98648942),
( -0.34715098, -0.48763400, 1.02705693, -0.19847640, -0.24038354, 0.95811462, -0.16474755, -0.16136852, 0.97882378),
( -0.10272400, -0.57364398, 1.02156699, -0.19784287, -0.28625914, 0.96260846, -0.17368846, -0.19510850, 0.97444314),
( -0.23332499, -0.59194398, 0.90999800, -0.20451078, -0.33248171, 0.96873915, -0.18201530, -0.23222072, 0.97290218),
( -0.06081700, -0.63720596, 0.73602599, -0.20016272, -0.39491081, 0.94534665, -0.18691795, -0.27617246, 0.96545786),
( -0.07832400, -0.58029300, 0.52990699, -0.19819616, -0.43156815, 0.89688730, -0.18996483, -0.31815356, 0.94693309),
( -0.19513899, -0.54655999, 0.27889198, -0.19417867, -0.46798077, 0.83203298, -0.19110322, -0.35863030, 0.91589212),
( -0.53118801, -0.34721199, -0.12267100, -0.22736442, -0.47980157, 0.72177714, -0.20089941, -0.39136547, 0.86345077),
( -0.71461499, -0.57614499, -0.31384501, -0.27909955, -0.50867313, 0.59342945, -0.22202566, -0.42305687, 0.79050285),
( -0.72364300, -0.32073799, -0.50550699, -0.32880986, -0.51287013, 0.45455799, -0.25087407, -0.44732049, 0.69974524),
( -0.96257997, -0.28883499, -0.49208698, -0.40239009, -0.50226736, 0.30528456, -0.29180706, -0.46216473, 0.59317923),
( -1.10037899, -0.34824899, -0.63598597, -0.47862434, -0.48808044, 0.14059827, -0.34227690, -0.46916601, 0.47091168),
( -1.05170095, -0.47573900, -0.47488499, -0.57477176, -0.47814450, -0.00754745, -0.40508682, -0.47159159, 0.34165299),
( -0.96867996, -0.49056199, 0.01714100, -0.64931130, -0.46789217, -0.09591831, -0.47106558, -0.47059217, 0.22344039),
( -0.63116699, -0.63671798, 0.50099301, -0.70720559, -0.46790662, -0.11912169, -0.53486025, -0.46986666, 0.13089512),
( -0.20465499, -0.33452401, 0.85656196, -0.72004616, -0.44307679, -0.08676480, -0.58488935, -0.46262920, 0.07209294),
( 0.34330800, -0.26803398, 0.72352099, -0.66537881, -0.41483742, -0.04282121, -0.60663408, -0.44971794, 0.04104817),
( 0.54710901, -0.19123499, 0.67819798, -0.55595261, -0.39896291, 0.03635428, -0.59294218, -0.43600616, 0.03978009),
( 0.81733900, -0.18916100, 0.83112496, -0.40046364, -0.35966292, 0.14953072, -0.54094291, -0.41538155, 0.06942990),
( 0.94940400, -0.13773800, 0.85723299, -0.23070911, -0.34102201, 0.28428745, -0.45713133, -0.39529285, 0.12747501),
( 1.12008202, -0.01598200, 0.87717998, -0.01933741, -0.31321755, 0.41961956, -0.33885857, -0.37311971, 0.20639966),
( 0.87394696, 0.10912900, 0.26480100, 0.18112996, -0.26669025, 0.50852722, -0.19838044, -0.34436715, 0.28802130),
( 0.72077596, 0.14536300, -0.35758200, 0.36123863, -0.20352510, 0.51981461, -0.04719588, -0.30631781, 0.35064170),
( 0.59889799, 0.02793800, -0.52520996, 0.52061784, -0.15070628, 0.46578279, 0.10620251, -0.26427838, 0.38174778),
( 0.32305598, -0.01994700, -0.69771796, 0.61781311, -0.08795808, 0.34679550, 0.24441729, -0.21664436, 0.37230521),
( 0.09357399, 0.01360300, -0.96282399, 0.64842981, -0.05244698, 0.16643743, 0.35356379, -0.17228542, 0.31668875),
( -0.00231800, 0.03599000, -1.01449096, 0.61363232, -0.02151416, -0.00575684, 0.42382291, -0.13155364, 0.22957808),
( -0.14670500, 0.08631500, -1.09842694, 0.54347163, 0.00668665, -0.18172219, 0.45614675, -0.09420717, 0.11846276),
( -0.21179199, 0.14591199, -1.19047594, 0.43929911, 0.04068733, -0.38191772, 0.45159525, -0.05776458, -0.01671813),
( -0.15042600, -0.06405000, -1.07073295, 0.32789013, 0.04819678, -0.57279468, 0.41817555, -0.02913846, -0.16694565),
( 0.38997298, 0.23680200, -0.85528100, 0.25403249, 0.07387877, -0.74437582, 0.37383127, -0.00130772, -0.32294199),
( 0.81898600, 0.08338699, -0.52057397, 0.24856293, 0.07135408, -0.82218331, 0.33998924, 0.01832232, -0.45781514),
( 1.13380694, -0.16524899, 0.04898300, 0.29040360, 0.03991890, -0.78192449, 0.32659337, 0.02415677, -0.54537529),
( 0.71180898, -0.37014800, -0.03501400, 0.30173528, -0.00043190, -0.73332423, 0.31987780, 0.01751399, -0.59615088),
( 0.54869497, -0.38369000, 0.13975100, 0.32447034, -0.03732714, -0.65033531, 0.32111850, 0.00269832, -0.61078912),
( 0.36349899, -0.29682600, 0.84497195, 0.35156760, -0.06892870, -0.47121453, 0.32934451, -0.01665217, -0.57308221),
( -0.52112299, -0.54863399, 0.64336699, 0.29853368, -0.12840517, -0.30680126, 0.32102078, -0.04684293, -0.50114477),
( -0.69869399, -0.49464899, 0.90676498, 0.24207821, -0.18755646, -0.10796803, 0.29969397, -0.08485757, -0.39492562),
( -0.85717201, -0.65215099, 0.68155301, 0.17612240, -0.26869175, 0.07770987, 0.26631033, -0.13452151, -0.26724020),
( -1.23744595, -0.55851597, 0.43273398, 0.06541337, -0.31911123, 0.22689943, 0.21203677, -0.18438958, -0.13374531),
( -0.86626101, -0.86772496, 0.06813700, -0.06249350, -0.43126839, 0.31871065, 0.13787071, -0.25108543, -0.01151153),
( -0.52911401, -0.90761900, -0.87711900, -0.19952248, -0.53179640, 0.28369769, 0.04672185, -0.32692122, 0.06824108),
( -0.44121298, -1.08323801, -0.60200900, -0.35954374, -0.62493259, 0.21953478, -0.06303332, -0.40743086, 0.10911401),
( 0.32159200, -0.74157697, -0.39619499, -0.39918289, -0.66256583, 0.18384826, -0.15384622, -0.47635716, 0.12930393),
( 0.07515199, -0.73163396, 0.06313500, -0.44732389, -0.69786704, 0.17636748, -0.23313102, -0.53619945, 0.14201844),
( -0.24473199, -0.45640200, 0.61207402, -0.50909150, -0.71409667, 0.15339978, -0.30768347, -0.58425951, 0.14509317),
( -0.50392097, -0.37466198, 0.79177999, -0.50733864, -0.69649380, 0.16808257, -0.36162156, -0.61458027, 0.15130390),
( -0.46878499, -0.15744099, 0.76664799, -0.48391262, -0.66229355, 0.15412588, -0.39465925, -0.62747031, 0.15206628),
( -1.24842596, 0.08320400, 0.46701598, -0.52350223, -0.58786553, 0.13284168, -0.42946699, -0.61677086, 0.14687262),
( -0.93958300, 0.05398500, 0.59011400, -0.49317449, -0.52581137, 0.14832048, -0.44667798, -0.59219760, 0.14726377),
( -1.35548103, 0.24168199, 0.72827899, -0.54278469, -0.41362184, 0.21367493, -0.47264180, -0.54395425, 0.16520515),
( -0.60896301, 0.05734000, 0.99326301, -0.55101901, -0.31613451, 0.39890155, -0.49381590, -0.48240733, 0.22833969),
( 0.06905200, 0.29578900, 0.43584499, -0.49912667, -0.17652611, 0.50150168, -0.49525064, -0.39977163, 0.30213609),
( -0.46762601, 0.29828998, 0.89383298, -0.57931191, -0.07149933, 0.62932080, -0.51796031, -0.31108683, 0.39052707),
( 0.02610800, -0.01640900, 1.34065795, -0.58436906, 0.00077223, 0.75582850, -0.53590107, -0.22683617, 0.48921552),
( 0.75877899, 0.30182800, 0.45078999, -0.48229939, 0.07773314, 0.73961067, -0.52142024, -0.14455488, 0.55686134),
( 1.38018596, 0.74602997, 0.10199200, -0.29065287, 0.19160043, 0.67085332, -0.45907700, -0.05374045, 0.58765697),
( 0.94244999, 0.61439198, -0.16049099, -0.14705542, 0.27009252, 0.57868880, -0.37478244, 0.03374504, 0.58523417),
( 1.04255092, 0.64159799, -0.27504900, 0.08583407, 0.32708973, 0.50475609, -0.25034404, 0.11299393, 0.56349254),
( 0.59377396, 0.41559300, -0.39771998, 0.24177876, 0.36406696, 0.40660685, -0.11739401, 0.18082286, 0.52110893),
( 0.63379002, 0.35489801, -0.43456399, 0.44401607, 0.37598380, 0.29107782, 0.03427441, 0.23354681, 0.45896459),
( 0.29420298, 0.24296300, -0.66978002, 0.53602588, 0.39511743, 0.12613980, 0.16982569, 0.27719611, 0.36904991),
( 0.23509400, 0.86150301, -1.08665395, 0.55320722, 0.45260698, -0.02480679, 0.27339858, 0.32458445, 0.26264706),
( 0.21709900, 1.62546694, -0.41803300, 0.62316036, 0.58726442, -0.15504809, 0.36788890, 0.39554909, 0.14980412),
( 0.49690598, 1.32211399, -0.80702996, 0.67151153, 0.72313339, -0.36807609, 0.44991443, 0.48404801, 0.00989557),
( 0.57144797, 0.67801499, -0.42077801, 0.65267432, 0.76129884, -0.45445085, 0.50469124, 0.55894905, -0.11555050),
( 0.82221895, 0.31787100, -0.38582498, 0.59600699, 0.71790868, -0.50265354, 0.52936077, 0.60189301, -0.22012879),
( 0.57901198, 0.05990200, -0.62891001, 0.55907446, 0.66175449, -0.54894847, 0.53738809, 0.61806494, -0.30896148),
( 0.47897199, -0.44896001, -0.42370600, 0.50168097, 0.55124652, -0.56346816, 0.52774161, 0.60001355, -0.37771803),
