mx,my,mz
-0.121,0.742,-0.709
-0.113,0.724,-0.718
-0.1,0.703,-0.741
-0.1,0.703,-0.741
-0.093,0.669,-0.747
-0.082,0.65,-0.759
-0.075,0.623,-0.765
-0.075,0.604,-0.767
-0.075,0.604,-0.767
-0.075,0.583,-0.762
-0.075,0.569,-0.759
-0.072,0.555,-0.755
-0.072,0.54,-0.745
-0.072,0.54,-0.745
-0.071,0.529,-0.733
-0.07,0.518,-0.726
-0.075,0.508,-0.712
-0.071,0.494,-0.71
-0.071,0.494,-0.71
-0.07,0.484,-0.69
-0.069,0.466,-0.678
-0.071,0.457,-0.665
-0.068,0.446,-0.649
-0.068,0.446,-0.649
-0.068,0.436,-0.635
-0.065,0.424,-0.609
-0.067,0.417,-0.591
-0.067,0.402,-0.571
-0.067,0.402,-0.571
-0.075,0.405,-0.542
-0.08,0.393,-0.516
-0.088,0.378,-0.485
-0.11,0.375,-0.454
-0.11,0.375,-0.454
-0.13,0.368,-0.436
-0.15,0.363,-0.41
-0.179,0.362,-0.397
-0.204,0.361,-0.377
-0.204,0.361,-0.377
-0.247,0.364,-0.367
-0.275,0.364,-0.36
-0.302,0.372,-0.358
-0.331,0.379,-0.366
-0.331,0.379,-0.366
-0.35,0.392,-0.364
-0.367,0.401,-0.364
-0.377,0.405,-0.365
-0.383,0.409,-0.364
-0.383,0.409,-0.364
-0.391,0.415,-0.366
-0.399,0.412,-0.369
-0.416,0.416,-0.376
-0.435,0.422,-0.406
-0.435,0.422,-0.406
-0.454,0.435,-0.436
-0.47,0.463,-0.467
-0.47,0.498,-0.507
-0.456,0.532,-0.544
-0.456,0.532,-0.544
-0.438,0.57,-0.562
-0.423,0.595,-0.573
-0.404,0.632,-0.579
-0.383,0.671,-0.583
-0.383,0.671,-0.583
-0.358,0.703,-0.576
-0.328,0.74,-0.568
-0.297,0.77,-0.552
-0.257,0.789,-0.527
-0.257,0.789,-0.527
-0.227,0.799,-0.501
-0.192,0.81,-0.459
-0.159,0.813,-0.412
-0.12,0.802,-0.363
-0.12,0.802,-0.363
-0.091,0.779,-0.323
-0.065,0.741,-0.273
-0.052,0.702,-0.235
-0.038,0.65,-0.2
-0.038,0.65,-0.2
-0.03,0.594,-0.171
-0.033,0.55,-0.155
-0.036,0.51,-0.135
-0.044,0.475,-0.122
-0.044,0.475,-0.122
-0.06,0.459,-0.105
-0.084,0.453,-0.098
-0.103,0.455,-0.09
-0.127,0.451,-0.087
-0.127,0.451,-0.087
-0.162,0.437,-0.082
-0.194,0.432,-0.073
-0.228,0.431,-0.082
-0.261,0.441,-0.074
-0.261,0.441,-0.074
-0.288,0.446,-0.083
-0.32,0.465,-0.095
-0.348,0.491,-0.105
-0.375,0.503,-0.122
-0.375,0.503,-0.122
-0.397,0.52,-0.13
-0.417,0.54,-0.129
-0.434,0.542,-0.143
-0.446,0.544,-0.145
-0.446,0.544,-0.145
-0.467,0.545,-0.149
-0.481,0.554,-0.15
-0.505,0.579,-0.162
-0.531,0.603,-0.187
-0.531,0.603,-0.187
-0.555,0.642,-0.22
-0.565,0.677,-0.259
-0.576,0.719,-0.3
-0.575,0.755,-0.338
-0.575,0.755,-0.338
-0.564,0.783,-0.365
-0.542,0.811,-0.407
-0.511,0.832,-0.432
-0.482,0.849,-0.46
-0.482,0.849,-0.46
-0.449,0.869,-0.482
-0.414,0.867,-0.512
-0.363,0.865,-0.534
-0.298,0.846,-0.55
-0.298,0.846,-0.55
-0.226,0.815,-0.555
-0.15,0.763,-0.563
-0.088,0.699,-0.551
-0.045,0.627,-0.541
-0.045,0.627,-0.541
-0.024,0.564,-0.529
-0.018,0.49,-0.517
-0.022,0.422,-0.507
-0.048,0.363,-0.496
-0.048,0.363,-0.496
-0.077,0.317,-0.494
-0.118,0.274,-0.49
-0.164,0.247,-0.493
-0.207,0.234,-0.486
-0.207,0.234,-0.486
-0.259,0.227,-0.49
-0.294,0.233,-0.497
-0.328,0.245,-0.507
-0.351,0.261,-0.514
-0.351,0.261,-0.514
-0.362,0.283,-0.51
-0.381,0.296,-0.506
-0.389,0.311,-0.502
-0.402,0.319,-0.5
-0.402,0.319,-0.5
-0.416,0.331,-0.492
-0.421,0.343,-0.492
-0.424,0.346,-0.482
-0.43,0.354,-0.479
-0.43,0.354,-0.479
-0.436,0.356,-0.475
-0.437,0.362,-0.469
-0.44,0.365,-0.46
-0.452,0.371,-0.448
-0.452,0.371,-0.448
-0.464,0.375,-0.445
-0.47,0.381,-0.435
-0.478,0.394,-0.421
-0.482,0.408,-0.405
-0.482,0.408,-0.405
-0.487,0.43,-0.402
-0.49,0.458,-0.399
-0.489,0.479,-0.396
-0.487,0.508,-0.409
-0.487,0.508,-0.409
-0.491,0.531,-0.41
-0.493,0.551,-0.421
-0.492,0.573,-0.421
-0.493,0.591,-0.43
-0.493,0.591,-0.43
-0.492,0.61,-0.443
-0.49,0.621,-0.442
-0.49,0.633,-0.451
-0.498,0.643,-0.459
-0.498,0.643,-0.459
-0.507,0.648,-0.464
-0.509,0.657,-0.472
-0.519,0.657,-0.47
-0.532,0.655,-0.47
-0.532,0.655,-0.47
-0.54,0.656,-0.471
-0.557,0.653,-0.473
-0.567,0.649,-0.478
-0.58,0.648,-0.471
-0.58,0.648,-0.471
-0.594,0.642,-0.473
-0.6,0.632,-0.461
-0.611,0.629,-0.448
-0.626,0.628,-0.438
-0.626,0.628,-0.438
-0.631,0.628,-0.424
-0.636,0.623,-0.413
-0.644,0.617,-0.405
-0.648,0.617,-0.392
-0.648,0.617,-0.392
-0.654,0.609,-0.383
-0.654,0.606,-0.388
-0.653,0.607,-0.382
-0.648,0.604,-0.385
-0.648,0.604,-0.385
-0.654,0.6,-0.377
-0.651,0.599,-0.372
-0.647,0.591,-0.373
-0.647,0.586,-0.375
-0.647,0.586,-0.375
-0.648,0.579,-0.38
-0.638,0.573,-0.387
-0.64,0.568,-0.393
-0.641,0.559,-0.405
-0.641,0.559,-0.405
-0.637,0.552,-0.41
-0.638,0.546,-0.422
-0.639,0.542,-0.424
-0.632,0.536,-0.437
-0.632,0.536,-0.437
-0.63,0.533,-0.444
-0.631,0.527,-0.443
-0.63,0.53,-0.434
-0.631,0.535,-0.431
-0.631,0.535,-0.431
-0.631,0.54,-0.426
-0.636,0.551,-0.428
-0.639,0.57,-0.412
-0.64,0.583,-0.392
-0.64,0.583,-0.392
-0.643,0.603,-0.375
-0.641,0.618,-0.353
-0.638,0.645,-0.344
-0.639,0.68,-0.327
-0.639,0.68,-0.327
-0.62,0.719,-0.312
-0.597,0.756,-0.301
-0.571,0.791,-0.288
-0.536,0.829,-0.276
-0.536,0.829,-0.276
-0.5,0.858,-0.272
-0.458,0.883,-0.266
-0.408,0.912,-0.259
