gx,gy,gz
0.14,-0.262,0.0
0.035,-0.053,-0.018
-0.018,0.053,-0.035
0.07,-0.175,0.0
0.123,-0.28,0.018
0.035,0.0,0.0
0.123,-0.157,-0.018
0.157,-0.157,-0.018
0.07,-0.053,0.0
0.018,-0.018,0.018
0.123,-0.21,0.035
0.14,-0.245,-0.018
0.0,0.053,-0.018
0.035,0.018,-0.018
0.175,-0.262,0.0
0.087,0.035,0.0
0.087,-0.14,0.0
0.14,-0.262,-0.018
0.07,-0.087,-0.018
0.018,0.053,-0.018
0.105,-0.21,0.0
0.105,-0.21,0.0
0.053,-0.035,-0.018
0.053,-0.07,-0.035
0.087,-0.175,-0.035
0.105,-0.14,-0.018
0.0,-0.035,0.0
0.175,-0.28,0.0
0.14,-0.21,-0.018
-0.018,0.053,-0.018
0.087,-0.07,-0.018
0.192,-0.298,0.0
0.087,-0.157,0.0
0.018,0.035,0.018
0.123,-0.21,0.018
0.123,-0.228,0.0
0.018,0.018,-0.035
0.14,-0.262,0.018
0.123,-0.245,0.0
0.035,-0.035,0.0
0.087,-0.087,0.0
0.123,-0.175,-0.018
0.087,-0.175,-0.018
0.053,-0.053,-0.018
0.087,-0.123,-0.018
0.157,-0.315,0.0
0.07,-0.157,0.0
0.0,0.035,-0.035
0.175,-0.28,-0.035
0.035,-0.105,-0.018
0.07,-0.035,-0.035
0.228,-0.315,-0.018
0.14,-0.28,-0.053
0.035,0.018,-0.053
0.105,-0.035,-0.035
0.192,-0.35,0.0
0.087,-0.21,-0.035
0.053,-0.035,-0.018
0.105,-0.157,0.0
0.087,-0.14,-0.018
0.018,-0.053,0.0
0.087,-0.192,0.0
0.14,-0.262,-0.018
0.053,-0.105,0.0
0.035,0.0,-0.018
0.157,-0.175,-0.018
0.14,-0.28,0.0
0.0,-0.035,0.0
0.07,0.018,0.018
0.21,-0.14,-0.018
0.0,0.105,-0.018
0.14,-0.123,-0.018
0.175,-0.315,-0.018
0.053,-0.105,-0.018
0.053,0.035,-0.018
0.14,-0.157,-0.035
0.157,-0.192,-0.018
0.087,-0.07,-0.018
0.035,-0.087,-0.018
0.105,-0.245,0.018
0.018,-0.053,-0.018
0.035,0.0,0.0
0.157,-0.245,0.0
0.087,-0.21,0.018
-0.018,-0.035,0.018
0.035,-0.123,-0.018
0.157,-0.315,0.0
0.035,-0.14,0.0
-0.035,0.035,0.0
0.123,-0.21,0.018
0.14,-0.298,0.018
0.035,-0.053,-0.018
0.14,-0.245,0.0
0.105,-0.175,-0.018
0.035,-0.018,0.0
0.053,-0.07,-0.035
0.157,-0.245,0.0
0.123,-0.157,-0.018
0.053,0.0,-0.035
0.07,-0.053,-0.035
0.157,-0.192,-0.018
0.087,-0.157,-0.018
0.123,-0.087,0.0
0.192,-0.245,-0.018
0.053,-0.018,-0.018
0.018,0.07,-0.018
0.14,-0.245,0.0
0.105,-0.245,0.018
-0.035,0.018,0.0
0.053,-0.018,0.0
0.14,-0.245,0.0
0.0,-0.105,-0.035
-0.035,0.018,0.018
0.123,-0.245,0.018
0.07,-0.123,0.0
-0.018,0.018,-0.018
0.053,-0.087,0.0
0.157,-0.228,0.0
0.07,-0.105,0.0
0.018,-0.035,0.018
0.123,-0.192,0.0
0.14,-0.21,-0.018
0.0,0.0,-0.018
0.035,-0.315,0.0
0.123,-0.245,0.018
0.018,0.018,-0.018
0.087,-0.087,-0.018
0.157,-0.245,-0.018
0.053,-0.14,0.0
0.018,0.018,0.0
0.123,-0.157,0.0
0.14,-0.298,0.0
0.035,-0.035,-0.018
0.018,-0.018,-0.018
0.087,-0.245,-0.018
0.0,-0.07,0.018
-0.018,0.018,0.0
0.14,-0.228,0.0
0.07,-0.157,-0.018
-0.018,0.035,-0.035
0.053,-0.035,0.0
0.157,-0.298,0.018
0.07,-0.192,0.0
-0.018,0.053,0.0
0.123,-0.123,-0.018
0.053,-0.07,-0.018
0.053,-0.053,0.0
0.14,-0.315,0.018
0.14,-0.228,0.018
0.053,-0.018,0.0
0.07,-0.053,-0.018
0.123,-0.192,-0.018
0.105,-0.157,0.0
0.035,-0.053,0.0
0.035,-0.07,-0.018
0.14,-0.245,-0.035
-0.035,0.087,0.0
0.07,-0.053,0.018
0.157,-0.315,0.018
0.053,-0.087,0.0
0.0,0.053,-0.018
0.123,-0.175,-0.018
0.123,-0.28,0.0
0.018,-0.018,0.018
0.035,0.0,0.0
0.14,-0.315,0.018
0.07,-0.175,0.0
0.07,-0.07,0.018
0.123,-0.21,0.0
0.105,-0.21,0.0
0.018,-0.053,0.0
0.07,-0.105,0.018
0.175,-0.228,-0.018
0.087,-0.123,-0.018
0.035,0.053,-0.035
0.14,-0.157,-0.035
0.175,-0.28,-0.018
0.035,0.053,-0.018
0.14,-0.192,-0.035
0.123,-0.21,-0.035
0.018,-0.018,-0.035
0.053,-0.053,-0.035
0.157,-0.315,0.0
0.105,-0.192,0.0
0.0,0.035,-0.018
0.053,-0.087,0.0
0.105,-0.228,0.0
0.053,-0.14,-0.018
0.105,-0.192,0.0
0.14,-0.21,0.0
0.053,-0.053,0.0
0.018,0.053,-0.018
0.157,-0.157,0.035
0.157,-0.262,0.018
0.035,-0.07,0.0
0.018,0.0,0.0
0.175,-0.228,0.018
0.123,-0.245,0.0
0.0,0.035,-0.018
0.157,-0.333,0.0
0.053,-0.123,-0.018
0.018,0.035,-0.035
0.123,-0.14,-0.018
0.157,-0.228,-0.018
0.087,-0.105,0.0
0.0,0.0,-0.018
0.087,-0.175,-0.035
0.14,-0.192,-0.035
0.035,-0.035,-0.035
0.018,0.035,-0.018
0.123,-0.262,0.018
-0.018,0.018,0.0
0.018,0.035,-0.018
0.175,-0.228,0.0
0.123,-0.123,-0.018
0.018,0.018,0.0
0.123,-0.14,0.018
0.175,-0.368,0.018
0.035,-0.07,0.018
0.0,0.07,0.018
0.123,-0.192,0.0
0.035,-0.07,0.018
0.053,-0.07,0.018
0.123,-0.228,0.0
0.123,-0.192,0.0
0.035,-0.018,-0.018
0.053,-0.018,-0.018
0.14,-0.28,0.0
0.14,-0.228,0.0
0.035,-0.035,-0.018
0.087,-0.07,-0.035
0.192,-0.087,-0.035
-0.018,0.07,0.0
0.14,-0.228,0.0
0.157,-0.315,-0.018
0.018,-0.018,-0.018
0.035,0.053,-0.018
0.157,-0.192,-0.018
0.105,-0.175,-0.018
0.018,-0.053,0.0
0.035,-0.053,-0.018
0.157,-0.228,0.0
0.07,0.0,-0.018
0.053,-0.105,0.018
0.157,-0.298,0.018
0.087,-0.157,0.018
-0.018,0.0,0.0
0.105,-0.14,-0.018
0.14,-0.262,-0.018
0.053,-0.07,-0.018
0.018,0.035,0.018
0.175,-0.21,0.018
0.157,-0.333,0.018
0.035,0.0,-0.035
0.157,-0.28,-0.018
0.087,-0.14,-0.018
0.018,0.035,-0.018
0.07,-0.157,0.0
0.105,-0.262,-0.035
0.087,-0.087,-0.018
0.035,0.018,-0.018
0.087,-0.175,-0.018
0.175,-0.245,0.0
0.087,-0.14,0.018
0.157,-0.123,-0.018
0.192,-0.262,-0.018
0.018,-0.035,-0.018
0.018,0.018,0.018
0.192,-0.262,0.018
0.105,-0.228,0.018
-0.018,0.105,0.0
0.07,-0.035,0.0
0.14,-0.262,0.0
0.053,-0.087,0.018
0.018,0.035,0.0
0.123,-0.245,-0.018
0.07,-0.087,0.0
0.035,0.018,-0.018
0.087,-0.175,-0.018
0.14,-0.262,0.0
0.053,-0.123,0.018
0.0,0.0,0.0
0.14,-0.192,0.0
0.123,-0.228,-0.018
0.0,0.018,-0.035
0.053,-0.35,-0.018
0.105,-0.21,-0.018
-0.018,0.087,-0.035
0.105,-0.105,-0.035
0.157,-0.298,-0.035
0.035,-0.035,-0.018
0.018,0.018,0.0
0.105,-0.228,0.018
0.123,-0.228,0.0
0.035,-0.018,-0.035
0.018,0.0,-0.018
0.123,-0.228,0.0
0.018,-0.053,0.0
0.053,-0.07,0.0
0.14,-0.245,-0.018
0.07,-0.175,0.0
0.0,0.035,0.0
0.07,-0.105,0.018
0.175,-0.315,0.035
0.053,-0.07,-0.018
0.0,0.087,-0.018
0.123,-0.123,-0.018
0.035,-0.018,0.018
0.053,0.018,0.018
0.157,-0.21,-0.018
0.087,-0.123,-0.035
0.0,0.105,0.0
0.105,-0.087,-0.018
0.175,-0.245,-0.018
0.07,-0.14,0.018
0.018,0.0,0.0
0.123,-0.14,-0.018
0.14,-0.21,-0.018
0.0,-0.018,-0.018
0.105,-0.21,0.0
0.175,-0.333,0.018
-0.018,-0.035,-0.018
0.018,0.07,-0.035
0.175,-0.28,-0.018
0.087,-0.21,0.0
-0.018,0.018,0.0
0.105,-0.123,-0.018
0.175,-0.298,0.0
0.053,-0.07,-0.018
0.123,-0.175,0.0
0.14,-0.262,0.0
0.035,-0.087,0.0
0.053,-0.018,-0.018
0.14,-0.21,-0.018
0.157,-0.21,0.0
0.053,-0.053,0.0
0.035,-0.018,0.0
0.157,-0.298,0.0
0.123,-0.228,0.0
0.018,-4.463,-0.018
0.192,-0.245,-0.018
0.07,-0.157,0.0
-0.018,0.053,0.0
0.123,-0.157,0.0
0.157,-0.298,0.0
-0.018,-0.018,0.0
0.0,0.053,-0.018
0.14,-0.245,-0.018
0.087,-0.228,-0.018
-0.018,0.035,0.0
0.035,-0.228,-0.018
0.07,-0.105,-0.018
0.035,-0.018,0.0
0.035,-0.087,-0.018
0.123,-0.262,0.018
0.087,-0.192,0.0
-0.018,0.07,-0.018
0.123,-0.087,0.0
0.192,-0.28,0.018
0.053,-0.07,0.018
0.035,0.053,0.0
0.14,-0.228,-0.018
0.018,0.053,-0.018
0.053,0.053,-0.018
0.157,-0.262,0.0
0.087,-0.157,0.0
0.0,0.018,-0.018
0.087,-0.105,-0.018
0.123,-0.228,-0.018
0.07,-0.105,-0.035
-0.035,0.035,-0.018
0.105,-0.192,0.0
0.07,-0.123,-0.018
0.018,-0.018,-0.035
0.14,-0.228,-0.035
0.14,-0.28,-0.018
0.053,-0.087,0.018
0.0,-0.035,0.018
0.157,-0.298,0.0
0.123,-0.245,-0.018
-0.018,0.035,-0.018
0.087,-0.087,-0.018
0.175,-0.333,0.0
0.018,0.035,0.018
0.14,-0.157,0.018
0.14,-0.262,0.0
0.053,-0.053,-0.018
0.035,0.0,-0.018
0.105,-0.228,0.018
0.157,-0.262,0.018
0.035,-0.07,0.0
0.018,0.053,0.0
0.157,-0.192,0.0
