timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_03.14.33.019,0.76300,0.61000,0.32700,-31.04500,88.11300,53.56800,-0.86800,0.50900,-0.21100,83.55000,0.14000
041225_03.14.33.031,0.75000,0.61000,0.32700,-28.35000,86.99300,56.19300,-0.87800,0.52500,-0.22100,83.09000,-0.46000
041225_03.14.33.042,0.77400,0.62500,0.35100,-25.30500,90.26500,60.06000,-0.88900,0.54300,-0.23500,82.84000,-0.25000
041225_03.14.33.054,0.75900,0.64000,0.36100,-22.71500,91.31500,62.98300,-0.90000,0.56100,-0.26500,83.45000,0.61000
041225_03.14.33.066,0.71900,0.65400,0.38200,-18.74300,90.59800,63.91000,-0.90000,0.56100,-0.26500,83.99000,0.54000
041225_03.14.33.077,0.63900,0.67200,0.41300,-12.35500,92.24300,62.66700,-0.90700,0.58700,-0.28600,83.62000,-0.37000
041225_03.14.33.089,0.61500,0.63800,0.46300,-4.13000,99.38200,57.75000,-0.91400,0.60900,-0.31100,83.48000,-0.14000
041225_03.14.33.101,0.63700,0.54500,0.49500,0.94500,106.24300,49.71700,-0.92100,0.62900,-0.34600,84.08000,0.60000
041225_03.14.33.112,0.66600,0.49500,0.57700,-0.80500,106.22500,42.42000,-0.93500,0.65100,-0.36700,83.42000,-0.66000
041225_03.14.33.124,0.66900,0.50800,0.60500,-4.53200,103.07500,35.92800,-0.93500,0.65100,-0.36700,83.89000,0.47000
041225_03.14.33.136,0.70900,0.49300,0.62900,-10.16800,93.27500,32.74300,-0.93900,0.66500,-0.39400,83.42000,-0.47000
041225_03.14.33.147,0.71700,0.51600,0.55400,-21.21000,86.22300,35.77000,-0.94000,0.68600,-0.41700,83.49000,0.07000
041225_03.14.33.159,0.73000,0.52800,0.52200,-22.19000,80.23800,35.49000,-0.94300,0.70600,-0.43400,83.79000,0.30000
041225_03.14.33.171,0.70700,0.56100,0.48700,-19.93300,75.91500,33.58300,-0.94300,0.70600,-0.45500,83.60000,-0.19000
041225_03.14.33.182,0.67200,0.55400,0.49800,-15.13700,72.46700,31.23700,-0.94100,0.73400,-0.45500,83.61000,0.01000
041225_03.14.33.194,0.65300,0.53900,0.52100,-11.13000,68.65300,29.22500,-0.94100,0.75900,-0.47100,83.95000,0.34000
041225_03.14.33.206,0.64100,0.51800,0.50900,-7.82300,65.90500,28.63000,-0.93800,0.78700,-0.48300,83.50000,-0.45000
041225_03.14.33.218,0.63800,0.49100,0.50500,-3.09800,63.84000,28.94500,-0.93000,0.81300,-0.49900,83.44000,-0.06000
041225_03.14.33.229,0.63400,0.46900,0.51600,2.11800,60.91700,29.55800,-0.93000,0.81300,-0.49900,83.03000,-0.41000
041225_03.14.33.241,0.64500,0.47200,0.54500,6.05500,57.55700,30.25700,-0.92100,0.84300,-0.51500,83.26000,0.23000
041225_03.14.33.253,0.66000,0.47500,0.53000,8.97700,54.58300,31.11500,-0.91100,0.87100,-0.53000,83.58000,0.32000
041225_03.14.33.264,0.68400,0.45700,0.50900,11.21700,53.84700,32.63800,-0.90900,0.89400,-0.54500,83.66000,0.08000
041225_03.14.33.276,0.72500,0.38400,0.55500,11.53300,51.83500,38.37700,-0.89800,0.92300,-0.56500,83.56000,-0.10000
041225_03.14.33.288,0.72200,0.40100,0.63200,9.17000,42.94500,45.01000,-0.89800,0.92300,-0.56500,83.79000,0.23000
041225_03.14.33.299,0.63900,0.47200,0.69900,7.40300,34.70200,46.30500,-0.88900,0.96200,-0.58100,83.75000,-0.04000
041225_03.14.33.311,0.56500,0.57600,0.71500,11.69000,36.41700,45.69300,-0.88200,0.99500,-0.59100,84.29000,0.54000
041225_03.14.33.322,0.49200,0.61300,0.55200,18.49700,46.76000,44.20500,-0.86800,1.02800,-0.61400,83.04000,-1.25000
041225_03.14.33.334,0.46500,0.57500,0.47500,32.20000,56.19300,45.90300,-0.86800,1.02800,-0.61400,83.74000,0.70000
041225_03.14.33.346,0.54200,0.53600,0.60100,42.00000,60.97000,46.90000,-0.85900,1.05300,-0.64500,83.83000,0.09000
041225_03.14.33.357,0.48400,0.44600,0.55100,42.14000,56.10500,50.54000,-0.84400,1.07800,-0.67500,83.77000,-0.06000
041225_03.14.33.369,0.43800,0.46500,0.51900,38.99000,57.55700,48.87700,-0.82800,1.10200,-0.70400,82.99000,-0.78000
041225_03.14.33.381,0.44500,0.48700,0.60600,33.05700,67.42700,41.54500,-0.81400,1.11800,-0.74500,84.06000,1.07000
041225_03.14.33.392,0.52100,0.59000,0.79000,24.27300,73.46500,32.09500,-0.81400,1.11800,-0.74500,83.64000,-0.42000
041225_03.14.33.404,0.51200,0.62300,0.87500,16.73000,68.89700,26.16300,-0.79700,1.13500,-0.77300,83.55000,-0.09000
041225_03.14.33.416,0.35900,0.59200,0.74300,5.28500,67.04300,22.55800,-0.78200,1.14700,-0.78700,83.25000,-0.30000
041225_03.14.33.427,0.38800,0.62600,0.71900,1.69700,72.15300,21.05200,-0.76400,1.15900,-0.81500,83.65000,0.40000
041225_03.14.33.439,0.36200,0.54300,0.74900,7.52500,72.48500,18.77800,-0.76400,1.16800,-0.82900,84.08000,0.43000
041225_03.14.33.451,0.38700,0.46700,0.80500,13.17700,68.46000,16.55500,-0.74200,1.16800,-0.82900,83.70000,-0.38000
041225_03.14.33.462,0.41100,0.43500,0.80300,14.63000,61.91500,17.01000,-0.72300,1.16800,-0.85200,83.34000,-0.36000
041225_03.14.33.474,0.42700,0.43100,0.77000,14.54300,57.48700,21.99700,-0.70300,1.18000,-0.86600,84.27000,0.93000
041225_03.14.33.486,0.42000,0.45900,0.73700,30.66000,63.70000,25.34000,-0.68000,1.18400,-0.89900,83.75000,-0.52000
041225_03.14.33.497,0.43200,0.41600,0.77200,46.55000,73.29000,25.41000,-0.68000,1.18400,-0.89900,84.52000,0.77000
041225_03.14.33.509,0.45400,0.37100,0.83400,53.90000,73.97300,23.46800,-0.65400,1.17500,-0.92800,83.53000,-0.99000
041225_03.14.33.521,0.47100,0.44400,0.80200,53.48000,65.46700,26.28500,-0.62300,1.16900,-0.96600,83.92000,0.39000
041225_03.14.33.532,0.36300,0.73300,0.66000,48.44000,53.90000,16.31000,-0.59400,1.16700,-0.99600,83.85000,-0.07000
041225_03.14.33.544,0.20900,0.66100,0.68900,41.23000,44.10000,-11.63700,-0.58800,1.15900,-1.02200,83.55000,-0.30000
041225_03.14.33.556,0.22600,0.60200,0.75700,30.85300,32.53300,-24.20200,-0.58800,1.15900,-1.02200,83.15000,-0.40000
041225_03.14.33.568,0.23800,0.62000,0.77700,16.55500,18.97000,-17.15000,-0.58800,1.14800,-1.03200,84.15000,1.00000
041225_03.14.33.579,0.23500,0.63500,0.68700,5.98500,17.20200,-4.25300,-0.59500,1.14500,-1.04500,83.43000,-0.72000
041225_03.14.33.591,0.33300,0.58000,0.61700,7.49000,25.34000,3.39500,-0.59100,1.13000,-1.06200,83.46000,0.03000
041225_03.14.33.602,0.34600,0.54300,0.63100,16.17000,34.98300,6.80700,-0.59100,1.13000,-1.06200,84.00000,0.54000
041225_03.14.33.614,0.36700,0.55600,0.66100,25.53200,42.35000,9.38000,-0.58100,1.11800,-1.09500,84.07000,0.07000
041225_03.14.33.626,0.38400,0.50500,0.66700,33.56500,44.38000,13.19500,-0.57200,1.09500,-1.11500,84.15000,0.08000
041225_03.14.33.637,0.41700,0.46300,0.75500,38.83300,42.57700,17.25500,-0.56500,1.07000,-1.13900,83.98000,-0.17000
041225_03.14.33.649,0.40800,0.46000,0.80800,34.33500,29.26000,27.79000,-0.55300,1.05200,-1.15200,83.28000,-0.70000
041225_03.14.33.661,0.38000,0.48300,0.94300,27.31800,22.80200,33.05700,-0.55300,1.05200,-1.15200,84.18000,0.90000
041225_03.14.33.672,0.30500,0.52400,0.91200,19.65300,20.35300,35.96300,-0.54600,1.03100,-1.17500,82.54000,-1.64000
041225_03.14.33.684,0.30300,0.54400,0.91900,13.54500,22.85500,37.18800,-0.53700,1.01900,-1.17900,83.69000,1.15000
041225_03.14.33.696,0.29500,0.54800,0.88000,8.48800,27.24700,38.09700,-0.52300,1.01500,-1.18900,83.54000,-0.15000
