timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_03.24.12.405,0.19200,0.19400,0.96900,85.57500,-69.61500,42.89300,0.14500,0.33000,-0.71100,83.45000,0.31000
041225_03.24.12.417,0.21700,0.29800,1.02000,81.46300,-66.34200,54.70500,0.13500,0.31000,-0.71600,83.55000,0.10000
041225_03.24.12.428,0.20900,0.37600,1.05600,71.26000,-55.21300,64.12000,0.13500,0.31000,-0.71600,83.96000,0.41000
041225_03.24.12.440,0.21000,0.40500,1.01000,45.43000,-34.24800,60.63800,0.12900,0.28900,-0.71900,83.32000,-0.64000
041225_03.24.12.451,0.20600,0.38400,0.79800,43.40000,-30.92300,51.22200,0.12000,0.27500,-0.72400,83.28000,-0.04000
041225_03.24.12.462,0.31700,0.31200,0.76000,42.21000,-35.92800,41.42300,0.11500,0.25900,-0.73200,83.25000,-0.03000
041225_03.24.12.474,0.35500,0.31400,0.70300,43.10300,-45.01000,34.47500,0.10400,0.25000,-0.73400,83.46000,0.21000
041225_03.24.12.486,0.39900,0.34600,0.74200,42.84000,-50.31300,33.42500,0.10400,0.25000,-0.73400,83.55000,0.09000
041225_03.24.12.497,0.42400,0.44600,0.79800,42.14000,-50.38200,38.34200,0.09300,0.24000,-0.74200,83.61000,0.06000
041225_03.24.12.509,0.43000,0.51300,0.81400,39.76000,-44.29200,47.75700,0.08200,0.22300,-0.74400,83.31000,-0.30000
041225_03.24.12.521,0.40000,0.55500,0.78400,39.20000,-32.23500,56.96300,0.07400,0.21100,-0.74300,83.80000,0.49000
041225_03.24.12.532,0.51200,0.55900,0.88400,43.75000,-17.74500,63.10500,0.06600,0.19000,-0.74700,83.63000,-0.17000
041225_03.24.12.544,0.58400,0.61600,0.82100,49.89300,-11.20000,65.03000,0.06600,0.19000,-0.74700,84.05000,0.42000
041225_03.24.12.555,0.57300,0.56900,0.82200,58.57300,-13.94800,64.03300,0.06100,0.17000,-0.74000,83.84000,-0.21000
041225_03.24.12.567,0.50900,0.34700,0.76900,60.58500,-15.82000,55.49300,0.05700,0.15500,-0.73800,83.19000,-0.65000
041225_03.24.12.578,0.45400,0.24100,0.80400,52.11500,-10.86800,37.76500,0.05200,0.13800,-0.73500,83.36000,0.17000
041225_03.24.12.590,0.45400,0.29100,0.83300,39.39300,-1.99500,18.58500,0.05200,0.13800,-0.73500,83.62000,0.26000
041225_03.24.12.602,0.49200,0.41400,0.91200,12.00500,26.60000,-2.46700,0.05300,0.13600,-0.72500,83.05000,-0.57000
041225_03.24.12.613,0.45400,0.55000,0.94000,9.48500,37.22200,-2.27500,0.05600,0.13500,-0.72000,82.96000,-0.09000
041225_03.24.12.625,0.47200,0.73400,0.88600,18.62000,36.27800,-1.54000,0.06100,0.13200,-0.71400,83.36000,0.40000
041225_03.24.12.636,0.57400,0.82800,0.86800,34.02000,24.92000,-1.43500,0.06900,0.12900,-0.70000,84.21000,0.85000
041225_03.24.12.648,0.66300,0.88100,0.88000,48.89500,8.64500,-1.36500,0.06900,0.12900,-0.70000,83.47000,-0.74000
041225_03.24.12.659,0.67900,0.85000,0.98800,59.78000,-7.47200,-4.88300,0.07100,0.12000,-0.69300,83.46000,-0.01000
041225_03.24.12.671,0.43000,0.62700,1.00300,64.75000,-23.11800,-16.39800,0.06800,0.11400,-0.68400,83.74000,0.28000
041225_03.24.12.683,0.23100,0.40800,0.93700,68.05800,-32.44500,-36.94300,0.07300,0.11500,-0.67600,83.29000,-0.45000
041225_03.24.12.694,0.23500,0.31200,0.96400,73.79800,-34.75500,-51.50200,0.08000,0.11700,-0.66700,83.55000,0.26000
041225_03.24.12.706,0.29700,0.30200,0.86100,75.95000,-29.61000,-50.12000,0.08000,0.11700,-0.66700,84.13000,0.58000
041225_03.24.12.717,0.33400,0.34400,0.77400,76.47500,-19.16300,-38.39500,0.08300,0.11600,-0.66700,83.80000,-0.33000
041225_03.24.12.729,0.36300,0.46800,0.76300,71.96000,-5.02300,-25.21800,0.08600,0.11600,-0.65500,83.44000,-0.36000
041225_03.24.12.741,0.34100,0.61400,0.75000,62.73700,8.54000,-16.31000,0.09200,0.11700,-0.64100,83.29000,-0.15000
041225_03.24.12.752,0.34600,0.66500,0.64800,54.95000,20.59700,-15.75000,0.09200,0.11700,-0.64100,83.56000,0.27000
041225_03.24.12.764,0.34400,0.63900,0.60500,38.09700,40.33800,-24.62200,0.10000,0.12300,-0.63600,83.80000,0.24000
041225_03.24.12.776,0.40700,1.13900,0.84400,31.30800,55.94800,-61.49500,0.11100,0.12500,-0.61700,83.67000,-0.13000
041225_03.24.12.787,0.70300,0.50000,0.68800,14.22700,67.20000,-94.76200,0.12800,0.14700,-0.61300,83.58000,-0.09000
041225_03.24.12.799,0.07600,0.29600,0.52000,7.33200,66.06300,-46.63800,0.13500,0.15900,-0.58800,83.81000,0.23000
041225_03.24.12.811,0.00100,0.36900,0.64500,24.18500,66.76200,-38.27200,0.13500,0.15900,-0.58800,83.51000,-0.30000
041225_03.24.12.822,-0.29900,0.14500,0.68100,23.34500,59.02800,-35.57700,0.14500,0.16700,-0.57900,83.90000,0.39000
041225_03.24.12.834,-0.39800,0.03300,0.13000,23.66000,61.49500,-29.82000,0.14800,0.17200,-0.56800,83.52000,-0.38000
041225_03.24.12.845,-0.30900,-0.05300,0.71800,53.44500,36.05000,-17.83300,0.15200,0.17400,-0.55900,83.64000,0.12000
041225_03.24.12.857,-0.01500,0.34800,0.70100,53.76000,-10.29000,16.27500,0.15100,0.16500,-0.55200,83.15000,-0.49000
041225_03.24.12.868,0.08600,0.65500,0.65700,50.20800,-16.50300,36.90800,0.15100,0.16500,-0.55200,83.44000,0.29000
041225_03.24.12.880,0.05600,0.82600,0.72000,50.83800,-4.06000,29.94300,0.14400,0.15500,-0.54800,82.65000,-0.79000
041225_03.24.12.891,0.09800,0.93500,0.64500,53.13000,-3.90200,10.41300,0.14600,0.14500,-0.54500,83.82000,1.17000
041225_03.24.12.903,0.13200,0.98900,0.65200,51.78300,-10.18500,-5.14500,0.14700,0.14700,-0.54400,83.56000,-0.26000
041225_03.24.12.914,0.13200,0.85200,0.68200,39.27000,-2.67800,-8.12000,0.14700,0.14700,-0.54400,83.58000,0.02000
041225_03.24.12.926,0.08400,0.65400,0.75200,16.43300,34.10800,-20.54500,0.14800,0.14900,-0.53200,83.80000,0.22000
041225_03.24.12.937,0.15600,0.70900,0.70600,13.28300,39.30500,-19.28500,0.14800,0.15500,-0.52800,83.90000,0.10000
041225_03.24.12.949,0.16500,0.79800,0.68100,11.48000,41.66700,-17.64000,0.15200,0.15200,-0.52000,83.23000,-0.67000
041225_03.24.12.961,0.19000,0.86100,0.64900,8.61000,42.22800,-17.43000,0.15100,0.15400,-0.51100,83.79000,0.56000
041225_03.24.12.972,0.21600,0.85700,0.60400,5.65300,39.49800,-15.41800,0.15100,0.15400,-0.51100,84.10000,0.31000
041225_03.24.12.984,0.19000,0.76300,0.58100,4.53200,35.50700,-12.65300,0.15000,0.15700,-0.50400,83.93000,-0.17000
041225_03.24.12.996,0.20900,0.68200,0.51800,3.97300,31.25500,-13.40500,0.14700,0.16100,-0.49600,83.24000,-0.69000
041225_03.24.13.007,0.28400,0.77400,0.38900,4.02500,30.32700,-14.35000,0.15200,0.16500,-0.49000,82.95000,-0.29000
041225_03.24.13.018,0.29700,0.72400,0.42700,7.45500,33.63500,-9.17000,0.15200,0.16300,-0.49300,83.66000,0.71000
041225_03.24.13.030,0.18600,0.70700,0.47600,10.58700,34.56300,-4.76000,0.15200,0.16300,-0.49300,83.77000,0.11000
041225_03.24.13.042,0.11500,0.74500,0.45800,11.81300,39.46300,-1.52300,0.15700,0.15700,-0.48100,83.68000,-0.09000
041225_03.24.13.054,-0.05900,0.49300,0.53800,17.53500,42.61200,1.82000,0.16000,0.15700,-0.47100,83.85000,0.17000
041225_03.24.13.066,0.07700,0.55000,0.64300,17.79800,46.70800,5.93200,0.16100,0.15700,-0.46700,83.47000,-0.38000
041225_03.24.13.078,0.00600,0.61500,0.61500,15.08500,47.18000,20.86000,0.16100,0.15700,-0.46700,83.43000,-0.04000
041225_03.24.13.089,-0.01100,1.09800,0.25600,17.88500,69.65000,38.13200,0.15800,0.14400,-0.45500,83.70000,0.27000
041225_03.24.13.101,-0.16700,1.46500,0.04300,36.69700,101.25500,63.24500,0.15300,0.13200,-0.43600,83.67000,-0.03000
041225_03.24.13.113,-0.14200,1.49600,0.57500,70.78700,110.12800,110.26800,0.14500,0.11300,-0.40700,82.89000,-0.78000
041225_03.24.13.125,0.16100,1.14300,0.80800,101.39500,96.96700,150.93700,0.12300,0.08800,-0.38000,83.42000,0.53000
