timestamp_iso,t_sec,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
2025-11-03T07:01:52.979780,0.932,-0.028,-0.044,1.002,0.001,-0.002,0.001,-901.74,162.54,-916.16,995.6,25.1,178.17
2025-11-03T07:01:52.980413,0.933,-0.027,-0.044,1.002,0.002,-0.002,0.0,-904.26,162.68,-919.1,995.64,25.1,177.83
2025-11-03T07:01:52.981043,0.933,-0.029,-0.042,1.003,0.001,-0.002,0.0,-904.26,162.68,-919.1,995.62,25.1,177.99
2025-11-03T07:01:52.981708,0.934,-0.029,-0.044,1.002,0.001,-0.002,0.0,-901.04,164.36,-920.5,995.65,25.1,177.76
2025-11-03T07:01:52.982354,0.935,-0.028,-0.043,1.003,0.002,-0.002,0.0,-902.3,163.52,-910.56,995.6,25.1,178.18
2025-11-03T07:01:52.982988,0.935,-0.027,-0.042,1.002,0.002,-0.002,0.0,-899.08,164.22,-911.12,995.57,25.11,178.42
2025-11-03T07:01:52.983615,0.936,-0.027,-0.042,1.002,0.001,-0.002,0.001,-903.0,161.7,-916.58,995.57,25.1,178.44
2025-11-03T07:01:52.984244,0.937,-0.028,-0.043,1.003,0.001,-0.002,0.0,-902.16,163.8,-912.94,995.55,25.1,178.63
2025-11-03T07:01:52.984866,0.937,-0.029,-0.043,1.003,0.001,-0.001,0.001,-900.06,160.86,-910.42,995.64,25.1,177.89
2025-11-03T07:01:52.985496,0.938,-0.027,-0.043,1.003,0.001,-0.002,0.0,-900.06,160.86,-910.42,995.62,25.1,178.02
2025-11-03T07:01:52.986126,0.939,-0.029,-0.042,1.003,0.001,-0.002,0.0,-896.98,158.34,-922.04,995.57,25.11,178.43
2025-11-03T07:01:52.986757,0.939,-0.028,-0.043,1.002,0.001,-0.002,0.0,-900.06,158.62,-907.2,995.63,25.11,177.97
2025-11-03T07:01:52.987389,0.940,-0.029,-0.042,1.004,0.001,-0.002,0.0,-898.52,161.28,-909.72,995.56,25.1,178.55
2025-11-03T07:01:52.988021,0.940,-0.028,-0.043,1.002,0.001,-0.002,0.0,-898.1,159.88,-915.74,995.61,25.11,178.12
2025-11-03T07:01:52.988680,0.941,-0.029,-0.043,1.003,0.001,-0.002,0.0,-897.96,158.76,-916.02,995.58,25.1,178.39
2025-11-03T07:01:52.989310,0.942,-0.028,-0.043,1.003,0.002,-0.002,0.0,-901.88,158.34,-915.88,995.58,25.1,178.36
2025-11-03T07:01:52.989981,0.942,-0.027,-0.042,1.002,0.001,-0.002,0.0,-901.88,158.34,-915.88,995.57,25.1,178.46
2025-11-03T07:01:52.990612,0.943,-0.029,-0.043,1.002,0.001,-0.002,0.0,-901.04,156.24,-921.62,995.57,25.1,178.42
2025-11-03T07:01:52.991232,0.944,-0.029,-0.042,1.003,0.001,-0.002,0.0,-899.5,159.6,-919.8,995.56,25.1,178.52
