timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-03 13:52:04.708,0x25D,3,01,07,0C,,,,,
2025-12-03 13:52:04.708,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.708,0xA0,3,00,09,01,,,,,
2025-12-03 13:52:04.709,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.709,0x109,3,00,06,08,,,,,
2025-12-03 13:52:04.710,0x242,3,00,0B,05,,,,,
2025-12-03 13:52:04.710,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.710,0x232,4,00,00,09,08,,,,
2025-12-03 13:52:04.711,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.711,0x109,3,00,07,07,,,,,
2025-12-03 13:52:04.711,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.712,0x242,3,00,0C,04,,,,,
2025-12-03 13:52:04.712,0x25D,3,01,08,0B,,,,,
2025-12-03 13:52:04.713,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.713,0x109,3,00,08,06,,,,,
2025-12-03 13:52:04.713,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.714,0xA0,3,00,0B,00,,,,,
2025-12-03 13:52:04.714,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.714,0x242,3,00,0D,03,,,,,
2025-12-03 13:52:04.715,0x109,3,00,09,05,,,,,
2025-12-03 13:52:04.715,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.716,0x232,4,00,00,0B,06,,,,
2025-12-03 13:52:04.716,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.716,0x42,6,01,FF,01,FF,06,0E,,
2025-12-03 13:52:04.717,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.717,0x242,3,00,0E,02,,,,,
2025-12-03 13:52:04.718,0x15,7,00,01,0A,00,00,08,0F,
2025-12-03 13:52:04.718,0x42,6,01,FF,01,FF,07,0D,,
2025-12-03 13:52:04.719,0x109,3,00,0B,03,,,,,
2025-12-03 13:52:04.719,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.719,0xA0,3,00,0D,0F,,,,,
2025-12-03 13:52:04.720,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.720,0x242,3,00,0F,01,,,,,
2025-12-03 13:52:04.721,0x42,6,01,FF,01,FF,09,0B,,
2025-12-03 13:52:04.721,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.721,0x25D,3,01,0A,09,,,,,
2025-12-03 13:52:04.722,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.722,0xA0,3,00,0E,01,,,,,
2025-12-03 13:52:04.723,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.723,0x242,3,00,00,00,,,,,
2025-12-03 13:52:04.723,0x42,6,01,FF,01,FF,0B,09,,
2025-12-03 13:52:04.724,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.724,0x109,3,00,0E,00,,,,,
2025-12-03 13:52:04.725,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.725,0xA0,3,00,0F,0E,,,,,
2025-12-03 13:52:04.725,0x242,3,00,01,0F,,,,,
2025-12-03 13:52:04.726,0x25D,3,01,0B,08,,,,,
2025-12-03 13:52:04.726,0x109,3,00,0F,0F,,,,,
2025-12-03 13:52:04.726,0x42,6,01,FF,01,FE,0D,08,,
2025-12-03 13:52:04.727,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.727,0x232,4,00,00,0F,02,,,,
2025-12-03 13:52:04.728,0xA0,3,00,00,00,,,,,
2025-12-03 13:52:04.728,0x242,3,00,02,0E,,,,,
2025-12-03 13:52:04.728,0x42,6,01,FF,01,FE,01,04,,
2025-12-03 13:52:04.729,0x42,6,01,FF,01,FF,0F,05,,
2025-12-03 13:52:04.729,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.730,0x109,3,00,01,0D,,,,,
2025-12-03 13:52:04.730,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.730,0x25D,3,01,0C,07,,,,,
2025-12-03 13:52:04.731,0x242,3,00,03,0D,,,,,
2025-12-03 13:52:04.731,0x15,7,00,01,0A,00,00,00,07,
2025-12-03 13:52:04.732,0x42,6,01,FF,01,FF,01,03,,
2025-12-03 13:52:04.732,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-03 13:52:04.733,0x232,4,00,00,01,00,,,,
2025-12-03 13:52:04.733,0x227,3,00,05,04,,,,,
2025-12-03 13:52:04.733,0xA0,3,00,02,0F,,,,,
2025-12-03 13:52:04.734,0x109,3,00,03,0B,,,,,
2025-12-03 13:52:04.734,0x15,7,00,01,0A,00,00,02,05,
2025-12-03 13:52:04.734,0x42,6,01,FF,01,FF,03,01,,
2025-12-03 13:52:04.735,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
