timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-04 03:24:10.074,0x25D,3,01,05,0E,,,,,
2025-12-04 03:24:10.075,0x109,3,03,05,06,,,,,
2025-12-04 03:24:10.075,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.075,0x232,4,00,00,01,00,,,,
2025-12-04 03:24:10.076,0x227,3,01,0A,09,,,,,
2025-12-04 03:24:10.076,0xA0,3,00,02,0B,,,,,
2025-12-04 03:24:10.076,0x109,3,03,06,05,,,,,
2025-12-04 03:24:10.077,0x42,6,01,FF,02,04,08,05,,
2025-12-04 03:24:10.077,0x15,7,0F,FF,0E,00,00,05,02,
2025-12-04 03:24:10.078,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.078,0x109,3,03,07,04,,,,,
2025-12-04 03:24:10.078,0x227,3,01,0A,09,,,,,
2025-12-04 03:24:10.079,0xA0,3,00,03,00,,,,,
2025-12-04 03:24:10.079,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.080,0x42,6,01,FF,02,04,04,09,,
2025-12-04 03:24:10.080,0x15,7,0F,FF,0D,00,00,07,01,
2025-12-04 03:24:10.080,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.081,0x232,4,00,00,03,0E,,,,
2025-12-04 03:24:10.081,0x15,7,0F,FF,0E,00,00,08,0F,
2025-12-04 03:24:10.082,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.082,0x109,3,03,09,02,,,,,
2025-12-04 03:24:10.083,0x15,7,0F,FF,0E,00,00,09,0E,
2025-12-04 03:24:10.083,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.084,0x232,4,00,00,04,0D,,,,
2025-12-04 03:24:10.084,0x242,3,00,09,07,,,,,
2025-12-04 03:24:10.084,0xA0,3,00,05,0F,,,,,
2025-12-04 03:24:10.085,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.086,0x15,7,0F,FF,0E,00,00,0B,0C,
2025-12-04 03:24:10.086,0x42,6,01,FF,02,03,0A,04,,
2025-12-04 03:24:10.087,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.087,0x232,4,00,00,05,0C,,,,
2025-12-04 03:24:10.088,0x42,6,01,FF,02,03,0B,03,,
2025-12-04 03:24:10.089,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:24:10.089,0x109,3,03,0C,0F,,,,,
2025-12-04 03:24:10.089,0x15,7,0F,FF,0E,00,00,0D,0A,
2025-12-04 03:24:10.090,0x42,6,01,FF,02,04,0C,01,,
2025-12-04 03:24:10.090,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
