timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-04 04:37:14.311,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:37:14.312,0x242,3,00,09,07,,,,,
2025-12-04 04:37:14.312,0x15,7,00,03,0D,0F,FE,04,02,
2025-12-04 04:37:14.313,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:37:14.313,0x109,3,03,07,04,,,,,
2025-12-04 04:37:14.314,0x15,7,00,03,0D,0F,FE,05,01,
2025-12-04 04:37:14.314,0x42,6,01,FF,02,01,04,0C,,
2025-12-04 04:37:14.314,0x242,3,00,0A,06,,,,,
2025-12-04 04:37:14.315,0x227,3,01,0A,09,,,,,
2025-12-04 04:37:14.315,0xA0,3,00,03,0D,,,,,
2025-12-04 04:37:14.315,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:37:14.316,0x25D,3,01,08,0B,,,,,
2025-12-04 04:37:14.316,0x15,7,00,03,0D,0F,FF,07,0E,
2025-12-04 04:37:14.316,0x42,6,01,FF,02,01,06,0A,,
2025-12-04 04:37:14.317,0x242,3,00,0B,05,,,,,
2025-12-04 04:37:14.317,0x227,3,01,0A,09,,,,,
2025-12-04 04:37:14.317,0xA0,3,00,04,0D,,,,,
2025-12-04 04:37:14.318,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:37:14.319,0x109,3,03,0A,01,,,,,
2025-12-04 04:37:14.319,0x15,7,00,03,0D,0F,FF,09,0C,
2025-12-04 04:37:14.320,0x42,6,01,FF,02,01,08,08,,
2025-12-04 04:37:14.320,0x242,3,00,0C,04,,,,,
2025-12-04 04:37:14.321,0x25D,3,01,09,0A,,,,,
2025-12-04 04:37:14.321,0xA0,3,00,05,0C,,,,,
2025-12-04 04:37:14.321,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:37:14.322,0x42,6,01,FF,02,02,0E,01,,
