timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-04 03:43:43.689,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.689,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.689,0x109,3,03,06,05,,,,,
2025-12-04 03:43:43.690,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.690,0x242,3,00,0C,04,,,,,
2025-12-04 03:43:43.690,0x15,7,00,00,0D,00,00,0D,08,
2025-12-04 03:43:43.691,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.691,0x109,3,03,07,04,,,,,
2025-12-04 03:43:43.691,0x42,6,01,FF,02,01,0D,03,,
2025-12-04 03:43:43.692,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.692,0x242,3,00,0D,03,,,,,
2025-12-04 03:43:43.692,0x109,3,03,08,03,,,,,
2025-12-04 03:43:43.693,0x25D,3,01,02,01,,,,,
2025-12-04 03:43:43.693,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.693,0x232,4,00,00,07,0A,,,,
2025-12-04 03:43:43.694,0xA0,3,00,08,02,,,,,
2025-12-04 03:43:43.694,0x109,3,03,09,02,,,,,
2025-12-04 03:43:43.694,0x242,3,00,0E,02,,,,,
2025-12-04 03:43:43.695,0x42,6,01,FF,02,02,00,0F,,
2025-12-04 03:43:43.695,0x15,7,00,00,0D,00,00,01,04,
2025-12-04 03:43:43.695,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.696,0x232,4,00,00,08,09,,,,
2025-12-04 03:43:43.696,0xA0,3,00,09,03,,,,,
2025-12-04 03:43:43.696,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.697,0x25D,3,01,03,00,,,,,
2025-12-04 03:43:43.697,0x42,6,01,FF,02,02,02,0D,,
2025-12-04 03:43:43.697,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.698,0x232,4,00,00,09,08,,,,
2025-12-04 03:43:43.698,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.698,0xA0,3,00,0A,01,,,,,
2025-12-04 03:43:43.699,0x109,3,03,0C,0F,,,,,
2025-12-04 03:43:43.699,0x242,3,00,00,00,,,,,
2025-12-04 03:43:43.699,0x42,6,01,FF,02,01,04,0C,,
2025-12-04 03:43:43.700,0x15,7,00,00,0D,00,00,05,00,
2025-12-04 03:43:43.700,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.700,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.701,0xA0,3,00,0B,02,,,,,
2025-12-04 03:43:43.701,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.701,0x242,3,00,01,0F,,,,,
2025-12-04 03:43:43.702,0x15,7,00,00,0D,00,00,07,0E,
2025-12-04 03:43:43.702,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.702,0x232,4,00,00,0B,06,,,,
2025-12-04 03:43:43.703,0x15,7,00,00,0D,00,00,08,0D,
2025-12-04 03:43:43.703,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.703,0x242,3,00,02,0E,,,,,
2025-12-04 03:43:43.704,0x15,7,00,00,0D,00,00,09,0C,
2025-12-04 03:43:43.704,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.704,0x232,4,00,00,0C,05,,,,
2025-12-04 03:43:43.705,0x109,3,03,00,0B,,,,,
2025-12-04 03:43:43.705,0xA0,3,00,0D,01,,,,,
2025-12-04 03:43:43.705,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.706,0x242,3,00,03,0D,,,,,
2025-12-04 03:43:43.706,0x42,6,01,FF,02,01,0A,06,,
2025-12-04 03:43:43.706,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.707,0x232,4,00,00,0D,04,,,,
2025-12-04 03:43:43.707,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.707,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.708,0x242,3,00,04,0C,,,,,
2025-12-04 03:43:43.708,0x109,3,03,02,09,,,,,
2025-12-04 03:43:43.708,0x42,6,01,FF,02,01,0C,04,,
2025-12-04 03:43:43.709,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.709,0x232,4,00,00,0E,03,,,,
2025-12-04 03:43:43.709,0x42,6,01,FF,02,02,0D,02,,
2025-12-04 03:43:43.710,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.710,0x242,3,00,05,0B,,,,,
2025-12-04 03:43:43.711,0x15,7,00,00,0D,00,00,0F,06,
2025-12-04 03:43:43.711,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.711,0x109,3,03,04,07,,,,,
2025-12-04 03:43:43.711,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.712,0xA0,3,00,00,0E,,,,,
2025-12-04 03:43:43.712,0x242,3,00,06,0A,,,,,
2025-12-04 03:43:43.712,0x109,3,03,05,06,,,,,
2025-12-04 03:43:43.713,0x15,7,00,00,0D,00,00,01,04,
2025-12-04 03:43:43.713,0x42,6,01,FF,02,01,00,00,,
2025-12-04 03:43:43.714,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.714,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.714,0xA0,3,00,01,0F,,,,,
2025-12-04 03:43:43.715,0x242,3,00,07,09,,,,,
2025-12-04 03:43:43.715,0x15,7,00,00,0D,00,00,05,00,
2025-12-04 03:43:43.715,0x15,7,00,00,0D,00,00,03,02,
2025-12-04 03:43:43.716,0x25D,3,01,08,0B,,,,,
2025-12-04 03:43:43.716,0x109,3,03,07,04,,,,,
2025-12-04 03:43:43.716,0x232,4,00,00,01,00,,,,
2025-12-04 03:43:43.717,0x42,6,01,FF,02,01,03,0D,,
2025-12-04 03:43:43.717,0x242,3,00,08,08,,,,,
2025-12-04 03:43:43.717,0x109,3,03,08,03,,,,,
2025-12-04 03:43:43.718,0x42,6,01,FF,02,01,04,0C,,
2025-12-04 03:43:43.718,0x15,7,00,00,0C,00,00,05,01,
2025-12-04 03:43:43.718,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.719,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.719,0xA0,3,00,03,0E,,,,,
2025-12-04 03:43:43.719,0x25D,3,01,09,0A,,,,,
2025-12-04 03:43:43.720,0x42,6,01,FF,02,01,02,0E,,
2025-12-04 03:43:43.720,0x42,6,01,FF,02,01,06,0A,,
2025-12-04 03:43:43.720,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.721,0x109,3,03,0A,01,,,,,
2025-12-04 03:43:43.721,0x38F,3,01,05,08,,,,,
2025-12-04 03:43:43.721,0xA0,3,00,04,0C,,,,,
2025-12-04 03:43:43.722,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.722,0x109,3,03,0B,00,,,,,
2025-12-04 03:43:43.722,0x15,7,00,00,0D,00,00,09,0C,
2025-12-04 03:43:43.723,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.723,0x25D,3,01,0A,09,,,,,
2025-12-04 03:43:43.723,0x42,6,01,FF,02,01,09,07,,
2025-12-04 03:43:43.724,0x242,3,0,00,09,08,,,,
2025-12-04 03:43:43.724,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.724,0x109,3,03,02,09,,,,,
2025-12-04 03:43:43.725,0x15,7,00,00,01,00,00,0A,07,
2025-12-04 03:43:43.725,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.725,0x109,3,03,03,08,,,,,
2025-12-04 03:43:43.726,0x15,7,00,00,01,00,00,0B,06,
2025-12-04 03:43:43.726,0x42,6,01,FF,02,02,0A,05,,
2025-12-04 03:43:43.726,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.727,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.727,0xA0,3,00,06,00,,,,,
2025-12-04 03:43:43.727,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.728,0x15,7,00,00,01,00,00,0D,04,
2025-12-04 03:43:43.728,0x42,6,01,FF,02,02,0C,03,,
2025-12-04 03:43:43.728,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
