mx,my,mz
-0.628,0.577,-0.381
-0.641,0.56,-0.368
-0.66,0.55,-0.364
-0.66,0.55,-0.364
-0.673,0.542,-0.354
-0.681,0.535,-0.353
-0.697,0.531,-0.354
-0.71,0.526,-0.357
-0.71,0.526,-0.349
-0.718,0.521,-0.349
-0.735,0.523,-0.358
-0.75,0.529,-0.362
-0.767,0.539,-0.374
-0.767,0.539,-0.385
-0.784,0.543,-0.385
-0.799,0.554,-0.394
-0.807,0.563,-0.401
-0.817,0.583,-0.405
-0.817,0.583,-0.429
-0.827,0.593,-0.429
-0.831,0.609,-0.452
-0.831,0.624,-0.482
-0.836,0.631,-0.52
-0.836,0.631,-0.556
-0.833,0.645,-0.556
-0.824,0.659,-0.594
-0.812,0.677,-0.636
-0.786,0.691,-0.665
-0.786,0.691,-0.717
-0.76,0.7,-0.717
-0.73,0.709,-0.751
-0.686,0.717,-0.795
-0.645,0.715,-0.829
-0.645,0.715,-0.864
-0.595,0.714,-0.864
-0.545,0.708,-0.893
-0.484,0.694,-0.924
-0.423,0.683,-0.935
-0.423,0.669,-0.956
-0.359,0.669,-0.956
-0.295,0.653,-0.949
-0.231,0.635,-0.944
-0.174,0.62,-0.929
-0.174,0.606,-0.903
-0.11,0.606,-0.903
-0.06,0.595,-0.873
-0.017,0.589,-0.836
0.024,0.586,-0.781
0.024,0.586,-0.729
0.062,0.586,-0.729
0.073,0.595,-0.681
0.107,0.588,-0.617
0.121,0.599,-0.548
0.121,0.594,-0.492
0.115,0.594,-0.492
0.121,0.585,-0.452
0.102,0.59,-0.436
0.082,0.59,-0.43
0.082,0.585,-0.432
0.074,0.585,-0.432
0.053,0.602,-0.44
0.038,0.613,-0.456
0.039,0.629,-0.468
0.039,0.65,-0.486
0.027,0.65,-0.486
0.032,0.649,-0.523
0.048,0.661,-0.538
0.058,0.663,-0.573
0.058,0.653,-0.597
0.072,0.653,-0.597
0.09,0.651,-0.608
0.11,0.645,-0.623
0.13,0.629,-0.624
0.149,0.621,-0.608
0.149,0.621,-0.608
0.163,0.601,-0.613
0.169,0.583,-0.604
0.179,0.575,-0.597
0.175,0.555,-0.588
0.175,0.555,-0.588
0.171,0.539,-0.574
0.164,0.528,-0.575
0.147,0.511,-0.569
0.133,0.503,-0.562
0.133,0.503,-0.562
0.12,0.496,-0.564
0.107,0.483,-0.566
0.094,0.471,-0.573
0.078,0.465,-0.58
0.078,0.465,-0.58
0.061,0.45,-0.584
0.05,0.439,-0.587
0.045,0.429,-0.602
0.031,0.415,-0.606
0.031,0.415,-0.606
0.026,0.405,-0.616
0.024,0.385,-0.626
0.023,0.367,-0.631
0.028,0.35,-0.635
0.028,0.35,-0.635
0.037,0.33,-0.627
0.047,0.319,-0.609
0.066,0.292,-0.59
0.086,0.26,-0.565
0.086,0.26,-0.565
0.106,0.24,-0.532
0.127,0.216,-0.498
0.146,0.195,-0.46
0.158,0.169,-0.408
0.158,0.169,-0.408
0.157,0.139,-0.351
0.152,0.112,-0.293
0.124,0.084,-0.217
0.063,0.061,-0.145
0.063,0.061,-0.145
-0.009,0.053,-0.101
-0.065,0.06,-0.072
-0.114,0.066,-0.045
-0.159,0.071,-0.027
-0.159,0.071,-0.027
-0.212,0.075,-0.008
-0.268,0.081,0.013
-0.324,0.098,0.03
-0.386,0.112,0.031
-0.386,0.112,0.031
-0.442,0.134,0.028
-0.511,0.154,0.007
-0.569,0.196,-0.022
-0.621,0.23,-0.053
-0.621,0.23,-0.053
-0.662,0.266,-0.087
-0.697,0.301,-0.123
-0.725,0.336,-0.167
-0.753,0.363,-0.217
-0.753,0.363,-0.217
-0.773,0.395,-0.266
-0.783,0.429,-0.324
-0.789,0.453,-0.371
-0.787,0.476,-0.415
-0.787,0.476,-0.415
-0.778,0.507,-0.448
-0.769,0.529,-0.471
-0.758,0.557,-0.488
-0.74,0.586,-0.514
-0.74,0.586,-0.514
-0.722,0.612,-0.53
-0.701,0.639,-0.546
-0.677,0.663,-0.571
-0.652,0.692,-0.594
-0.652,0.692,-0.594
-0.624,0.72,-0.613
-0.593,0.742,-0.627
-0.564,0.764,-0.641
-0.535,0.789,-0.657
-0.535,0.789,-0.657
-0.509,0.805,-0.67
-0.464,0.825,-0.686
-0.433,0.844,-0.703
-0.392,0.854,-0.735
-0.392,0.854,-0.735
-0.356,0.865,-0.753
-0.313,0.876,-0.777
-0.267,0.87,-0.814
-0.21,0.854,-0.848
-0.21,0.854,-0.848
-0.143,0.82,-0.883
-0.083,0.76,-0.917
-0.03,0.696,-0.941
0.001,0.609,-0.973
0.001,0.609,-0.973
0.018,0.534,-0.989
0.013,0.461,-1.006
-0.013,0.386,-1.015
-0.054,0.32,-1.022
-0.054,0.32,-1.022
-0.098,0.273,-1.028
-0.15,0.236,-1.016
-0.182,0.207,-1.002
-0.227,0.186,-0.998
-0.227,0.186,-0.998
-0.268,0.172,-0.984
-0.322,0.168,-0.968
-0.378,0.178,-0.957
-0.435,0.203,-0.932
-0.435,0.203,-0.932
-0.492,0.224,-0.909
-0.531,0.248,-0.889
-0.553,0.268,-0.868
-0.576,0.276,-0.856
-0.576,0.276,-0.856
-0.587,0.287,-0.844
-0.598,0.302,-0.831
-0.605,0.311,-0.824
-0.611,0.332,-0.816
-0.611,0.332,-0.816
-0.618,0.36,-0.804
-0.619,0.384,-0.8
-0.621,0.411,-0.795
-0.625,0.436,-0.781
-0.625,0.436,-0.781
-0.625,0.465,-0.77
-0.628,0.49,-0.756
-0.628,0.52,-0.752
-0.621,0.549,-0.731
-0.621,0.549,-0.731
-0.611,0.58,-0.719
-0.599,0.604,-0.715
-0.586,0.638,-0.701
-0.57,0.665,-0.68
-0.57,0.665,-0.68
-0.555,0.689,-0.667
-0.54,0.713,-0.66
-0.526,0.732,-0.644
-0.506,0.744,-0.638
-0.506,0.744,-0.638
-0.482,0.757,-0.633
-0.448,0.771,-0.634
-0.405,0.785,-0.64
-0.36,0.79,-0.637
-0.36,0.79,-0.637
-0.317,0.794,-0.627
-0.279,0.792,-0.629
-0.239,0.789,-0.622
-0.213,0.786,-0.611
-0.213,0.786,-0.611
-0.192,0.788,-0.598
-0.168,0.779,-0.586
-0.148,0.773,-0.581
-0.124,0.766,-0.574
-0.124,0.766,-0.574
-0.099,0.753,-0.557
-0.072,0.739,-0.538
-0.048,0.725,-0.521
-0.031,0.711,-0.507
-0.031,0.711,-0.507
-0.016,0.692,-0.495
0.009,0.675,-0.494
0.03,0.648,-0.496
0.047,0.618,-0.504
0.047,0.618,-0.504
0.065,0.587,-0.51
0.075,0.566,-0.511
0.086,0.544,-0.52
0.096,0.516,-0.523
0.096,0.516,-0.523
0.102,0.499,-0.522
0.104,0.48,-0.535
0.11,0.461,-0.531
0.11,0.441,-0.531
0.11,0.441,-0.531
0.112,0.423,-0.527
0.116,0.393,-0.527
0.114,0.367,-0.527
0.116,0.335,-0.524
0.116,0.335,-0.524
0.112,0.307,-0.514
0.102,0.279,-0.501
0.097,0.251,-0.497
0.092,0.222,-0.501
0.092,0.222,-0.501
0.078,0.192,-0.51
0.061,0.163,-0.526
0.046,0.141,-0.536
0.03,0.125,-0.552
0.03,0.125,-0.552
0.013,0.103,-0.557
-0.007,0.084,-0.559
-0.019,0.066,-0.561
-0.035,0.055,-0.568
-0.035,0.055,-0.568
-0.051,0.041,-0.568
-0.072,0.031,-0.567
-0.088,0.019,-0.566
-0.106,0.005,-0.565
-0.106,0.005,-0.565
-0.122,-0.002,-0.564
-0.133,-0.006,-0.564
-0.137,-0.014,-0.56
-0.146,-0.019,-0.569
-0.146,-0.019,-0.569
-0.148,-0.022,-0.567
-0.15,-0.029,-0.561
-0.16,-0.037,-0.567
-0.164,-0.044,-0.549
-0.164,-0.044,-0.549
-0.162,-0.046,-0.534
-0.165,-0.056,-0.516
-0.165,-0.062,-0.514
-0.161,-0.065,-0.499
-0.161,-0.065,-0.499
-0.15,-0.067,-0.494
-0.14,-0.068,-0.485
-0.125,-0.069,-0.484
-0.116,-0.073,-0.477
-0.116,-0.073,-0.477
-0.107,-0.072,-0.48
-0.085,-0.07,-0.478
-0.068,-0.064,-0.475
-0.051,-0.056,-0.465
-0.051,-0.056,-0.465
-0.037,-0.048,-0.447
-0.028,-0.046,-0.433
-0.014,-0.041,-0.409
-0.001,-0.026,-0.391
-0.001,-0.026,-0.391
0.013,-0.016,-0.371
0.026,-0.004,-0.347
0.038,0.015,-0.32
0.049,0.029,-0.293
0.049,0.029,-0.293
0.051,0.053,-0.267
0.045,0.08,-0.254
0.045,0.093,-0.23
0.044,0.112,-0.209
0.044,0.112,-0.209
0.041,0.127,-0.195
0.035,0.145,-0.178
0.034,0.162,-0.17
0.028,0.182,-0.159
0.028,0.182,-0.159
0.031,0.204,-0.146
0.033,0.235,-0.138
0.03,0.265,-0.128
0.032,0.287,-0.122
0.032,0.287,-0.122
0.03,0.305,-0.122
0.033,0.32,-0.123
0.033,0.337,-0.119
0.031,0.355,-0.121
0.031,0.355,-0.121
0.037,0.371,-0.122
0.039,0.397,-0.128
0.04,0.42,-0.131
0.041,0.453,-0.139
0.041,0.453,-0.139
0.041,0.479,-0.15
0.043,0.494,-0.156
0.039,0.513,-0.153
0.028,0.525,-0.157
0.028,0.525,-0.157
0.021,0.531,-0.153
0.016,0.549,-0.16
0.003,0.563,-0.168
0.009,0.579,-0.175
0.009,0.579,-0.175
0.006,0.601,-0.19
0.002,0.609,-0.203
0.007,0.635,-0.227
-0.01,0.67,-0.261
-0.01,0.67,-0.261
0.007,0.664,-0.283
0.017,0.658,-0.293
0.026,0.648,-0.308
0.036,0.647,-0.324
0.036,0.647,-0.324
0.04,0.635,-0.326
0.037,0.629,-0.342
0.044,0.626,-0.338
0.046,0.62,-0.345
0.046,0.62,-0.345
0.046,0.617,-0.347
0.046,0.614,-0.345
0.044,0.605,-0.348
0.046,0.598,-0.349
0.046,0.598,-0.349
0.055,0.592,-0.356
0.054,0.576,-0.356
0.062,0.574,-0.358
0.07,0.561,-0.367
0.07,0.561,-0.367
0.073,0.541,-0.378
0.087,0.527,-0.381
0.098,0.501,-0.382
0.098,0.478,-0.382
0.098,0.478,-0.382
0.111,0.465,-0.376
0.107,0.444,-0.376
0.115,0.431,-0.379
0.119,0.417,-0.406
0.119,0.417,-0.406
0.124,0.4,-0.436
0.125,0.393,-0.472
0.124,0.38,-0.514
0.117,0.364,-0.535
0.117,0.364,-0.535
0.105,0.371,-0.542
0.094,0.362,-0.565
0.094,0.355,-0.577
0.097,0.338,-0.598
0.097,0.338,-0.598
0.082,0.316,-0.61
0.073,0.3,-0.622
0.066,0.272,-0.625
0.057,0.248,-0.618
0.057,0.248,-0.618
0.052,0.227,-0.624
0.03,0.195,-0.617
0.013,0.171,-0.623
-0.012,0.142,-0.623
-0.012,0.142,-0.623
-0.04,0.111,-0.63
-0.072,0.087,-0.623
-0.105,0.063,-0.637
-0.137,0.046,-0.636
-0.137,0.046,-0.639
-0.165,0.038,-0.639
-0.196,0.032,-0.646
-0.22,0.033,-0.644
-0.246,0.041,-0.648
-0.246,0.041,-0.669
-0.281,0.042,-0.669
-0.311,0.053,-0.659
-0.348,0.061,-0.666
-0.385,0.069,-0.653
-0.385,0.069,-0.639
-0.411,0.077,-0.639
-0.448,0.088,-0.628
-0.466,0.092,-0.606
-0.488,0.102,-0.594
-0.488,0.102,-0.576
-0.507,0.103,-0.576
-0.52,0.099,-0.545
-0.541,0.105,-0.525
-0.551,0.102,-0.494
-0.551,0.102,-0.462
-0.55,0.088,-0.462
-0.548,0.081,-0.434
-0.541,0.074,-0.421
-0.531,0.061,-0.405
-0.531,0.053,-0.396
-0.527,0.053,-0.396
-0.515,0.046,-0.394
-0.514,0.037,-0.394
-0.509,0.027,-0.394
-0.509,0.011,-0.396
-0.501,0.011,-0.396
-0.495,-0.001,-0.396
-0.484,-0.018,-0.401
-0.478,-0.026,-0.399
-0.478,-0.043,-0.406
-0.465,-0.043,-0.406
-0.463,-0.055,-0.414
-0.473,-0.056,-0.426
-0.482,-0.056,-0.42
-0.482,-0.05,-0.422
-0.501,-0.05,-0.422
-0.512,-0.046,-0.419
-0.529,-0.042,-0.402
-0.536,-0.046,-0.384
-0.536,-0.039,-0.362
-0.547,-0.039,-0.362
-0.551,-0.036,-0.331
-0.559,-0.03,-0.304
-0.562,-0.019,-0.276
-0.562,-0.012,-0.252
-0.56,-0.012,-0.252
-0.561,-0.005,-0.235
-0.549,0.006,-0.208
-0.547,0.015,-0.182
-0.539,0.027,-0.16
-0.539,0.027,-0.16
-0.532,0.043,-0.137
-0.525,0.07,-0.121
-0.524,0.085,-0.114
-0.519,0.108,-0.101
-0.519,0.108,-0.101
-0.514,0.111,-0.089
-0.506,0.116,-0.086
-0.499,0.111,-0.085
-0.483,0.107,-0.092
-0.483,0.107,-0.092
-0.472,0.114,-0.074
-0.451,0.115,-0.075
-0.438,0.121,-0.067
-0.422,0.128,-0.061
-0.422,0.128,-0.061
-0.408,0.136,-0.056
-0.393,0.139,-0.052
-0.383,0.142,-0.049
-0.37,0.148,-0.05
-0.37,0.148,-0.05
-0.354,0.15,-0.047
-0.342,0.157,-0.052
-0.324,0.168,-0.058
-0.302,0.174,-0.058
-0.302,0.174,-0.058
-0.282,0.177,-0.054
-0.256,0.177,-0.055
-0.244,0.182,-0.062
-0.225,0.199,-0.068
-0.225,0.199,-0.068
-0.209,0.216,-0.072
-0.187,0.231,-0.074
-0.172,0.251,-0.086
-0.155,0.277,-0.091
-0.155,0.277,-0.091
-0.14,0.301,-0.098
-0.128,0.324,-0.111
-0.121,0.348,-0.121
-0.115,0.373,-0.126
-0.115,0.373,-0.126
-0.112,0.387,-0.139
-0.109,0.401,-0.14
-0.107,0.415,-0.149
-0.11,0.422,-0.16
-0.11,0.422,-0.16
-0.119,0.429,-0.165
-0.125,0.436,-0.172
-0.134,0.443,-0.177
-0.14,0.441,-0.181
-0.14,0.441,-0.181
-0.147,0.445,-0.181
-0.147,0.445,-0.178
-0.155,0.439,-0.184
-0.158,0.441,-0.18
-0.158,0.441,-0.18
-0.158,0.446,-0.177
-0.161,0.443,-0.175
-0.161,0.447,-0.183
-0.161,0.445,-0.177
-0.161,0.445,-0.177
-0.159,0.447,-0.175
-0.149,0.452,-0.178
-0.144,0.454,-0.174
-0.14,0.463,-0.18
-0.14,0.463,-0.18
-0.135,0.473,-0.183
-0.127,0.48,-0.187
-0.112,0.495,-0.196
-0.102,0.506,-0.206
-0.102,0.506,-0.206
-0.082,0.524,-0.228
-0.061,0.53,-0.241
-0.045,0.544,-0.255
-0.025,0.548,-0.281
-0.025,0.548,-0.281
-0.016,0.551,-0.297
0.001,0.555,-0.31
0.011,0.56,-0.328
0.017,0.566,-0.353
0.017,0.566,-0.353
0.027,0.571,-0.379
0.027,0.577,-0.418
0.032,0.582,-0.456
0.028,0.592,-0.497
0.028,0.592,-0.497
0.019,0.595,-0.536
0.009,0.606,-0.568
-0.013,0.61,-0.592
-0.031,0.613,-0.615
-0.031,0.613,-0.615
-0.051,0.61,-0.641
-0.071,0.612,-0.664
-0.096,0.61,-0.686
-0.116,0.612,-0.699
-0.116,0.612,-0.699
-0.147,0.611,-0.715
-0.176,0.612,-0.728
-0.205,0.617,-0.728
-0.243,0.62,-0.732
-0.243,0.62,-0.732
-0.278,0.626,-0.729
-0.307,0.633,-0.725
-0.339,0.635,-0.709
-0.37,0.648,-0.702
-0.37,0.648,-0.702
-0.396,0.653,-0.691
-0.41,0.663,-0.68
-0.428,0.666,-0.671
-0.445,0.679,-0.65
-0.445,0.679,-0.65
-0.457,0.689,-0.623
-0.472,0.704,-0.613
-0.477,0.715,-0.595
-0.481,0.729,-0.578
-0.481,0.729,-0.578
-0.485,0.742,-0.562
-0.49,0.757,-0.545
-0.489,0.77,-0.526
-0.497,0.782,-0.51
-0.497,0.782,-0.51
-0.493,0.796,-0.497
-0.5,0.812,-0.479
-0.502,0.821,-0.467
-0.513,0.834,-0.449
-0.513,0.834,-0.449
-0.509,0.845,-0.439
-0.512,0.856,-0.419
-0.512,0.872,-0.405
-0.505,0.883,-0.402
-0.505,0.883,-0.402
-0.497,0.893,-0.381
-0.486,0.907,-0.368
-0.469,0.92,-0.368
-0.449,0.931,-0.374
-0.449,0.931,-0.374
-0.429,0.943,-0.373
-0.412,0.96,-0.375
-0.392,0.967,-0.377
-0.371,0.975,-0.377
-0.371,0.975,-0.377
-0.353,0.977,-0.38
-0.328,0.979,-0.387
-0.305,0.982,-0.4
-0.285,0.977,-0.423
-0.285,0.977,-0.423
-0.257,0.977,-0.44
-0.236,0.97,-0.462
-0.207,0.957,-0.488
-0.187,0.939,-0.517
-0.187,0.939,-0.517
-0.165,0.921,-0.553
-0.146,0.908,-0.575
-0.134,0.888,-0.603
-0.132,0.866,-0.626
-0.132,0.866,-0.626
-0.134,0.845,-0.654
-0.136,0.824,-0.679
-0.133,0.803,-0.698
-0.142,0.794,-0.714
-0.142,0.794,-0.714
-0.149,0.775,-0.732
-0.157,0.755,-0.747
-0.169,0.738,-0.762
-0.172,0.722,-0.774
-0.172,0.722,-0.774
-0.173,0.704,-0.785
-0.184,0.688,-0.79
-0.193,0.673,-0.809
-0.202,0.659,-0.821
-0.202,0.659,-0.821
-0.217,0.641,-0.838
-0.235,0.626,-0.849
