mx,my,mz
-0.383,0.103,-0.432
-0.368,0.105,-0.459
-0.368,0.105,-0.459
-0.354,0.107,-0.481
-0.338,0.114,-0.501
-0.334,0.124,-0.514
-0.323,0.127,-0.538
-0.323,0.127,-0.538
-0.324,0.133,-0.551
-0.325,0.136,-0.574
-0.33,0.134,-0.59
-0.322,0.12,-0.625
-0.322,0.12,-0.625
-0.32,0.1,-0.651
-0.305,0.08,-0.681
-0.268,0.052,-0.718
-0.224,0.033,-0.753
-0.224,0.033,-0.753
-0.166,0.017,-0.77
-0.102,0.007,-0.793
-0.031,0.005,-0.799
0.049,0.011,-0.802
0.049,0.011,-0.802
0.118,0.046,-0.791
0.183,0.101,-0.769
0.236,0.175,-0.741
0.258,0.258,-0.709
0.258,0.258,-0.709
0.259,0.343,-0.672
0.236,0.416,-0.64
0.194,0.482,-0.608
0.138,0.531,-0.587
0.138,0.531,-0.587
0.076,0.564,-0.578
0.009,0.59,-0.59
-0.064,0.601,-0.599
-0.128,0.597,-0.615
-0.128,0.597,-0.615
-0.185,0.583,-0.638
-0.238,0.567,-0.655
-0.281,0.543,-0.673
-0.314,0.519,-0.685
-0.314,0.519,-0.685
-0.337,0.491,-0.7
-0.356,0.468,-0.715
-0.376,0.446,-0.73
-0.389,0.431,-0.747
-0.389,0.431,-0.747
-0.395,0.421,-0.769
-0.396,0.412,-0.783
-0.398,0.41,-0.803
-0.396,0.405,-0.829
-0.396,0.405,-0.829
-0.392,0.403,-0.85
-0.385,0.406,-0.861
-0.377,0.408,-0.879
-0.368,0.413,-0.897
-0.368,0.413,-0.897
-0.359,0.416,-0.901
-0.349,0.416,-0.914
-0.333,0.419,-0.92
-0.318,0.413,-0.927
-0.318,0.413,-0.927
-0.307,0.419,-0.93
-0.297,0.425,-0.937
-0.286,0.436,-0.947
-0.274,0.443,-0.945
-0.274,0.443,-0.945
-0.265,0.458,-0.962
-0.252,0.473,-0.961
-0.238,0.486,-0.971
-0.224,0.51,-0.972
-0.224,0.51,-0.972
-0.216,0.533,-0.971
-0.202,0.562,-0.976
-0.189,0.586,-0.98
-0.185,0.612,-0.984
-0.185,0.612,-0.984
-0.175,0.64,-0.986
-0.168,0.658,-0.975
-0.16,0.678,-0.966
-0.15,0.706,-0.961
-0.15,0.706,-0.961
-0.148,0.727,-0.961
-0.143,0.752,-0.952
-0.142,0.782,-0.927
-0.147,0.819,-0.91
-0.147,0.819,-0.91
-0.156,0.851,-0.897
-0.168,0.883,-0.871
-0.193,0.912,-0.862
-0.219,0.932,-0.854
-0.219,0.932,-0.854
-0.259,0.955,-0.838
-0.307,0.976,-0.817
-0.363,0.989,-0.801
-0.427,0.975,-0.781
-0.427,0.975,-0.781
-0.493,0.952,-0.753
-0.554,0.912,-0.732
-0.599,0.847,-0.706
-0.637,0.779,-0.671
-0.637,0.779,-0.671
-0.659,0.7,-0.649
-0.66,0.616,-0.616
-0.653,0.539,-0.588
-0.628,0.476,-0.574
-0.628,0.476,-0.574
-0.591,0.42,-0.556
-0.56,0.375,-0.541
-0.534,0.335,-0.52
-0.508,0.308,-0.509
-0.508,0.308,-0.509
-0.479,0.285,-0.492
-0.447,0.263,-0.475
-0.424,0.248,-0.464
-0.401,0.239,-0.451
-0.401,0.239,-0.451
-0.381,0.222,-0.445
-0.36,0.219,-0.443
-0.345,0.214,-0.431
-0.322,0.207,-0.429
-0.322,0.207,-0.429
-0.307,0.2,-0.417
-0.287,0.194,-0.41
-0.262,0.192,-0.401
-0.249,0.187,-0.399
-0.249,0.187,-0.399
-0.225,0.182,-0.394
-0.202,0.182,-0.394
-0.176,0.183,-0.39
-0.156,0.184,-0.389
-0.156,0.184,-0.389
-0.125,0.186,-0.389
-0.093,0.191,-0.391
-0.056,0.194,-0.398
-0.019,0.203,-0.407
-0.019,0.203,-0.407
0.025,0.221,-0.417
0.067,0.245,-0.43
0.104,0.277,-0.443
0.132,0.307,-0.451
0.132,0.307,-0.451
0.156,0.324,-0.464
0.187,0.336,-0.472
0.224,0.348,-0.495
0.256,0.347,-0.516
0.256,0.347,-0.516
0.291,0.344,-0.554
0.323,0.341,-0.594
0.345,0.333,-0.643
0.352,0.335,-0.695
0.352,0.335,-0.695
0.342,0.34,-0.742
0.328,0.352,-0.781
0.309,0.361,-0.802
0.282,0.375,-0.822
0.282,0.375,-0.822
0.259,0.382,-0.846
0.226,0.383,-0.862
0.194,0.385,-0.862
0.155,0.392,-0.863
0.155,0.392,-0.863
0.117,0.398,-0.866
0.076,0.416,-0.853
0.039,0.433,-0.848
0.006,0.447,-0.837
0.006,0.447,-0.837
-0.019,0.459,-0.82
-0.039,0.473,-0.809
-0.051,0.478,-0.795
-0.059,0.484,-0.782
-0.059,0.484,-0.782
