timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-04 03:58:16.105,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.105,0x15,7,00,02,0C,00,00,0F,05,
2025-12-04 03:58:16.106,0x42,6,01,FF,02,02,0E,01,,
2025-12-04 03:58:16.106,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.106,0x109,3,03,00,0B,,,,,
2025-12-04 03:58:16.107,0xA0,3,00,08,0F,,,,,
2025-12-04 03:58:16.107,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.107,0x109,3,03,01,0A,,,,,
2025-12-04 03:58:16.108,0x15,7,00,02,0C,00,00,01,03,
2025-12-04 03:58:16.108,0x42,6,01,FF,02,02,00,0F,,
2025-12-04 03:58:16.108,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.109,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.109,0x109,3,03,02,09,,,,,
2025-12-04 03:58:16.109,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.110,0x15,7,00,02,0C,00,00,03,01,
2025-12-04 03:58:16.110,0x42,6,01,FF,02,03,02,0C,,
2025-12-04 03:58:16.110,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.111,0x109,3,03,03,08,,,,,
2025-12-04 03:58:16.111,0x42,6,01,FF,02,03,03,0B,,
2025-12-04 03:58:16.111,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.112,0x109,3,03,04,07,,,,,
2025-12-04 03:58:16.112,0x15,7,00,02,0C,00,00,05,0F,
2025-12-04 03:58:16.113,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.113,0x232,4,00,00,0A,07,,,,
2025-12-04 03:58:16.113,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.113,0x242,3,00,0D,03,,,,,
2025-12-04 03:58:16.114,0x109,3,03,05,06,,,,,
2025-12-04 03:58:16.114,0x25D,3,01,02,01,,,,,
2025-12-04 03:58:16.114,0x42,6,01,FF,02,02,06,09,,
2025-12-04 03:58:16.115,0x15,7,00,02,0C,00,00,07,0D,
2025-12-04 03:58:16.115,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.115,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.116,0x242,3,00,0E,02,,,,,
2025-12-04 03:58:16.116,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.116,0x109,3,03,07,04,,,,,
2025-12-04 03:58:16.117,0x15,7,00,02,0C,00,00,09,0B,
2025-12-04 03:58:16.117,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.117,0x232,4,00,00,0C,05,,,,
2025-12-04 03:58:16.118,0x242,3,00,0F,01,,,,,
2025-12-04 03:58:16.118,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.118,0x109,3,03,08,03,,,,,
2025-12-04 03:58:16.119,0x42,6,01,FF,02,02,0A,05,,
2025-12-04 03:58:16.119,0x15,7,00,02,0C,00,00,0B,09,
2025-12-04 03:58:16.119,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.120,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.120,0xA0,3,00,0E,0C,,,,,
2025-12-04 03:58:16.120,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.121,0x242,3,00,0A,06,,,,,
2025-12-04 03:58:16.121,0x15,7,00,02,0C,00,00,0D,07,
2025-12-04 03:58:16.121,0x42,6,01,FF,02,02,0C,03,,
2025-12-04 03:58:16.122,0x25D,3,01,04,0F,,,,,
2025-12-04 03:58:16.122,0x242,3,00,01,0F,,,,,
2025-12-04 03:58:16.122,0xA0,3,00,0F,03,,,,,
2025-12-04 03:58:16.122,0x109,3,03,0B,00,,,,,
2025-12-04 03:58:16.123,0x109,3,03,0A,01,,,,,
2025-12-04 03:58:16.123,0x15,7,00,02,0C,00,00,0F,05,
2025-12-04 03:58:16.123,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.124,0x109,3,03,0C,0F,,,,,
2025-12-04 03:58:16.124,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.124,0xA0,3,00,00,0B,,,,,
2025-12-04 03:58:16.125,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.125,0x25D,3,01,05,0E,,,,,
2025-12-04 03:58:16.125,0x15,7,00,02,0C,00,00,01,03,
2025-12-04 03:58:16.126,0x109,3,03,0D,0E,,,,,
2025-12-04 03:58:16.126,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.126,0x232,4,00,00,00,01,,,,
2025-12-04 03:58:16.127,0xA0,3,00,01,02,,,,,
2025-12-04 03:58:16.127,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.127,0x109,3,03,0E,0D,,,,,
2025-12-04 03:58:16.128,0x42,6,01,FF,02,02,02,0D,,
2025-12-04 03:58:16.128,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.128,0x232,4,00,00,01,00,,,,
2025-12-04 03:58:16.129,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.129,0xA0,3,00,02,0A,,,,,
2025-12-04 03:58:16.129,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.130,0x15,7,00,02,0C,00,00,05,0F,
2025-12-04 03:58:16.130,0x42,6,01,FF,02,02,04,0B,,
2025-12-04 03:58:16.130,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.131,0x232,4,00,00,02,0F,,,,
2025-12-04 03:58:16.131,0xA0,3,00,03,01,,,,,
2025-12-04 03:58:16.131,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.132,0x109,3,03,01,0A,,,,,
2025-12-04 03:58:16.132,0x15,7,00,02,0C,00,00,07,0D,
2025-12-04 03:58:16.132,0x42,6,01,FF,02,02,06,09,,
2025-12-04 03:58:16.133,0x25D,3,01,07,0C,,,,,
2025-12-04 03:58:16.133,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.133,0xA0,3,00,04,09,,,,,
2025-12-04 03:58:16.134,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.134,0x42,6,01,FF,02,02,0E,01,,
2025-12-04 03:58:16.134,0x15,7,00,02,0C,00,00,09,0B,
2025-12-04 03:58:16.135,0x109,3,03,03,08,,,,,
2025-12-04 03:58:16.135,0x242,3,00,07,09,,,,,
2025-12-04 03:58:16.135,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.135,0xA0,3,00,05,00,,,,,
2025-12-04 03:58:16.136,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.136,0x38F,3,01,04,09,,,,,
2025-12-04 03:58:16.136,0x25D,3,01,08,0B,,,,,
2025-12-04 03:58:16.137,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.137,0x242,3,00,08,08,,,,,
2025-12-04 03:58:16.137,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.138,0xA0,3,00,06,08,,,,,
2025-12-04 03:58:16.138,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.138,0x42,6,01,FF,02,02,08,07,,
2025-12-04 03:58:16.139,0x42,6,01,FF,02,02,0C,03,,
2025-12-04 03:58:16.139,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.139,0x242,3,0LC:,6,Data:,01,FF,02,02,04
2025-12-04 03:58:16.140,0x15,7,0F,FD,05,00,00,09,09,
2025-12-04 03:58:16.140,0x25D,3,01,03,00,,,,,
2025-12-04 03:58:16.140,0x109,3,03,06,05,,,,,
2025-12-04 03:58:16.141,0x232,4,00,00,0C,05,,,,
