timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-04 04:46:49.886,0x42,6,01,FF,02,01,09,07,,
2025-12-04 04:46:49.887,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.887,0x109,3,03,02,09,,,,,
2025-12-04 04:46:49.888,0x242,3,00,0E,02,,,,,
2025-12-04 04:46:49.888,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.888,0x232,4,00,00,05,0C,,,,
2025-12-04 04:46:49.889,0x227,3,01,0A,09,,,,,
2025-12-04 04:46:49.889,0xA0,3,00,06,00,,,,,
2025-12-04 04:46:49.890,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.890,0x5EB,3,03,0A,0D,,,,,
2025-12-04 04:46:49.890,0x242,3,00,0F,01,,,,,
2025-12-04 04:46:49.891,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.891,0x232,4,00,00,06,0B,,,,
2025-12-04 04:46:49.891,0x227,3,01,0A,09,,,,,
2025-12-04 04:46:49.892,0xA0,3,00,07,07,,,,,
2025-12-04 04:46:49.892,0x25D,3,01,01,02,,,,,
2025-12-04 04:46:49.892,0x109,3,03,05,06,,,,,
2025-12-04 04:46:49.893,0x242,3,00,00,00,,,,,
2025-12-04 04:46:49.893,0x42,6,01,FF,02,01,0E,02,,
2025-12-04 04:46:49.894,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.894,0x232,4,00,00,07,0A,,,,
2025-12-04 04:46:49.894,0xA0,3,00,08,0F,,,,,
2025-12-04 04:46:49.895,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.895,0x242,3,00,01,0F,,,,,
2025-12-04 04:46:49.896,0x15,7,00,02,00,00,00,01,0F,
2025-12-04 04:46:49.896,0x42,6,01,FF,02,01,00,00,,
2025-12-04 04:46:49.897,0x109,3,03,07,04,,,,,
2025-12-04 04:46:49.897,0x227,3,01,0A,09,,,,,
2025-12-04 04:46:49.897,0xA0,3,00,09,06,,,,,
2025-12-04 04:46:49.898,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.898,0x109,3,03,08,03,,,,,
2025-12-04 04:46:49.898,0x242,3,00,02,0E,,,,,
2025-12-04 04:46:49.899,0x42,6,01,FF,02,01,02,0E,,
2025-12-04 04:46:49.899,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.900,0x232,4,00,00,09,08,,,,
2025-12-04 04:46:49.900,0xA0,3,00,0A,0E,,,,,
2025-12-04 04:46:49.901,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.901,0x242,3,00,03,0D,,,,,
2025-12-04 04:46:49.901,0x42,6,01,FF,02,01,04,0C,,
2025-12-04 04:46:49.902,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.902,0x109,3,03,0A,01,,,,,
2025-12-04 04:46:49.903,0x227,3,01,0A,09,,,,,
2025-12-04 04:46:49.903,0xA0,3,00,0B,05,,,,,
2025-12-04 04:46:49.903,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.904,0x109,3,03,0B,00,,,,,
2025-12-04 04:46:49.904,0x42,6,01,FF,02,02,06,09,,
2025-12-04 04:46:49.905,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 04:46:49.905,0x232,4,00,00,0B,06,,,,
2025-12-04 04:46:49.905,0x227,3,01,0A,09,,,,,
