mx,my,mz
-0.397,0.697,-0.161
-0.394,0.706,-0.167
-0.39,0.703,-0.174
-0.39,0.703,-0.174
-0.387,0.703,-0.176
-0.385,0.705,-0.181
-0.373,0.705,-0.184
-0.372,0.706,-0.186
-0.372,0.706,-0.186
-0.369,0.708,-0.181
-0.361,0.704,-0.186
-0.364,0.709,-0.19
-0.368,0.711,-0.186
-0.368,0.711,-0.186
-0.362,0.709,-0.187
-0.363,0.709,-0.184
-0.365,0.711,-0.181
-0.369,0.708,-0.19
-0.369,0.708,-0.19
-0.371,0.711,-0.185
-0.376,0.711,-0.187
-0.38,0.712,-0.195
-0.384,0.71,-0.19
-0.384,0.71,-0.19
-0.391,0.709,-0.182
-0.392,0.709,-0.192
-0.398,0.704,-0.187
-0.398,0.708,-0.182
-0.398,0.708,-0.182
-0.402,0.706,-0.183
-0.408,0.711,-0.179
-0.407,0.71,-0.171
-0.412,0.709,-0.167
-0.412,0.709,-0.167
-0.414,0.705,-0.172
-0.42,0.704,-0.175
-0.421,0.703,-0.166
-0.426,0.704,-0.167
-0.426,0.704,-0.167
-0.434,0.698,-0.166
-0.435,0.698,-0.163
-0.44,0.697,-0.164
-0.441,0.694,-0.168
-0.441,0.694,-0.168
-0.442,0.697,-0.165
-0.442,0.703,-0.167
-0.44,0.704,-0.164
-0.44,0.703,-0.162
-0.44,0.703,-0.162
-0.441,0.698,-0.168
-0.437,0.702,-0.169
-0.441,0.7,-0.163
-0.433,0.691,-0.161
-0.433,0.691,-0.16
-0.429,0.692,-0.16
-0.433,0.691,-0.161
-0.425,0.693,-0.15
-0.424,0.692,-0.153
-0.424,0.692,-0.155
-0.415,0.695,-0.155
-0.413,0.69,-0.157
-0.412,0.695,-0.152
-0.412,0.695,-0.15
-0.412,0.695,-0.163
-0.403,0.7,-0.163
-0.398,0.701,-0.163
-0.4,0.705,-0.157
-0.397,0.702,-0.162
-0.397,0.702,-0.168
-0.402,0.707,-0.168
-0.396,0.714,-0.171
-0.392,0.715,-0.172
-0.391,0.715,-0.174
