ax,ay,az
-0.05,0.004,1.007
-0.039,0.006,1.001
-0.032,-0.002,0.994
-0.052,0.004,0.996
-0.038,0.0,1.002
-0.039,0.002,0.995
-0.044,0.005,1.002
-0.045,-0.001,1.002
-0.044,-0.001,1.001
-0.037,0.005,0.996
-0.044,0.001,1.007
-0.046,0.001,0.996
-0.045,0.0,1.004
-0.043,0.003,0.999
-0.046,0.0,1.004
-0.05,0.004,0.998
-0.041,0.001,1.003
-0.044,0.0,1.0
-0.045,0.003,1.002
-0.046,0.0,1.002
-0.046,0.004,1.006
-0.039,0.003,0.998
-0.049,-0.001,1.006
-0.048,0.005,0.998
-0.042,0.003,1.004
-0.022,0.982,-0.013
-0.023,0.975,-0.017
-0.021,0.974,-0.014
-0.033,0.982,-0.011
-0.024,0.972,-0.016
-0.021,0.98,-0.013
-0.027,0.976,-0.015
-0.026,0.976,-0.014
-0.025,0.979,-0.015
-0.024,0.981,-0.017
-0.03,0.979,-0.009
-0.031,0.974,-0.018
-0.026,0.98,-0.013
-0.028,0.979,-0.014
-0.024,0.974,-0.014
-0.031,0.982,-0.012
-0.023,0.97,-0.019
-0.023,0.979,-0.01
-0.029,0.974,-0.013
-0.027,0.978,-0.014
-0.026,0.976,-0.014
-0.023,0.976,-0.014
-0.028,0.976,-0.011
-0.026,0.974,-0.017
-0.022,0.976,-0.016
-0.002,0.019,-0.992
-0.004,0.018,-0.992
-0.003,0.016,-0.995
-0.006,0.014,-0.99
-0.003,0.012,-0.993
-0.006,0.017,-0.994
-0.002,0.01,-0.992
-0.003,0.015,-0.995
-0.007,0.018,-0.992
-0.0,0.023,-0.994
-0.008,0.015,-0.988
-0.004,0.012,-0.993
-0.005,0.022,-0.994
-0.003,0.018,-0.992
-0.004,0.016,-0.995
-0.008,0.014,-0.991
-0.003,0.025,-0.992
-0.007,0.018,-0.995
-0.004,0.008,-0.992
-0.002,0.016,-0.995
-0.007,0.018,-0.994
0.0,0.022,-0.994
-0.008,0.014,-0.989
-0.003,0.01,-0.994
-0.003,0.022,-0.993
-0.013,-1.011,0.03
-0.011,-1.011,0.03
-0.006,-1.013,0.037
-0.012,-1.013,0.029
-0.02,-1.009,0.037
-0.008,-1.011,0.032
-0.007,-1.014,0.035
-0.009,-1.012,0.031
-0.016,-1.009,0.033
-0.007,-1.011,0.031
-0.002,-1.016,0.03
-0.01,-1.011,0.034
-0.008,-1.01,0.031
-0.012,-1.01,0.03
-0.004,-1.01,0.036
-0.016,-1.008,0.032
-0.011,-1.011,0.034
-0.007,-1.012,0.032
-0.006,-1.012,0.034
-0.008,-1.012,0.029
-0.01,-1.01,0.032
-0.006,-1.012,0.035
-0.007,-1.015,0.032
-0.013,-1.008,0.031
-0.008,-1.012,0.032
0.993,0.019,0.052
1.0,0.015,0.071
0.991,0.021,0.07
0.993,0.015,0.068
0.995,0.018,0.062
0.996,0.02,0.057
0.997,0.017,0.071
0.993,0.014,0.066
0.992,0.013,0.066
0.995,0.019,0.065
0.995,0.017,0.057
0.994,0.014,0.07
0.995,0.018,0.067
0.994,0.013,0.076
0.99,0.021,0.06
0.995,0.02,0.054
0.997,0.019,0.062
0.993,0.014,0.071
0.991,0.023,0.068
0.994,0.018,0.067
0.991,0.013,0.07
0.997,0.018,0.074
0.995,0.018,0.061
0.998,0.017,0.066
0.996,0.02,0.063
-1.0,0.006,-0.041
-0.995,0.009,-0.04
-0.996,0.006,-0.036
-0.999,0.01,-0.036
-1.002,0.009,-0.026
-1.003,0.006,-0.034
-0.999,0.012,-0.035
-0.997,0.008,-0.037
-0.997,0.009,-0.039
-0.997,0.011,-0.038
-0.996,0.009,-0.04
-0.997,0.007,-0.031
-1.0,0.007,-0.039
-0.998,0.011,-0.036
-0.999,0.006,-0.033
-0.999,0.01,-0.04
-0.996,0.007,-0.034
-0.998,0.005,-0.042
-0.997,0.014,-0.036
-0.998,0.008,-0.034
-0.994,0.008,-0.038
-0.997,0.009,-0.036
-0.998,0.011,-0.034
-0.998,0.009,-0.029
-0.999,0.006,-0.04
