ax,ay,az
0.041,-0.016,-1.0
0.042,-0.017,-1.001
0.041,-0.016,-1.0
0.041,-0.016,-1.001
0.041,-0.017,-1.0
0.041,-0.017,-1.001
0.04,-0.017,-0.999
0.042,-0.018,-1.001
0.041,-0.017,-1.001
0.041,-0.017,-1.0
0.042,-0.017,-1.0
0.042,-0.017,-0.999
0.041,-0.016,-1.001
0.042,-0.016,-1.0
0.042,-0.017,-1.0
0.041,-0.017,-1.0
0.041,-0.017,-1.002
0.041,-0.017,-1.002
0.042,-0.018,-1.001
0.042,-0.017,-1.001
0.041,-0.017,-1.0
0.04,-0.018,-1.0
0.042,-0.016,-1.001
0.042,-0.017,-1.002
0.042,-0.018,-1.0
0.04,-0.017,-1.0
0.042,-0.017,-1.0
0.042,-0.017,-1.001
0.041,-0.017,-1.001
0.042,-0.016,-1.0
0.042,-0.016,-1.001
0.041,-0.018,-1.0
0.04,-0.018,-1.001
0.041,-0.018,-1.0
0.041,-0.017,-1.001
0.042,-0.017,-0.998
0.041,-0.016,-0.999
0.042,-0.017,-0.999
0.041,-0.018,-1.001
0.041,-0.017,-1.002
0.04,-0.018,-1.0
0.041,-0.017,-1.002
0.041,-0.018,-1.001
0.041,-0.018,-1.002
0.041,-0.016,-1.0
0.042,-0.017,-1.0
0.041,-0.017,-1.0
0.041,-0.018,-1.0
0.042,-0.018,-1.001
0.04,-0.017,-1.0
0.041,-0.017,-1.001
0.041,-0.017,-1.0
0.041,-0.017,-1.0
0.041,-0.017,-1.0
0.041,-0.016,-1.0
0.041,-0.018,-1.001
0.042,-0.018,-1.0
0.041,-0.016,-0.999
0.037,-1.003,-0.017
0.036,-1.005,-0.016
0.037,-0.998,-0.017
0.04,-1.025,-0.014
0.037,-0.994,-0.015
0.036,-1.004,-0.016
0.038,-1.007,-0.017
0.039,-1.011,-0.015
0.036,-0.994,-0.019
0.037,-1.007,-0.017
0.037,-1.006,-0.016
0.038,-0.998,-0.017
0.036,-1.007,-0.017
0.037,-1.007,-0.017
0.037,-1.005,-0.018
0.037,-1.002,-0.018
0.036,-1.005,-0.017
0.037,-1.004,-0.017
0.038,-1.005,-0.017
0.036,-1.004,-0.017
0.038,-1.007,-0.015
0.039,-1.007,-0.016
0.038,-1.003,-0.018
0.037,-1.004,-0.017
0.038,-1.007,-0.017
0.038,-1.004,-0.016
0.037,-1.004,-0.016
0.037,-1.004,-0.016
0.037,-1.005,-0.017
0.038,-1.005,-0.017
0.038,-1.006,-0.017
0.038,-1.004,-0.018
0.037,-1.005,-0.016
0.038,-1.006,-0.016
0.037,-1.005,-0.017
0.038,-1.006,-0.016
0.038,-1.006,-0.015
0.036,-1.004,-0.016
0.037,-1.002,-0.016
0.038,-1.005,-0.018
0.038,-1.006,-0.016
0.038,-1.005,-0.018
0.039,-1.005,-0.017
0.037,-1.004,-0.016
0.036,-1.004,-0.016
0.036,-1.003,-0.016
0.039,-1.006,-0.017
0.036,-1.006,-0.017
0.037,-1.004,-0.017
0.037,-1.005,-0.017
0.036,-1.006,-0.018
0.038,-1.006,-0.018
0.037,-1.004,-0.016
0.037,-1.005,-0.017
0.037,-1.006,-0.017
0.038,-1.006,-0.017
0.037,-1.006,-0.017
0.037,-1.005,-0.017
0.038,-1.004,-0.017
0.037,-1.004,-0.017
0.037,-1.004,-0.017
0.037,-1.006,-0.017
0.038,-1.004,-0.018
0.038,-1.005,-0.017
0.038,-1.004,-0.017
0.038,-1.006,-0.016
0.038,-1.006,-0.016
0.038,-1.006,-0.016
0.037,-1.005,-0.016
0.037,-1.005,-0.016
0.037,-1.005,-0.018
0.039,-1.005,-0.018
0.037,-1.005,-0.018
0.037,-1.005,-0.016
0.038,-1.007,-0.016
0.038,-1.006,-0.018
0.038,-1.004,-0.016
0.038,-1.004,-0.018
0.037,-1.006,-0.018
0.037,-1.005,-0.016
0.039,-1.005,-0.017
0.037,-1.005,-0.017
0.036,-1.006,-0.015
0.038,-1.005,-0.017
0.037,-1.006,-0.017
0.038,-1.004,-0.017
0.035,-1.005,-0.016
0.037,-1.006,-0.017
0.037,-1.005,-0.017
0.038,-1.004,-0.017
0.038,-1.006,-0.017
0.037,-1.006,-0.017
0.036,-1.005,-0.016
0.038,-1.005,-0.017
0.038,-1.005,-0.018
0.038,-1.007,-0.017
0.037,-1.005,-0.016
0.036,-1.005,-0.017
0.037,-1.005,-0.016
0.038,-1.006,-0.017
-0.989,-0.034,-0.026
-0.979,-0.034,-0.026
-0.99,-0.034,-0.027
-0.98,-0.034,-0.027
-0.99,-0.035,-0.026
-0.984,-0.033,-0.026
-0.989,-0.034,-0.025
-0.983,-0.035,-0.027
-0.989,-0.033,-0.026
-0.978,-0.034,-0.027
-0.987,-0.034,-0.025
-0.985,-0.034,-0.027
-0.987,-0.034,-0.026
-0.982,-0.034,-0.025
-0.987,-0.035,-0.027
-0.983,-0.034,-0.026
-0.984,-0.034,-0.027
-0.984,-0.034,-0.026
