mx,my,mz
-0.422,0.218,-0.52
-0.406,0.209,-0.522
-0.389,0.2,-0.529
-0.364,0.194,-0.544
-0.341,0.191,-0.546
-0.341,0.191,-0.546
-0.317,0.186,-0.55
-0.287,0.184,-0.558
-0.263,0.184,-0.559
-0.249,0.186,-0.562
-0.224,0.193,-0.565
-0.208,0.204,-0.571
-0.208,0.204,-0.571
-0.19,0.208,-0.573
-0.173,0.215,-0.583
-0.16,0.221,-0.58
-0.153,0.229,-0.587
-0.144,0.243,-0.588
-0.139,0.258,-0.594
-0.139,0.258,-0.594
-0.135,0.273,-0.604
-0.127,0.288,-0.606
-0.124,0.301,-0.613
-0.121,0.318,-0.612
-0.123,0.336,-0.62
-0.124,0.351,-0.62
-0.124,0.351,-0.62
-0.128,0.366,-0.615
-0.123,0.381,-0.616
-0.12,0.395,-0.614
-0.116,0.411,-0.613
-0.109,0.425,-0.605
-0.108,0.436,-0.609
-0.108,0.436,-0.609
-0.11,0.446,-0.6
-0.109,0.454,-0.602
-0.114,0.472,-0.6
-0.111,0.487,-0.595
-0.109,0.492,-0.584
-0.103,0.497,-0.584
-0.103,0.497,-0.579
-0.091,0.506,-0.579
-0.086,0.514,-0.576
-0.073,0.519,-0.574
-0.067,0.534,-0.564
-0.063,0.543,-0.552
-0.054,0.555,-0.537
-0.054,0.57,-0.523
-0.046,0.57,-0.523
-0.041,0.579,-0.511
-0.031,0.588,-0.499
-0.033,0.608,-0.494
-0.03,0.62,-0.475
-0.033,0.639,-0.459
-0.037,0.653,-0.45
-0.037,0.653,-0.45
-0.043,0.668,-0.431
-0.055,0.68,-0.422
-0.065,0.69,-0.4
-0.075,0.695,-0.394
-0.087,0.706,-0.369
-0.099,0.7,-0.347
-0.099,0.7,-0.347
-0.108,0.702,-0.325
-0.122,0.7,-0.312
-0.137,0.699,-0.289
-0.146,0.692,-0.276
-0.16,0.687,-0.263
-0.167,0.686,-0.248
-0.167,0.686,-0.248
-0.173,0.676,-0.232
-0.184,0.681,-0.225
-0.192,0.678,-0.215
-0.2,0.677,-0.207
-0.212,0.677,-0.197
-0.22,0.674,-0.176
-0.22,0.674,-0.176
-0.228,0.665,-0.159
-0.24,0.654,-0.132
-0.25,0.643,-0.114
-0.267,0.643,-0.089
-0.271,0.637,-0.077
-0.273,0.633,-0.065
-0.273,0.633,-0.065
-0.275,0.631,-0.056
-0.275,0.63,-0.048
-0.273,0.629,-0.042
-0.269,0.63,-0.036
-0.273,0.622,-0.039
